Time,Series_B
2026-02-23 21:04:57,5
2026-02-23 21:05:27,5
2026-02-23 21:05:57,5
2026-02-23 21:06:27,5
2026-02-23 21:06:57,5
2026-02-23 21:07:27,5
2026-02-23 21:07:57,5
2026-02-23 21:08:27,5
2026-02-23 21:08:57,5
2026-02-23 21:09:27,5
2026-02-23 21:09:57,5
2026-02-23 21:10:27,5
2026-02-23 21:10:57,9
2026-02-23 21:11:27,1
2026-02-23 21:11:57,9
2026-02-23 21:12:27,1
2026-02-23 21:12:57,9
2026-02-23 21:13:27,1
2026-02-23 21:13:57,17
2026-02-23 21:14:27,17
2026-02-23 21:14:57,17
2026-02-23 21:15:27,17
2026-02-23 21:15:57,17
2026-02-23 21:16:27,17
2026-02-23 21:16:57,17
2026-02-23 21:17:27,17
2026-02-23 21:17:57,17
2026-02-23 21:18:27,17
2026-02-23 21:18:57,34
2026-02-23 21:19:27,34
2026-02-23 21:19:57,34
2026-02-23 21:20:27,22
2026-02-23 21:20:57,16
2026-02-23 21:21:27,16
2026-02-23 21:21:57,34
2026-02-23 21:22:27,16
2026-02-23 21:22:57,34
2026-02-23 21:23:27,16
2026-02-23 21:23:57,17
2026-02-23 21:24:27,2
2026-02-23 21:24:57,2
