Time,Series_B
2026-02-23 18:39:53,1
2026-02-23 18:40:23,1
2026-02-23 18:40:53,2
2026-02-23 18:41:23,2
2026-02-23 18:41:53,2
2026-02-23 18:42:23,2
2026-02-23 18:42:53,2
2026-02-23 18:43:23,2
2026-02-23 18:43:53,1
2026-02-23 18:44:23,2
2026-02-23 18:44:53,2
2026-02-23 18:45:23,1
2026-02-23 18:45:53,1
2026-02-23 18:46:23,4
2026-02-23 18:46:53,4
2026-02-23 18:47:23,4
2026-02-23 18:47:53,4.833333333333333
2026-02-23 18:48:23,2
2026-02-23 18:48:53,2
2026-02-23 18:49:23,2
2026-02-23 18:49:53,2
2026-02-23 18:50:23,1
2026-02-23 18:50:53,1
2026-02-23 18:51:23,2
2026-02-23 18:51:53,1
2026-02-23 18:52:23,2
2026-02-23 18:52:53,1
2026-02-23 18:53:23,1.1666666666666667
2026-02-23 18:53:53,1.1666666666666667
2026-02-23 18:54:23,1
2026-02-23 18:54:53,1
2026-02-23 18:55:23,1
2026-02-23 18:55:53,1
2026-02-23 18:56:23,1
2026-02-23 18:56:53,1
2026-02-23 18:57:23,1
2026-02-23 18:57:53,2
2026-02-23 18:58:23,2
2026-02-23 18:58:53,2
2026-02-23 18:59:23,2
2026-02-23 18:59:53,1
2026-02-23 19:00:23,1
2026-02-23 19:00:53,1
2026-02-23 19:01:23,1
2026-02-23 19:01:53,2
2026-02-23 19:02:23,2
2026-02-23 19:02:53,3
2026-02-23 19:03:23,3
2026-02-23 19:03:53,3
2026-02-23 19:04:23,3
2026-02-23 19:04:53,1
2026-02-23 19:05:23,1
2026-02-23 19:05:53,1
2026-02-23 19:06:23,1
2026-02-23 19:06:53,1
2026-02-23 19:07:23,1
2026-02-23 19:07:53,5
2026-02-23 19:08:23,5
2026-02-23 19:08:53,5
2026-02-23 19:09:23,5
2026-02-23 19:09:53,5
2026-02-23 19:10:23,5
2026-02-23 19:10:53,5
2026-02-23 19:11:23,5
2026-02-23 19:11:53,5
2026-02-23 19:12:23,5
2026-02-23 19:12:53,7
2026-02-23 19:13:23,9
2026-02-23 19:13:53,9
2026-02-23 19:14:23,9
2026-02-23 19:14:53,9
2026-02-23 19:15:23,9
2026-02-23 19:15:53,9
2026-02-23 19:16:23,9
2026-02-23 19:16:53,9
2026-02-23 19:17:23,9
2026-02-23 19:17:53,9
2026-02-23 19:18:23,9
2026-02-23 19:18:53,17
2026-02-23 19:19:23,17
2026-02-23 19:19:53,17
2026-02-23 19:20:23,17
2026-02-23 19:20:53,17
2026-02-23 19:21:23,17
2026-02-23 19:21:53,17
2026-02-23 19:22:23,17
2026-02-23 19:22:53,17
2026-02-23 19:23:23,33
2026-02-23 19:23:53,33
2026-02-23 19:24:23,22
2026-02-23 19:24:53,33
2026-02-23 19:25:23,33
2026-02-23 19:25:53,33
2026-02-23 19:26:23,33
2026-02-23 19:26:53,33
2026-02-23 19:27:23,33
2026-02-23 19:27:53,33
2026-02-23 19:28:23,33
2026-02-23 19:28:53,33
2026-02-23 19:29:23,9
2026-02-23 19:29:53,2
2026-02-23 19:30:23,2
2026-02-23 19:30:53,2
2026-02-23 19:31:23,2
2026-02-23 19:31:53,1
2026-02-23 19:32:23,1
2026-02-23 19:32:53,1
2026-02-23 19:33:23,1
2026-02-23 19:33:53,3
2026-02-23 19:34:23,3
2026-02-23 19:34:53,3
2026-02-23 19:35:23,3
2026-02-23 19:35:53,3
2026-02-23 19:36:23,3
2026-02-23 19:36:53,3
2026-02-23 19:37:23,3
