Time,"name=""rskj-miner3""","name=""rskj-miner4""","name=""rskj-node1""","name=""rskj-node2"""
2026-03-10 04:41:03,,1.806714335,1.639742042,
2026-03-10 05:05:03,2.060568917,3.75007896,3.191109501,3.22964721
2026-03-10 06:59:03,,4.411133002,,
2026-03-10 07:20:03,,2.683345835,,
2026-03-10 07:44:03,1.370003209,,1.673064709,
2026-03-10 09:28:03,,2.94004746,,
2026-03-10 10:40:03,,2.143361626,,
2026-03-10 11:52:03,,3.83129421,3.599119668,
2026-03-10 12:14:03,1.16001725,,2.262889167,
2026-03-10 12:42:03,,2.242910293,,
