Time,Series_B
2026-03-09 21:11:02,5.5
2026-03-09 21:11:32,41
2026-03-09 21:12:02,23
2026-03-09 21:12:32,54
2026-03-09 21:13:02,34
2026-03-09 21:13:32,32
2026-03-09 21:14:02,43
2026-03-09 21:14:32,44
2026-03-09 21:15:02,27
2026-03-09 21:15:32,44
2026-03-09 21:16:02,24
2026-03-09 21:16:32,31
2026-03-09 21:17:02,31
2026-03-09 21:17:32,37
2026-03-09 21:18:02,57
2026-03-09 21:18:32,29
2026-03-09 21:19:02,61
2026-03-09 21:19:32,37
2026-03-09 21:20:02,64
2026-03-09 21:20:32,53
2026-03-09 21:21:02,32
2026-03-09 21:21:32,39
2026-03-09 21:22:02,45
2026-03-09 21:22:32,42
2026-03-09 21:23:02,16
2026-03-09 21:23:32,54
2026-03-09 21:24:02,17
2026-03-09 21:24:32,29
2026-03-09 21:25:02,23
2026-03-09 21:25:32,39
2026-03-09 21:26:02,57
2026-03-09 21:26:32,59
2026-03-09 21:27:02,59
2026-03-09 21:27:32,54
2026-03-09 21:28:02,36
2026-03-09 21:28:32,57
2026-03-09 21:29:02,40
2026-03-09 21:29:32,40
2026-03-09 21:30:02,48
2026-03-09 21:30:32,55
2026-03-09 21:31:02,43
2026-03-09 21:31:32,46
2026-03-09 21:32:02,36
2026-03-09 21:32:32,45
2026-03-09 21:33:02,2
2026-03-09 21:33:32,45
2026-03-09 21:34:02,30
2026-03-09 21:34:32,30
2026-03-09 21:35:02,38
2026-03-09 21:35:32,38
2026-03-09 21:36:02,45
2026-03-09 21:36:32,23
2026-03-09 21:37:02,62
2026-03-09 21:37:32,51
2026-03-09 21:38:02,42
2026-03-09 21:38:32,41
2026-03-09 21:39:02,40
2026-03-09 21:39:32,17
2026-03-09 21:40:02,48
2026-03-09 21:40:32,26
2026-03-09 21:41:02,49
2026-03-09 21:41:32,35
2026-03-09 21:42:02,44
2026-03-09 21:42:32,32
2026-03-09 21:43:02,43
2026-03-09 21:43:32,43
2026-03-09 21:44:02,37
2026-03-09 21:44:32,29
2026-03-09 21:45:02,48
2026-03-09 21:45:32,36
2026-03-09 21:46:02,57
2026-03-09 21:46:32,48
2026-03-09 21:47:02,53
2026-03-09 21:47:32,42
2026-03-09 21:48:02,51
2026-03-09 21:48:32,10
2026-03-09 21:49:02,42
2026-03-09 21:49:32,37
2026-03-09 21:50:02,54
2026-03-09 21:50:32,23
2026-03-09 21:51:02,19
2026-03-09 21:51:32,73
2026-03-09 21:52:02,73
2026-03-09 21:52:32,45
2026-03-09 21:53:02,6
2026-03-09 21:53:32,49
2026-03-09 21:54:02,72
2026-03-09 21:54:32,48
2026-03-09 21:55:02,48
2026-03-09 21:55:32,41
2026-03-09 21:56:02,57
2026-03-09 21:56:32,57
2026-03-09 21:57:02,31
2026-03-09 21:57:32,46
2026-03-09 21:58:02,46
2026-03-09 21:58:32,46
2026-03-09 21:59:02,49
2026-03-09 21:59:32,50
2026-03-09 22:00:02,46
2026-03-09 22:00:32,36
2026-03-09 22:01:02,47
2026-03-09 22:01:32,47
2026-03-09 22:02:02,43
2026-03-09 22:02:32,2
2026-03-09 22:03:02,46
2026-03-09 22:03:32,46
2026-03-09 22:04:02,46
2026-03-09 22:04:32,44
2026-03-09 22:05:02,44
2026-03-09 22:05:32,80
2026-03-09 22:06:02,16
2026-03-09 22:06:32,75
2026-03-09 22:07:02,75
2026-03-09 22:07:32,35
2026-03-09 22:08:02,47
2026-03-09 22:08:32,61
2026-03-09 22:09:02,43
2026-03-09 22:09:32,44
2026-03-09 22:10:02,34
2026-03-09 22:10:32,48
2026-03-09 22:11:02,52
2026-03-09 22:11:32,44
2026-03-09 22:12:02,2
2026-03-09 22:12:32,1
2026-03-09 22:13:02,54
2026-03-09 22:13:32,51
