Time,"device=""nbd0""","device=""nbd1""","device=""nbd10""","device=""nbd11""","device=""nbd12""","device=""nbd13""","device=""nbd14""","device=""nbd15""","device=""nbd2""","device=""nbd3""","device=""nbd4""","device=""nbd5""","device=""nbd6""","device=""nbd7""","device=""nbd8""","device=""nbd9""","device=""vda""","device=""vdb"""
2026-03-17 22:55:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5271391.109425113,0
2026-03-17 22:55:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5451069.793103448,0
2026-03-17 22:56:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7468586.600462054,0
2026-03-17 22:56:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9137697.85561608,0
2026-03-17 22:57:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2950430.6748043173,0
2026-03-17 22:57:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3896009.103134374,0
2026-03-17 22:58:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5155346.874030138,0
2026-03-17 22:58:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3011124.9655172415,0
2026-03-17 22:59:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5092423.57160098,0
2026-03-17 22:59:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9081992.620435186,0
2026-03-17 23:00:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5302500.293073131,0
2026-03-17 23:00:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3651967.7263636994,0
2026-03-17 23:01:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3626089.9310344825,0
2026-03-17 23:01:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5023390.8965517245,0
2026-03-17 23:02:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6972239.448275862,0
2026-03-17 23:02:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5831090.5141202025,0
2026-03-17 23:03:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5122577.388546013,0
2026-03-17 23:03:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4151931.5862068967,0
2026-03-17 23:04:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5451116.521259353,0
2026-03-17 23:04:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7171460.175160334,0
2026-03-17 23:05:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4095435.0539636565,0
2026-03-17 23:05:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8944790.593427813,0
2026-03-17 23:06:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7730862.797834557,0
2026-03-17 23:06:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7424150.053442748,0
2026-03-17 23:07:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6557215.903996688,0
2026-03-17 23:07:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7530306.954932587,0
2026-03-17 23:08:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5464440.215142739,0
2026-03-17 23:08:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7523245.129478293,0
2026-03-17 23:09:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10845460.037238812,0
2026-03-17 23:09:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11698212.190239526,0
2026-03-17 23:10:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9303464.60604388,0
2026-03-17 23:10:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15199226.456084691,0
2026-03-17 23:11:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9722580.04896383,0
2026-03-17 23:11:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8454144,0
2026-03-17 23:12:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10956800,0
2026-03-17 23:12:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9177938.07323633,0
2026-03-17 23:13:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10615958.623543205,0
2026-03-17 23:13:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13674145.049487878,0
2026-03-17 23:14:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26247617.681539204,0
2026-03-17 23:14:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21261744.077790424,0
2026-03-17 23:15:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9619950.344827587,0
2026-03-17 23:15:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14844045.24137931,0
2026-03-17 23:16:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17384588.43408393,0
2026-03-17 23:16:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18110519.42768488,0
2026-03-17 23:17:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15902790.620689655,0
2026-03-17 23:17:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14420959.619297216,0
