Time,Series_B
2026-03-16 21:48:37,5
2026-03-16 21:49:07,5
2026-03-16 21:49:37,5
2026-03-16 21:50:07,5
2026-03-16 21:50:37,5
2026-03-16 21:51:07,1
2026-03-16 21:51:37,9
2026-03-16 21:52:07,9
2026-03-16 21:52:37,9
2026-03-16 21:53:07,9
2026-03-16 21:53:37,9
2026-03-16 21:54:07,9
2026-03-16 21:54:37,9
2026-03-16 21:55:07,9
2026-03-16 21:55:37,12
2026-03-16 21:56:07,17
2026-03-16 21:56:37,17
2026-03-16 21:57:07,1
2026-03-16 21:57:37,1
2026-03-16 21:58:07,17
2026-03-16 21:58:37,17
2026-03-16 21:59:07,17
2026-03-16 21:59:37,17
2026-03-16 22:00:07,17
2026-03-16 22:00:37,23
2026-03-16 22:01:07,23
2026-03-16 22:01:37,25
2026-03-16 22:02:07,25
2026-03-16 22:02:37,33
2026-03-16 22:03:07,33
2026-03-16 22:03:37,33
2026-03-16 22:04:07,33
2026-03-16 22:04:37,33
2026-03-16 22:05:07,33
2026-03-16 22:05:37,2
2026-03-16 22:06:07,1
2026-03-16 22:06:37,1
2026-03-16 22:07:07,2
2026-03-16 22:07:37,2
2026-03-16 22:08:07,2
2026-03-16 22:08:37,2
2026-03-16 22:09:07,2
2026-03-16 22:09:37,2
2026-03-16 22:10:07,2
2026-03-16 22:10:37,2
2026-03-16 22:11:07,3
2026-03-16 22:11:37,2
2026-03-16 22:12:07,2
2026-03-16 22:12:37,3
2026-03-16 22:13:07,3
2026-03-16 22:13:37,3
2026-03-16 22:14:07,3
2026-03-16 22:14:37,3
2026-03-16 22:15:07,3
2026-03-16 22:15:37,3
2026-03-16 22:16:07,4
2026-03-16 22:16:37,4
2026-03-16 22:17:07,4
2026-03-16 22:17:37,4
2026-03-16 22:18:07,5
2026-03-16 22:18:37,5
2026-03-16 22:19:07,5
2026-03-16 22:19:37,5
2026-03-16 22:20:07,5
2026-03-16 22:20:37,5
2026-03-16 22:21:07,7
2026-03-16 22:21:37,7
2026-03-16 22:22:07,7
2026-03-16 22:22:37,7
2026-03-16 22:23:07,9
2026-03-16 22:23:37,9
2026-03-16 22:24:07,9
2026-03-16 22:24:37,9
2026-03-16 22:25:07,9
2026-03-16 22:25:37,12
