Time,"__name__=""rsk_txpool_pending_transactions"",instance=""rsk-rpc-exporter:9090"",job=""rsk-rpc-exporter"",node=""rskj-miner1"""
2026-03-16 21:48:37,40
2026-03-16 21:49:07,50
2026-03-16 21:49:37,40
2026-03-16 21:50:07,54
2026-03-16 21:50:37,32
2026-03-16 21:51:07,32
2026-03-16 21:51:37,8
2026-03-16 21:52:07,0
2026-03-16 21:52:37,8
2026-03-16 21:53:07,8
2026-03-16 21:53:37,0
2026-03-16 21:54:07,0
2026-03-16 21:54:37,8
2026-03-16 21:55:07,8
2026-03-16 21:55:37,41
2026-03-16 21:56:07,50
2026-03-16 21:56:37,22
2026-03-16 21:57:07,22
2026-03-16 21:57:37,72
2026-03-16 21:58:07,50
2026-03-16 21:58:37,72
2026-03-16 21:59:07,72
2026-03-16 21:59:37,72
2026-03-16 22:00:07,100
2026-03-16 22:00:37,144
2026-03-16 22:01:07,136
2026-03-16 22:01:37,296
2026-03-16 22:02:07,402
2026-03-16 22:02:37,150
2026-03-16 22:03:07,150
2026-03-16 22:03:37,296
2026-03-16 22:04:07,150
2026-03-16 22:04:37,100
2026-03-16 22:05:07,50
2026-03-16 22:05:37,1
2026-03-16 22:06:07,2
2026-03-16 22:06:37,4
2026-03-16 22:07:07,2
2026-03-16 22:07:37,4
2026-03-16 22:08:07,6
2026-03-16 22:08:37,6
2026-03-16 22:09:07,6
2026-03-16 22:09:37,7
2026-03-16 22:10:07,5
2026-03-16 22:10:37,7
2026-03-16 22:11:07,7
2026-03-16 22:11:37,5
2026-03-16 22:12:07,9
2026-03-16 22:12:37,9
2026-03-16 22:13:07,19
2026-03-16 22:13:37,6
2026-03-16 22:14:07,4
2026-03-16 22:14:37,2
2026-03-16 22:15:07,2
2026-03-16 22:15:37,8
2026-03-16 22:16:07,19
2026-03-16 22:16:37,24
2026-03-16 22:17:07,32
2026-03-16 22:17:37,40
2026-03-16 22:18:07,50
2026-03-16 22:18:37,50
2026-03-16 22:19:07,54
2026-03-16 22:19:37,54
2026-03-16 22:20:07,36
2026-03-16 22:20:37,36
2026-03-16 22:21:07,40
2026-03-16 22:21:37,68
2026-03-16 22:22:07,72
2026-03-16 22:22:37,64
2026-03-16 22:23:07,64
2026-03-16 22:23:37,72
