Time,"__name__=""rsk_txpool_pending_transactions"",instance=""rsk-rpc-exporter:9090"",job=""rsk-rpc-exporter"",node=""rskj-miner1"""
2026-03-18 19:56:48,20633
2026-03-18 19:57:18,13193
2026-03-18 19:57:48,14384
2026-03-18 19:58:18,18291
2026-03-18 19:58:48,18742
2026-03-18 19:59:18,17015
2026-03-18 19:59:48,14482
2026-03-18 20:00:18,17216
2026-03-18 20:00:48,20992
2026-03-18 20:01:18,20998
2026-03-18 20:01:48,13941
2026-03-18 20:02:18,20500
2026-03-18 20:02:48,10532
2026-03-18 20:03:18,17713
2026-03-18 20:03:48,20610
2026-03-18 20:04:18,17687
2026-03-18 20:04:48,16403
2026-03-18 20:05:18,21760
2026-03-18 20:05:48,21653
2026-03-18 20:06:18,17776
2026-03-18 20:06:48,9813
2026-03-18 20:07:18,13331
2026-03-18 20:07:48,17510
2026-03-18 20:08:18,18244
2026-03-18 20:08:48,18320
2026-03-18 20:09:18,18277
2026-03-18 20:09:48,14673
2026-03-18 20:10:18,9769
2026-03-18 20:10:48,12678
2026-03-18 20:11:18,21760
2026-03-18 20:11:48,20839
2026-03-18 20:12:18,18184
2026-03-18 20:12:48,16434
2026-03-18 20:13:18,16675
2026-03-18 20:13:48,10288
2026-03-18 20:14:18,18745
2026-03-18 20:14:48,18579
2026-03-18 20:15:18,16738
2026-03-18 20:15:48,17672
2026-03-18 20:16:18,4753
2026-03-18 20:16:48,16691
2026-03-18 20:17:18,21760
2026-03-18 20:17:48,21760
2026-03-18 20:18:18,18757
2026-03-18 20:18:48,17225
2026-03-18 20:19:18,17712
2026-03-18 20:19:48,2054
2026-03-18 20:20:18,12577
2026-03-18 20:20:48,18181
2026-03-18 20:21:18,17541
2026-03-18 20:21:48,17190
2026-03-18 20:22:18,20483
2026-03-18 20:22:48,20583
2026-03-18 20:23:18,9785
2026-03-18 20:23:48,17017
2026-03-18 20:24:18,21760
2026-03-18 20:24:48,20785
2026-03-18 20:25:18,18198
2026-03-18 20:25:48,18256
2026-03-18 20:26:18,18488
2026-03-18 20:26:48,6417
2026-03-18 20:27:18,14597
2026-03-18 20:27:48,21353
2026-03-18 20:28:18,20825
2026-03-18 20:28:48,21123
2026-03-18 20:29:18,21288
2026-03-18 20:29:48,21760
2026-03-18 20:30:18,18771
2026-03-18 20:30:48,8272
2026-03-18 20:31:18,13652
2026-03-18 20:31:48,18707
2026-03-18 20:32:18,20599
2026-03-18 20:32:48,17505
2026-03-18 20:33:18,17972
2026-03-18 20:33:48,9032
2026-03-18 20:34:18,12884
2026-03-18 20:34:48,17927
2026-03-18 20:35:18,18322
2026-03-18 20:35:48,20770
2026-03-18 20:36:18,18321
2026-03-18 20:36:48,21047
2026-03-18 20:37:18,14727
