Time,Series_B
2026-02-23 14:25:54,5
2026-02-23 14:26:24,9
2026-02-23 14:26:54,9
2026-02-23 14:27:24,7.5
2026-02-23 14:27:54,9
2026-02-23 14:28:24,9
2026-02-23 14:28:54,3
2026-02-23 14:29:24,9
2026-02-23 14:29:54,9
2026-02-23 14:30:24,9
2026-02-23 14:30:54,17
2026-02-23 14:31:24,12
2026-02-23 14:31:54,17
2026-02-23 14:32:24,17
2026-02-23 14:32:54,17
2026-02-23 14:33:24,17
2026-02-23 14:33:54,17
2026-02-23 14:34:24,17
2026-02-23 14:34:54,17
2026-02-23 14:35:24,17
2026-02-23 14:35:54,33
2026-02-23 14:36:24,28
2026-02-23 14:36:54,33
2026-02-23 14:37:24,22
2026-02-23 14:37:54,1
2026-02-23 14:38:24,32.333333333333336
2026-02-23 14:38:54,33
2026-02-23 14:39:24,6.333333333333333
2026-02-23 14:39:54,17
2026-02-23 14:40:24,1
2026-02-23 14:40:54,1.5
2026-02-23 14:41:24,2
2026-02-23 14:41:54,2
2026-02-23 14:42:24,2
2026-02-23 14:42:54,2
2026-02-23 14:43:24,2
2026-02-23 14:43:54,2
2026-02-23 14:44:24,2
2026-02-23 14:44:54,2
2026-02-23 14:45:24,2
2026-02-23 14:45:54,2
2026-02-23 14:46:24,3
2026-02-23 14:46:54,3
2026-02-23 14:47:24,3
2026-02-23 14:47:54,3
2026-02-23 14:48:24,3
2026-02-23 14:48:54,1
2026-02-23 14:49:24,1.3333333333333333
2026-02-23 14:49:54,1
2026-02-23 14:50:24,1
2026-02-23 14:50:54,1.5
2026-02-23 14:51:24,4.833333333333333
2026-02-23 14:51:54,5
2026-02-23 14:52:24,5
2026-02-23 14:52:54,5
2026-02-23 14:53:24,5
2026-02-23 14:53:54,1
2026-02-23 14:54:24,4.333333333333333
2026-02-23 14:54:54,5
2026-02-23 14:55:24,1.6666666666666667
2026-02-23 14:55:54,1.6666666666666667
2026-02-23 14:56:24,1.6666666666666667
2026-02-23 14:56:54,9
2026-02-23 14:57:24,9
2026-02-23 14:57:54,9
2026-02-23 14:58:24,9
2026-02-23 14:58:54,9
2026-02-23 14:59:24,9
2026-02-23 14:59:54,1
2026-02-23 15:00:24,1
2026-02-23 15:00:54,1
2026-02-23 15:01:24,17
2026-02-23 15:01:54,17
2026-02-23 15:02:24,17
2026-02-23 15:02:54,17
2026-02-23 15:03:24,17
2026-02-23 15:03:54,17
2026-02-23 15:04:24,17
2026-02-23 15:04:54,17
2026-02-23 15:05:24,9
2026-02-23 15:05:54,17
2026-02-23 15:06:24,17
2026-02-23 15:06:54,33
2026-02-23 15:07:24,20.333333333333332
2026-02-23 15:07:54,32.5
2026-02-23 15:08:24,33
2026-02-23 15:08:54,31.333333333333332
2026-02-23 15:09:24,30.666666666666668
2026-02-23 15:09:54,25
2026-02-23 15:10:24,33
2026-02-23 15:10:54,33
2026-02-23 15:11:24,17
2026-02-23 15:11:54,1
2026-02-23 15:12:24,2
2026-02-23 15:12:54,2
2026-02-23 15:13:24,2
2026-02-23 15:13:54,2
2026-02-23 15:14:24,2
2026-02-23 15:14:54,2
2026-02-23 15:15:24,2
2026-02-23 15:15:54,2
2026-02-23 15:16:24,2
2026-02-23 15:16:54,2
2026-02-23 15:17:24,3
2026-02-23 15:17:54,3
2026-02-23 15:18:24,3
2026-02-23 15:18:54,3
2026-02-23 15:19:24,3
2026-02-23 15:19:54,1
2026-02-23 15:20:24,1
2026-02-23 15:20:54,1.3333333333333333
2026-02-23 15:21:24,1
2026-02-23 15:21:54,3.6666666666666665
2026-02-23 15:22:24,4.833333333333333
2026-02-23 15:22:54,5
2026-02-23 15:23:24,4.166666666666667
2026-02-23 15:23:54,4.666666666666667
2026-02-23 15:24:24,5
2026-02-23 15:24:54,5
2026-02-23 15:25:24,5
2026-02-23 15:25:54,3
