timestamp,container,cgrp_total_mb,rss_mb,cache_mb,nmt_total_mb,heap_comm_mb,gc_mb,threads_mb,metaspace_mb,nmt_other_mb,db_fds
2026-03-17 17:16:47,rskj-miner1,5232,4704,492,5505,5120,237,8,38,385,39
2026-03-17 17:16:48,rskj-miner2,5129,4666,427,5504,5120,237,8,38,384,39
2026-03-17 17:16:49,rskj-node1,3289,3129,137,3355,3072,158,5,38,283,39
2026-03-17 17:16:50,rskj-node2,3342,3176,138,3355,3072,158,5,37,283,39
2026-03-17 17:17:21,rskj-miner1,5250,4707,506,5505,5120,237,8,38,385,39
2026-03-17 17:17:22,rskj-miner2,5152,4668,448,5520,5120,237,8,38,400,39
2026-03-17 17:17:22,rskj-node1,3290,3129,137,3355,3072,158,5,38,283,39
2026-03-17 17:17:23,rskj-node2,3343,3176,138,3355,3072,158,5,37,283,39
2026-03-17 17:17:54,rskj-miner1,5264,4708,519,5505,5120,237,8,38,385,39
2026-03-17 17:17:55,rskj-miner2,5173,4668,466,5505,5120,237,8,38,385,39
2026-03-17 17:17:56,rskj-node1,3291,3129,138,3355,3072,158,5,38,283,39
2026-03-17 17:17:56,rskj-node2,3344,3176,139,3355,3072,158,5,37,283,39
2026-03-17 17:18:28,rskj-miner1,5277,4709,530,5505,5120,237,8,38,385,39
2026-03-17 17:18:28,rskj-miner2,5185,4668,479,5504,5120,237,8,38,384,39
2026-03-17 17:18:29,rskj-node1,3291,3129,138,3355,3072,158,5,38,283,39
2026-03-17 17:18:30,rskj-node2,3344,3176,140,3355,3072,158,5,37,283,39
2026-03-17 17:19:01,rskj-miner1,5287,4711,539,5505,5120,237,8,38,385,39
2026-03-17 17:19:02,rskj-miner2,5206,4674,495,5504,5120,237,8,38,384,39
2026-03-17 17:19:03,rskj-node1,3294,3129,140,3355,3072,158,5,38,283,39
2026-03-17 17:19:03,rskj-node2,3347,3176,141,3355,3072,158,5,37,283,39
2026-03-17 17:19:34,rskj-miner1,5300,4709,554,5505,5120,237,8,38,385,40
2026-03-17 17:19:35,rskj-miner2,5234,4683,514,5504,5120,237,8,38,384,40
2026-03-17 17:19:36,rskj-node1,3294,3130,141,3355,3072,158,5,38,283,40
2026-03-17 17:19:37,rskj-node2,3348,3177,142,3355,3072,158,5,37,283,40
2026-03-17 17:20:08,rskj-miner1,5234,4716,483,5505,5120,237,8,38,385,40
2026-03-17 17:20:09,rskj-miner2,5246,4681,526,5504,5120,237,8,38,384,40
2026-03-17 17:20:09,rskj-node1,3297,3130,141,3359,3072,158,5,38,287,40
2026-03-17 17:20:10,rskj-node2,3349,3177,143,3355,3072,158,5,37,283,40
2026-03-17 17:20:41,rskj-miner1,5253,4717,500,5505,5120,237,8,38,385,40
2026-03-17 17:20:42,rskj-miner2,5172,4682,451,5504,5120,237,8,38,384,40
2026-03-17 17:20:43,rskj-node1,3298,3132,142,3355,3072,158,5,38,283,40
