Time,"__name__=""rsk_txpool_pending_transactions"",instance=""rsk-rpc-exporter:9090"",job=""rsk-rpc-exporter"",node=""rskj-miner1"""
2026-03-09 18:09:06,135
2026-03-09 18:09:36,121
2026-03-09 18:10:06,5
2026-03-09 18:10:36,33
2026-03-09 18:11:06,57
2026-03-09 18:11:36,37
2026-03-09 18:12:06,103
2026-03-09 18:12:36,6
2026-03-09 18:13:06,23
2026-03-09 18:13:36,257
2026-03-09 18:14:06,307
2026-03-09 18:14:36,18
2026-03-09 18:15:06,39
2026-03-09 18:15:36,48
2026-03-09 18:16:06,66
2026-03-09 18:16:36,9
2026-03-09 18:17:06,3
2026-03-09 18:17:36,96
2026-03-09 18:18:06,273
2026-03-09 18:18:36,17
2026-03-09 18:19:06,16
2026-03-09 18:19:36,17
2026-03-09 18:20:06,84
2026-03-09 18:20:36,113
2026-03-09 18:21:06,81
2026-03-09 18:21:36,88
2026-03-09 18:22:06,38
2026-03-09 18:22:36,150
2026-03-09 18:23:06,7
2026-03-09 18:23:36,4
2026-03-09 18:24:06,339
2026-03-09 18:24:36,295
2026-03-09 18:25:06,112
2026-03-09 18:25:36,21
2026-03-09 18:26:06,32
2026-03-09 18:26:36,33
2026-03-09 18:27:06,67
2026-03-09 18:27:36,0
2026-03-09 18:28:06,0
2026-03-09 18:28:36,0
2026-03-09 18:29:06,0
2026-03-09 18:29:36,0
2026-03-09 18:30:06,0
2026-03-09 18:30:36,0
2026-03-09 18:31:06,2
2026-03-09 18:31:36,0
2026-03-09 18:32:06,0
2026-03-09 18:32:36,260
2026-03-09 18:33:06,407
2026-03-09 18:33:36,631
2026-03-09 18:34:06,656
2026-03-09 18:34:36,1111
2026-03-09 18:35:06,1106
2026-03-09 18:35:36,660
2026-03-09 18:36:06,883
2026-03-09 18:36:36,916
2026-03-09 18:37:06,1153
2026-03-09 18:37:36,117
2026-03-09 18:38:06,385
2026-03-09 18:38:36,388
2026-03-09 18:39:06,535
2026-03-09 18:39:36,516
2026-03-09 18:40:06,552
2026-03-09 18:40:36,624
2026-03-09 18:41:06,836
2026-03-09 18:41:36,1047
2026-03-09 18:42:06,1128
2026-03-09 18:42:36,1127
2026-03-09 18:43:06,819
2026-03-09 18:43:36,616
2026-03-09 18:44:06,665
2026-03-09 18:44:36,597
2026-03-09 18:45:06,150
2026-03-09 18:45:36,337
2026-03-09 18:46:06,577
2026-03-09 18:46:36,152
2026-03-09 18:47:06,80
2026-03-09 18:47:36,578
2026-03-09 18:48:06,548
2026-03-09 18:48:36,631
2026-03-09 18:49:06,409
2026-03-09 18:49:36,546
2026-03-09 18:50:06,649
2026-03-09 18:50:36,304
2026-03-09 18:51:06,147
2026-03-09 18:51:36,119
2026-03-09 18:52:06,311
2026-03-09 18:52:36,404
2026-03-09 18:53:06,599
2026-03-09 18:53:36,772
2026-03-09 18:54:06,657
2026-03-09 18:54:36,804
2026-03-09 18:55:06,788
2026-03-09 18:55:36,308
2026-03-09 18:56:06,308
2026-03-09 18:56:36,404
2026-03-09 18:57:06,377
2026-03-09 18:57:36,615
2026-03-09 18:58:06,113
2026-03-09 18:58:36,278
2026-03-09 18:59:06,354
2026-03-09 18:59:36,1280
2026-03-09 19:00:06,1044
2026-03-09 19:00:36,592
2026-03-09 19:01:06,616
2026-03-09 19:01:36,293
2026-03-09 19:02:06,329
2026-03-09 19:02:36,403
2026-03-09 19:03:06,517
2026-03-09 19:03:36,518
2026-03-09 19:04:06,306
2026-03-09 19:04:36,292
2026-03-09 19:05:06,261
2026-03-09 19:05:36,114
2026-03-09 19:06:06,293
2026-03-09 19:06:36,136
2026-03-09 19:07:06,293
2026-03-09 19:07:36,520
2026-03-09 19:08:06,793
2026-03-09 19:08:36,819
2026-03-09 19:09:06,898
2026-03-09 19:09:36,551
2026-03-09 19:10:06,352
2026-03-09 19:10:36,534
2026-03-09 19:11:06,119
2026-03-09 19:11:36,355
2026-03-09 19:12:06,375
2026-03-09 19:12:36,306
2026-03-09 19:13:06,115
2026-03-09 19:13:36,148
2026-03-09 19:14:06,608
2026-03-09 19:14:36,599
2026-03-09 19:15:06,582
2026-03-09 19:15:36,377
2026-03-09 19:16:06,530
2026-03-09 19:16:36,897
2026-03-09 19:17:06,117
2026-03-09 19:17:36,768
2026-03-09 19:18:06,644
2026-03-09 19:18:36,772
2026-03-09 19:19:06,377
2026-03-09 19:19:36,112
2026-03-09 19:20:06,324
2026-03-09 19:20:36,386
2026-03-09 19:21:06,644
2026-03-09 19:21:36,840
2026-03-09 19:22:06,257
2026-03-09 19:22:36,345
2026-03-09 19:23:06,520
2026-03-09 19:23:36,512
2026-03-09 19:24:06,404
2026-03-09 19:24:36,407
2026-03-09 19:25:06,613
2026-03-09 19:25:36,359
2026-03-09 19:26:06,310
2026-03-09 19:26:36,265
2026-03-09 19:27:06,260
2026-03-09 19:27:36,342
2026-03-09 19:28:06,569
2026-03-09 19:28:36,306
2026-03-09 19:29:06,84
2026-03-09 19:29:36,515
2026-03-09 19:30:06,327
2026-03-09 19:30:36,325
2026-03-09 19:31:06,150
2026-03-09 19:31:36,599
2026-03-09 19:32:06,848
2026-03-09 19:32:36,663
2026-03-09 19:33:06,628
2026-03-09 19:33:36,628
2026-03-09 19:34:06,516
2026-03-09 19:34:36,133
2026-03-09 19:35:06,305
2026-03-09 19:35:36,129
2026-03-09 19:36:06,356
2026-03-09 19:36:36,595
2026-03-09 19:37:06,665
2026-03-09 19:37:36,515
2026-03-09 19:38:06,320
2026-03-09 19:38:36,69
2026-03-09 19:39:06,57
2026-03-09 19:39:36,616
2026-03-09 19:40:06,342
2026-03-09 19:40:36,389
2026-03-09 19:41:06,611
2026-03-09 19:41:36,149
2026-03-09 19:42:06,144
2026-03-09 19:42:36,19
2026-03-09 19:43:06,627
2026-03-09 19:43:36,391
2026-03-09 19:44:06,512
2026-03-09 19:44:36,342
2026-03-09 19:45:06,547
2026-03-09 19:45:36,392
2026-03-09 19:46:06,264
2026-03-09 19:46:36,520
2026-03-09 19:47:06,323
2026-03-09 19:47:36,274
2026-03-09 19:48:06,121
2026-03-09 19:48:36,337
2026-03-09 19:49:06,339
2026-03-09 19:49:36,404
2026-03-09 19:50:06,294
2026-03-09 19:50:36,280
2026-03-09 19:51:06,83
2026-03-09 19:51:36,40
2026-03-09 19:52:06,295
2026-03-09 19:52:36,133
2026-03-09 19:53:06,339
2026-03-09 19:53:36,112
2026-03-09 19:54:06,513
2026-03-09 19:54:36,564
2026-03-09 19:55:06,403
2026-03-09 19:55:36,537
2026-03-09 19:56:06,409
2026-03-09 19:56:36,135
2026-03-09 19:57:06,359
2026-03-09 19:57:36,115
2026-03-09 19:58:06,804
2026-03-09 19:58:36,533
2026-03-09 19:59:06,117
2026-03-09 19:59:36,280
2026-03-09 20:00:06,320
2026-03-09 20:00:36,121
2026-03-09 20:01:06,151
2026-03-09 20:01:36,518
2026-03-09 20:02:06,259
2026-03-09 20:02:36,129
2026-03-09 20:03:06,112
2026-03-09 20:03:36,359
2026-03-09 20:04:06,374
2026-03-09 20:04:36,135
2026-03-09 20:05:06,544
2026-03-09 20:05:36,375
2026-03-09 20:06:06,360
2026-03-09 20:06:36,578
2026-03-09 20:07:06,801
2026-03-09 20:07:36,627
2026-03-09 20:08:06,545
2026-03-09 20:08:36,355
2026-03-09 20:09:06,48
2026-03-09 20:09:36,96
2026-03-09 20:10:06,327
2026-03-09 20:10:36,57
2026-03-09 20:11:06,115
2026-03-09 20:11:36,118
2026-03-09 20:12:06,85
2026-03-09 20:12:36,354
2026-03-09 20:13:06,357
2026-03-09 20:13:36,359
2026-03-09 20:14:06,292
2026-03-09 20:14:36,513
2026-03-09 20:15:06,297
2026-03-09 20:15:36,594
2026-03-09 20:16:06,260
2026-03-09 20:16:36,297
2026-03-09 20:17:06,136
2026-03-09 20:17:36,386
2026-03-09 20:18:06,69
2026-03-09 20:18:36,50
2026-03-09 20:19:06,81
2026-03-09 20:19:36,304
2026-03-09 20:20:06,264
2026-03-09 20:20:36,112
2026-03-09 20:21:06,393
2026-03-09 20:21:36,112
2026-03-09 20:22:06,89
2026-03-09 20:22:36,386
2026-03-09 20:23:06,384
2026-03-09 20:23:36,22
2026-03-09 20:24:06,136
2026-03-09 20:24:36,103
2026-03-09 20:25:06,112
2026-03-09 20:25:36,33
2026-03-09 20:26:06,137
2026-03-09 20:26:36,583
2026-03-09 20:27:06,306
2026-03-09 20:27:36,40
2026-03-09 20:28:06,312
2026-03-09 20:28:36,374
2026-03-09 20:29:06,135
2026-03-09 20:29:36,116
2026-03-09 20:30:06,121
2026-03-09 20:30:36,151
2026-03-09 20:31:06,148
2026-03-09 20:31:36,311
2026-03-09 20:32:06,17
2026-03-09 20:32:36,117
2026-03-09 20:33:06,273
2026-03-09 20:33:36,358
2026-03-09 20:34:06,264
2026-03-09 20:34:36,323
2026-03-09 20:35:06,785
2026-03-09 20:35:36,864
2026-03-09 20:36:06,649
2026-03-09 20:36:36,640
2026-03-09 20:37:06,307
2026-03-09 20:37:36,657
2026-03-09 20:38:06,537
2026-03-09 20:38:36,342
2026-03-09 20:39:06,661
2026-03-09 20:39:36,663
2026-03-09 20:40:06,336
2026-03-09 20:40:36,149
2026-03-09 20:41:06,88
2026-03-09 20:41:36,37
2026-03-09 20:42:06,297
2026-03-09 20:42:36,355
2026-03-09 20:43:06,150
2026-03-09 20:43:36,117
2026-03-09 20:44:06,101
2026-03-09 20:44:36,274
2026-03-09 20:45:06,370
2026-03-09 20:45:36,144
2026-03-09 20:46:06,66
2026-03-09 20:46:36,121
2026-03-09 20:47:06,83
2026-03-09 20:47:36,261
2026-03-09 20:48:06,113
2026-03-09 20:48:36,146
2026-03-09 20:49:06,263
2026-03-09 20:49:36,594
2026-03-09 20:50:06,340
2026-03-09 20:50:36,68
2026-03-09 20:51:06,263
2026-03-09 20:51:36,531
2026-03-09 20:52:06,134
2026-03-09 20:52:36,18
2026-03-09 20:53:06,401
2026-03-09 20:53:36,54
2026-03-09 20:54:06,373
2026-03-09 20:54:36,358
2026-03-09 20:55:06,324
2026-03-09 20:55:36,407
2026-03-09 20:56:06,280
2026-03-09 20:56:36,340
2026-03-09 20:57:06,85
2026-03-09 20:57:36,150
2026-03-09 20:58:06,260
2026-03-09 20:58:36,578
2026-03-09 20:59:06,566
2026-03-09 20:59:36,4
2026-03-09 21:00:06,151
2026-03-09 21:00:36,52
2026-03-09 21:01:06,256
2026-03-09 21:01:36,22
2026-03-09 21:02:06,131
2026-03-09 21:02:36,393
2026-03-09 21:03:06,774
2026-03-09 21:03:36,119
2026-03-09 21:04:06,128
2026-03-09 21:04:36,281
2026-03-09 21:05:06,297
2026-03-09 21:05:36,82
2026-03-09 21:06:06,112
