Time,"device=""nbd0""","device=""nbd1""","device=""nbd10""","device=""nbd11""","device=""nbd12""","device=""nbd13""","device=""nbd14""","device=""nbd15""","device=""nbd2""","device=""nbd3""","device=""nbd4""","device=""nbd5""","device=""nbd6""","device=""nbd7""","device=""nbd8""","device=""nbd9""","device=""vda""","device=""vdb"""
2026-03-10 15:56:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4362322.801968442,0
2026-03-10 15:56:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2447148.1379310344,0
2026-03-10 15:57:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23200779.088212978,0
2026-03-10 15:57:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11913723.25092238,0
2026-03-10 15:58:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18626694.527774904,0
2026-03-10 15:58:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18149597.60008276,0
2026-03-10 15:59:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25535311.44827586,0
2026-03-10 15:59:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29149819.586206894,0
2026-03-10 16:00:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11951410.186558155,0
2026-03-10 16:00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13526601.475760292,0
2026-03-10 16:01:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10898467.310344828,0
2026-03-10 16:01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13031430.285891643,0
2026-03-10 16:02:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18687911.730225503,0
2026-03-10 16:02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12109059.513137026,0
2026-03-10 16:03:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14500187.441812353,0
2026-03-10 16:03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12613843.862068966,0
2026-03-10 16:04:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4972997.965447084,0
2026-03-10 16:04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5396864.622495086,0
2026-03-10 16:05:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12753862.26161327,0
2026-03-10 16:05:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10756007.585945314,0
2026-03-10 16:06:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14051983.173574237,0
2026-03-10 16:06:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13001809.316920105,0
2026-03-10 16:07:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10759820.97169063,0
2026-03-10 16:07:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23780811.03448276,0
2026-03-10 16:08:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23736432.290768646,0
2026-03-10 16:08:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17267556.229954824,0
2026-03-10 16:09:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11286243.983173575,0
2026-03-10 16:09:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15471894.624323297,0
2026-03-10 16:10:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13956034.485136908,0
2026-03-10 16:10:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13214434.152901823,0
2026-03-10 16:11:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14246311.72413793,0
2026-03-10 16:11:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24048003.310573142,0
2026-03-10 16:12:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22002352.08110624,0
2026-03-10 16:12:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13776966.620689655,0
2026-03-10 16:13:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10896066.206896551,0
2026-03-10 16:13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10855904.272561122,0
2026-03-10 16:14:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24833579.865540422,0
2026-03-10 16:14:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10696209.655172413,0
2026-03-10 16:15:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3616892.7204386354,0
2026-03-10 16:15:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10253206.524362907,0
2026-03-10 16:16:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17350979.69175603,0
2026-03-10 16:16:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17141979.65306756,0
2026-03-10 16:17:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18949666.72413199,0
2026-03-10 16:17:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13895977.6559429,0
2026-03-10 16:18:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11184339.862068966,0
2026-03-10 16:18:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7443536.121935238,0
2026-03-10 16:19:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14352241.63850769,0
2026-03-10 16:19:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13854225.655172413,0
