"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-10 12:46:00,0.0479,0.0455,0.0470,0.0451,0.0253,0.0221
2026-02-10 12:48:00,0.0477,0.0448,0.0347,0.0429,0.0217,0.0241
2026-02-10 12:50:00,0.0328,0.0816,0.0539,0.0575,0.0214,0.0358
2026-02-10 12:52:00,0.0513,0.0719,0.0708,0.0418,0.0398,0.0237
2026-02-10 12:54:00,0.0447,0.0472,0.0498,0.0377,0.0310,0.0229
2026-02-10 12:56:00,0.0397,0.0376,0.0329,0.0322,0.0163,0.0178
2026-02-10 12:58:00,0.0406,0.0423,0.0415,0.0374,0.0191,0.0201
2026-02-10 13:00:00,0.0464,0.0501,0.0380,0.0451,0.0302,0.0192
2026-02-10 13:02:00,0.0380,0.0357,0.0341,0.0355,0.0181,0.0158
2026-02-10 13:04:00,0.0376,0.0432,0.0412,0.0376,0.0186,0.0181
2026-02-10 13:06:00,0.0466,0.0522,0.0520,0.0932,0.0296,0.0240
2026-02-10 13:08:00,0.0838,0.153,0.0795,0.0741,0.0826,0.0606
2026-02-10 13:10:00,0.0475,0.0538,0.0420,0.0414,0.0201,0.0204
2026-02-10 13:12:00,0.0626,0.0570,0.0470,0.0617,0.0852,0.0315
2026-02-10 13:14:00,0.0620,0.0454,0.0551,0.0538,0.0271,0.0513
2026-02-10 13:16:00,0.0378,0.0766,0.0578,0.0575,0.0342,0.0282
2026-02-10 13:18:00,0.0233,0.0240,0.0796,0.0244,0.0226,0.0197
2026-02-10 13:20:00,0.0691,0.103,0.0536,0.102,0.0660,0.0721
2026-02-10 13:22:00,0.0398,0.0628,0.0438,0.0722,0.0514,0.0398
2026-02-10 13:24:00,0.0332,0.131,0.0775,0.0788,0.0993,0.0517
2026-02-10 13:26:00,0.0629,0.0939,0.0868,0.0699,0.0409,0.0340
2026-02-10 13:28:00,0.0826,0.109,0.0746,0.144,0.0502,0.0499
2026-02-10 13:30:00,0.0950,0.0743,0.105,0.0842,0.0620,0.0548
2026-02-10 13:32:00,0.0112,0.00734,0.00852,0.00876,0.00507,0.0101
2026-02-10 13:34:00,0.0518,0.0868,0.130,0.0830,0.0380,0.0405
2026-02-10 13:36:00,0.0571,0.184,0.107,0.105,0.0642,0.0516
2026-02-10 13:38:00,0.0624,0.161,0.154,0.154,0.119,0.141
2026-02-10 13:40:00,0.0504,0.0805,0.0711,0.0811,0.0423,0.0394
2026-02-10 13:42:00,0.0958,0.0989,0.144,0.0917,0.0640,0.0551
2026-02-10 13:44:00,0.0610,0.0469,0.0787,0.0818,0.0563,0.0464
2026-02-10 13:46:00,0.0721,0.134,0.116,0.0686,0.0763,0.0517
