"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-10 12:44:00,30.9%,11.4%,10.7%,16.1%,15.8%,7.50%
2026-02-10 12:48:00,31.8%,10.2%,15.8%,15.4%,8.54%,9.49%
2026-02-10 12:52:00,42.2%,22.4%,22.7%,19.1%,17.2%,19.9%
2026-02-10 12:56:00,34.2%,18.7%,19.4%,13.1%,18.6%,18.9%
2026-02-10 13:00:00,53.3%,19.5%,13.7%,18.6%,15.3%,19.4%
2026-02-10 13:04:00,42.1%,14.8%,15.3%,13.6%,15.7%,20.5%
2026-02-10 13:08:00,30.0%,14.2%,22.5%,38.1%,6.63%,18.6%
2026-02-10 13:12:00,42.1%,12.3%,13.1%,27.4%,15.3%,14.1%
2026-02-10 13:16:00,52.1%,24.8%,27.5%,22.4%,22.0%,24.0%
2026-02-10 13:20:00,39.8%,17.3%,16.3%,12.9%,17.1%,12.4%
2026-02-10 13:24:00,28.1%,17.1%,16.1%,18.7%,17.4%,23.9%
2026-02-10 13:28:00,53.9%,18.9%,13.0%,16.4%,15.1%,10.4%
2026-02-10 13:32:00,18.6%,20.8%,19.8%,17.7%,22.4%,15.8%
2026-02-10 13:36:00,44.4%,32.9%,34.9%,30.6%,31.6%,30.0%
2026-02-10 13:40:00,60.9%,17.0%,19.8%,18.2%,16.0%,17.0%
2026-02-10 13:44:00,55.2%,37.3%,13.9%,36.1%,24.1%,20.9%
2026-02-10 13:48:00,38.9%,33.6%,12.1%,24.5%,13.2%,10.2%
2026-02-10 13:52:00,39.3%,19.7%,19.8%,21.2%,20.0%,17.2%
2026-02-10 13:56:00,49.9%,11.1%,11.7%,17.4%,15.1%,15.2%
2026-02-10 14:00:00,62.9%,40.5%,30.2%,19.6%,37.4%,28.9%
2026-02-10 14:04:00,48.2%,18.1%,15.4%,33.3%,12.1%,12.7%
2026-02-10 14:08:00,52.7%,28.9%,14.1%,31.1%,22.4%,20.2%
2026-02-10 14:12:00,50.3%,14.6%,19.6%,16.2%,13.1%,15.1%
2026-02-10 14:16:00,52.8%,39.7%,9.70%,10.9%,13.0%,11.5%
2026-02-10 14:20:00,39.6%,15.8%,15.6%,10.7%,11.0%,11.1%
2026-02-10 14:24:00,45.4%,24.6%,28.4%,23.0%,23.7%,22.0%
2026-02-10 14:28:00,45.3%,31.1%,8.08%,23.0%,24.1%,16.0%
2026-02-10 14:32:00,21.3%,32.3%,24.6%,26.3%,28.0%,25.2%
2026-02-10 14:36:00,46.7%,15.7%,17.6%,15.4%,7.73%,12.3%
2026-02-10 14:40:00,52.4%,14.1%,10.0%,15.8%,7.85%,13.8%
2026-02-10 14:44:00,37.3%,16.6%,15.0%,6.47%,18.4%,22.1%
2026-02-10 14:48:00,52.5%,33.5%,10.7%,20%,25.9%,18.7%
2026-02-10 14:52:00,58.6%,23.2%,23.4%,22.4%,17.3%,18.0%
2026-02-10 14:56:00,31.6%,27.2%,10.6%,38.1%,37.6%,22.2%
2026-02-10 15:00:00,30.3%,26.9%,28.3%,18.6%,13.2%,29.5%
2026-02-10 15:04:00,38.7%,10.2%,12.3%,13.5%,10.9%,18.0%
2026-02-10 15:08:00,36.4%,18.1%,16.2%,18.6%,27.1%,18.8%
2026-02-10 15:12:00,34.7%,20.6%,16.6%,19.2%,18.4%,19.1%
2026-02-10 15:16:00,40.2%,9.31%,9.81%,10.4%,9.84%,17.7%
2026-02-10 15:20:00,62.3%,17.5%,18.2%,20.2%,22.2%,19.5%
2026-02-10 15:24:00,51.8%,19.1%,20.2%,27.2%,22.4%,19.8%
2026-02-10 15:28:00,35.0%,24.6%,20.2%,20.6%,15.9%,10.3%
2026-02-10 15:32:00,59.0%,27.6%,22.9%,27.7%,21.1%,20.3%
2026-02-10 15:36:00,38.9%,24.0%,21.6%,18.7%,12.3%,17.6%
2026-02-10 15:40:00,51.8%,27.4%,25.9%,19.5%,28.9%,19.1%
2026-02-10 15:44:00,54.9%,34.3%,21.0%,21.0%,24.9%,24.9%
2026-02-10 15:48:00,60.1%,42.4%,12.2%,27.4%,25.3%,25.9%
2026-02-10 15:52:00,39.0%,17.2%,15.0%,14.6%,16.3%,14.1%
2026-02-10 15:56:00,58.5%,35.7%,21.1%,16.7%,21.8%,16.4%
2026-02-10 16:00:00,47.9%,25.7%,24.4%,18.0%,22.4%,15.1%
2026-02-10 16:04:00,30.3%,25.3%,17.5%,14.2%,23.5%,19.2%
2026-02-10 16:08:00,44.2%,47.1%,28.0%,40.4%,32.7%,31.0%
2026-02-10 16:12:00,57.0%,21.9%,14.5%,29.7%,12.6%,20.8%
2026-02-10 16:16:00,34.5%,30.0%,31.3%,25.6%,28.9%,52.3%
2026-02-10 16:20:00,49.6%,22.1%,36.1%,40.3%,20.7%,31.2%
2026-02-10 16:24:00,31.4%,14.6%,23.0%,13.6%,21.4%,20.5%
2026-02-10 16:28:00,44.2%,10.1%,16.9%,10.6%,14.8%,9.69%
2026-02-10 16:32:00,43.9%,32.3%,38.3%,31.9%,40.1%,29.6%
2026-02-10 16:36:00,41.2%,21.9%,21.1%,20.9%,21.5%,21.0%
2026-02-10 16:40:00,27.4%,29.3%,23.4%,46.2%,32.2%,31.9%
2026-02-10 16:44:00,38.2%,16.0%,12.8%,7.63%,13.5%,8.90%
2026-02-10 16:48:00,29.7%,18.0%,15.0%,12.5%,17.0%,16.7%
2026-02-10 16:52:00,38.5%,11.1%,21.4%,16.4%,15.4%,14.2%
2026-02-10 16:56:00,30.7%,18.0%,17.4%,20.2%,40.1%,20.0%
2026-02-10 17:00:00,50.1%,30.0%,41.3%,39.8%,27.6%,33.9%
2026-02-10 17:04:00,50.0%,20.3%,20.5%,26.4%,29.0%,21.9%
2026-02-10 17:08:00,81.8%,18.3%,28.2%,34.7%,40.5%,26.5%
2026-02-10 17:12:00,23.3%,11.1%,15.0%,8.66%,11.6%,10.7%
2026-02-10 17:16:00,51.5%,28.1%,25.6%,42.0%,23.9%,36.0%
2026-02-10 17:20:00,47.6%,12.1%,12.0%,16.8%,16.0%,17.1%
2026-02-10 17:24:00,32.4%,17.6%,15.8%,20.8%,18.0%,15.4%
2026-02-10 17:28:00,44.1%,16.1%,48.3%,44.1%,40.8%,15.3%
2026-02-10 17:32:00,12.5%,21.8%,12.9%,17.8%,19.4%,14.6%
2026-02-10 17:36:00,36.4%,26.7%,22.8%,20.9%,50.2%,24.8%
2026-02-10 17:40:00,38.4%,21.2%,26.4%,21.7%,22.6%,21.7%
2026-02-10 17:44:00,52.9%,19.7%,22.1%,19.5%,17.2%,11.8%
2026-02-10 17:48:00,99.7%,17.5%,14.3%,10.5%,18.5%,13.2%
2026-02-10 17:52:00,43.2%,40.8%,18.1%,27.3%,26.2%,33.5%
2026-02-10 17:56:00,46.4%,21.6%,25.7%,33.8%,29.6%,26.8%
2026-02-10 18:00:00,38.8%,24.1%,6.03%,25.9%,20.7%,14.9%
2026-02-10 18:04:00,57.4%,30.7%,27.4%,29.3%,28.9%,34.4%
2026-02-10 18:08:00,44.9%,13.4%,23.4%,29.2%,20.1%,21.8%
2026-02-10 18:12:00,31.8%,9.13%,10.3%,14.6%,21.3%,9.76%
2026-02-10 18:16:00,37.0%,12.6%,11.5%,11.9%,14.3%,10.2%
2026-02-10 18:20:00,45.0%,13.3%,23.9%,14.5%,11.9%,13.9%
2026-02-10 18:24:00,44.3%,24.1%,37.1%,47.1%,43.8%,30.8%
2026-02-10 18:28:00,46.4%,16.6%,18.2%,18.5%,17.1%,14.3%
2026-02-10 18:32:00,47.9%,10.2%,14.1%,16.9%,11.1%,18.4%
2026-02-10 18:36:00,41.4%,22.5%,8.63%,21.8%,17.3%,34.1%
2026-02-10 18:40:00,52.9%,18.4%,22.9%,17.4%,26.5%,18.1%
2026-02-10 18:44:00,48.4%,13.4%,26.4%,11.8%,10.5%,12.3%
2026-02-10 18:48:00,41.8%,12.3%,12.3%,21.3%,11.1%,33.8%
2026-02-10 18:52:00,25.7%,16.8%,8.99%,22.0%,15.1%,8.65%
2026-02-10 18:56:00,48.0%,17.9%,16.1%,20.5%,18.1%,21.7%
2026-02-10 19:00:00,52.5%,18.7%,18.9%,24.6%,18.3%,22.9%
2026-02-10 19:04:00,44.2%,29.6%,18.7%,26.3%,22.2%,31.5%
2026-02-10 19:08:00,43.5%,9.36%,18.2%,12.3%,7.34%,12.5%
2026-02-10 19:12:00,49.1%,17.4%,23.0%,31.8%,19.7%,18.8%
2026-02-10 19:16:00,41.2%,26.6%,38.4%,22.6%,25.9%,35.1%
2026-02-10 19:20:00,63.5%,19.6%,13.4%,24.1%,15.4%,17.7%
2026-02-10 19:24:00,66.1%,38.9%,18.7%,25.6%,27.2%,23.4%
2026-02-10 19:28:00,40.4%,38.6%,29.8%,24.9%,38.4%,28.4%
2026-02-10 19:32:00,33.6%,15.8%,17.8%,18.5%,15.9%,14.4%
2026-02-10 19:36:00,41.0%,15.1%,19.1%,12.1%,12.3%,14.6%
2026-02-10 19:40:00,22.5%,22.7%,12.6%,13.6%,23.6%,21.4%
2026-02-10 19:44:00,45.2%,43.3%,38.2%,35.5%,37.1%,17.2%
2026-02-10 19:48:00,31.9%,19.7%,17.5%,13.2%,28.0%,20.0%
2026-02-10 19:52:00,50.2%,24.0%,16.3%,27.7%,36.3%,36.8%
2026-02-10 19:56:00,72.9%,8.87%,12.7%,13.6%,15.0%,25.1%
2026-02-10 20:00:00,24.8%,19.6%,30.0%,21.8%,27.7%,26.2%
2026-02-10 20:04:00,59.9%,13.8%,12.5%,13.7%,10.6%,13.6%
2026-02-10 20:08:00,62.9%,13.1%,25.7%,15.4%,17.0%,12.8%
2026-02-10 20:12:00,25.9%,8.44%,10.2%,13.3%,15.2%,10.6%
2026-02-10 20:16:00,41.3%,26.8%,27.0%,25.5%,29.7%,31.3%
2026-02-10 20:20:00,54.7%,26.2%,36.1%,31.0%,28.8%,27.2%
2026-02-10 20:24:00,41.3%,9.64%,19.3%,14.9%,18.0%,18.7%
2026-02-10 20:28:00,43.3%,42.1%,32.4%,37.1%,35.7%,38.3%
