"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-11 08:41:40,0.0594,0.0565,0.133,0.0812,0.0737,0.0634
2026-02-11 08:42:00,0.0476,0.217,0.0835,0.0591,0.0737,0.128
2026-02-11 08:42:20,0.0537,0.0550,0.0497,0.0326,0.0468,0.0478
2026-02-11 08:42:40,0.0537,0.0550,0.0497,0.0326,0.0468,0.0478
2026-02-11 08:43:00,0.0537,0.0550,0.0497,0.0387,0.0468,0.0478
2026-02-11 08:43:20,0.0500,0.0674,0.0412,0.0568,0.0997,0.0390
2026-02-11 08:43:40,0.0428,0.0523,0.0538,0.0501,0.0522,0.0464
2026-02-11 08:44:00,0.0457,0.107,0.0797,0.0509,0.0649,0.0552
2026-02-11 08:44:20,0.124,0.0404,0.0914,0.0857,0.0831,0.0713
2026-02-11 08:44:40,0.124,0.0404,0.0914,0.0857,0.0831,0.0713
2026-02-11 08:45:00,0.0315,0.0487,0.0851,0.0826,0.113,0.0552
2026-02-11 08:45:20,0.0239,0.0759,0.0853,0.121,0.0760,0.0671
2026-02-11 08:45:40,0.0486,0.0786,0.0359,0.0836,0.0838,0.0765
2026-02-11 08:46:00,0.0555,0.0517,0.0924,0.0529,0.157,0.132
2026-02-11 08:46:20,0.0371,0.153,0.0909,0.0955,0.0958,0.0806
2026-02-11 08:46:40,0.0610,0.0736,0.0455,0.0986,0.102,0.0853
2026-02-11 08:47:00,0.0364,0.0645,0.0786,0.0773,0.0714,0.0618
2026-02-11 08:47:20,0.0520,0.0803,0.0693,0.0571,0.0854,0.0906
2026-02-11 08:47:40,0.0479,0.0435,0.0675,0.172,0.0868,0.0890
2026-02-11 08:48:00,0.0322,0.0815,0.112,0.0996,0.135,0.137
2026-02-11 08:48:20,0.0309,0.0470,0.0456,0.0537,0.0502,0.139
2026-02-11 08:48:40,0.0309,0.0470,0.0456,0.0537,0.0502,0.139
2026-02-11 08:49:00,0.0296,0.0684,0.0694,0.0616,0.0826,0.0655
2026-02-11 08:49:20,0.0674,0.0998,0.0746,0.0552,0.0758,0.0552
2026-02-11 08:49:40,0.0412,0.119,0.0664,0.176,0.120,0.0811
2026-02-11 08:50:00,0.106,0.152,0.105,0.0634,0.190,0.104
2026-02-11 08:50:20,0.0499,0.0785,0.0774,0.0735,0.0743,0.0638
2026-02-11 08:50:40,0.0568,0.0803,0.0443,0.0934,0.0913,0.0740
2026-02-11 08:51:00,0.0973,0.0937,0.110,0.0672,0.184,0.178
2026-02-11 08:51:20,0.0426,0.0671,0.0351,0.0712,0.0729,0.0722
2026-02-11 08:51:40,0.0634,0.0468,0.0747,0.0762,0.117,0.105
2026-02-11 08:52:00,0.0616,0.0672,0.0477,0.255,0.114,0.109
2026-02-11 08:52:20,0.114,0.0720,0.228,0.187,0.169,0.160
2026-02-11 08:52:40,0.114,0.0720,0.228,0.187,0.169,0.160
2026-02-11 08:53:00,0.0740,0.0574,0.0788,0.0732,0.131,0.0969
2026-02-11 08:53:20,0.0615,0.0682,0.0415,0.0615,0.0734,0.0630
2026-02-11 08:53:40,0.0332,0.0505,0.0464,0.0571,0.0480,0.203
2026-02-11 08:54:00,0.0361,0.0505,0.0446,0.0571,0.0480,0.203
2026-02-11 08:54:20,0.0535,0.0590,0.124,0.0822,0.0961,0.0865
2026-02-11 08:54:40,0.0772,0.0615,0.102,0.127,0.112,0.119
2026-02-11 08:55:00,0.0920,0.109,0.0558,0.157,0.159,0.132
2026-02-11 08:55:20,0.105,0.0970,0.140,0.0867,0.0970,0.0481
2026-02-11 08:55:40,0.105,0.0970,0.140,0.0867,0.0970,0.0481
2026-02-11 08:56:00,0.0539,0.0700,0.0406,0.183,0.101,0.0818
2026-02-11 08:56:20,0.0349,0.0876,0.107,0.132,0.129,0.0907
2026-02-11 08:56:40,0.0287,0.106,0.0831,0.101,0.0801,0.0952
2026-02-11 08:57:00,0.0863,0.0824,0.0989,0.0517,0.207,0.112
2026-02-11 08:57:20,0.0317,0.0608,0.0655,0.0436,0.0713,0.0543
2026-02-11 08:57:40,0.0317,0.0608,0.142,0.0436,0.0713,0.175
2026-02-11 08:58:00,0.0481,0.0565,0.0658,0.106,0.0986,0.0569
2026-02-11 08:58:20,0.0597,0.0724,0.0759,0.0888,0.0815,0.0627
2026-02-11 08:58:40,0.0597,0.0724,0.0759,0.0888,0.0815,0.0627
2026-02-11 08:59:00,0.0457,0.0827,0.119,0.0933,0.167,0.0950
2026-02-11 08:59:20,0.0457,0.0827,0.119,0.0933,0.167,0.0950
2026-02-11 08:59:40,0.0552,0.112,0.0950,0.0782,0.126,0.156
2026-02-11 09:00:00,0.0734,0.0855,0.200,0.141,0.106,0.0812
2026-02-11 09:00:20,0.0413,0.269,0.0569,0.0560,0.0540,0.0480
2026-02-11 09:00:40,0.0413,0.269,0.0569,0.0560,0.0540,0.0480
2026-02-11 09:01:00,0.0348,0.269,0.1000,0.0824,0.151,0.119
2026-02-11 09:01:20,0.0679,0.0660,0.0617,0.0722,0.0749,0.0802
2026-02-11 09:01:40,0.129,0.0608,0.155,0.228,0.115,0.206
2026-02-11 09:02:00,0.112,0.100,0.0484,0.0882,0.286,0.0582
2026-02-11 09:02:20,0.0732,0.0618,0.193,0.221,0.217,0.208
2026-02-11 09:02:40,0.0376,0.170,0.170,0.159,0.140,0.139
2026-02-11 09:03:00,0.0478,0.0755,0.146,0.146,0.151,0.0922
2026-02-11 09:03:20,0.0478,0.0755,0.146,0.146,0.151,0.0922
2026-02-11 09:03:40,0.0478,0.0755,0.146,0.146,0.151,0.0922
2026-02-11 09:04:00,0.0575,0.0662,0.0829,0.0715,0.0873,0.106
2026-02-11 09:04:20,0.0538,0.0936,0.104,0.0477,0.0815,0.0541
2026-02-11 09:04:40,0.104,0.112,0.140,0.0596,0.165,0.347
2026-02-11 09:05:00,0.0961,0.0984,0.0541,0.138,0.153,0.143
2026-02-11 09:05:20,0.0324,0.0704,0.0846,0.0961,0.0483,0.0455
2026-02-11 09:05:40,0.0382,0.135,0.254,0.0953,0.127,0.0741
2026-02-11 09:06:00,0.159,0.0637,0.134,0.146,0.204,0.190
2026-02-11 09:06:20,0.136,0.0619,0.175,0.144,0.182,0.147
2026-02-11 09:06:40,0.0518,0.0438,0.0743,0.0392,0.0839,0.0716
2026-02-11 09:07:00,0.0820,0.0518,0.0784,0.120,0.178,0.111
2026-02-11 09:07:20,0.0446,0.0800,0.0437,0.0848,0.117,0.258
2026-02-11 09:07:40,0.0446,0.0800,0.0437,0.0848,0.117,0.258
2026-02-11 09:08:00,0.0446,0.0805,0.190,0.0848,0.117,0.258
2026-02-11 09:08:20,0.0426,0.0821,0.0401,0.115,0.108,0.0908
