"Time","_15m","_5m","_15m"
2026-02-11 08:44:00,3.95,4.48,4.41
2026-02-11 08:45:00,3.98,4.36,4.37
2026-02-11 08:46:00,4.73,4.45,4.40
2026-02-11 08:47:00,5.78,4.79,4.52
2026-02-11 08:48:00,5.12,4.79,4.54
2026-02-11 08:49:00,3.80,4.47,4.45
2026-02-11 08:50:00,4.45,4.55,4.47
2026-02-11 08:51:00,4.04,4.43,4.44
2026-02-11 08:52:00,4.31,4.42,4.43
2026-02-11 08:53:00,4.25,4.37,4.41
2026-02-11 08:54:00,3.88,4.30,4.39
2026-02-11 08:55:00,3.85,4.20,4.35
2026-02-11 08:56:00,3.83,4.14,4.32
2026-02-11 08:57:00,4.36,4.22,4.33
2026-02-11 08:58:00,4.06,4.15,4.30
2026-02-11 08:59:00,3.37,3.91,4.21
2026-02-11 09:00:00,4.64,4.16,4.27
2026-02-11 09:01:00,3.90,4.03,4.22
2026-02-11 09:02:00,3.71,3.95,4.17
2026-02-11 09:03:00,5.15,4.25,4.26
2026-02-11 09:04:00,4.50,4.22,4.25
2026-02-11 09:05:00,4.51,4.25,4.25
2026-02-11 09:06:00,3.82,4.12,4.21
2026-02-11 09:07:00,3.32,3.90,4.13
2026-02-11 09:08:00,4.07,4.01,4.15
2026-02-11 09:09:00,3.87,3.96,4.12
2026-02-11 09:10:00,5.07,4.22,4.19
2026-02-11 09:11:00,3.94,4.06,4.14
2026-02-11 09:12:00,4.19,4.11,4.16
2026-02-11 09:13:00,3.65,3.98,4.11
2026-02-11 09:14:00,4.84,4.28,4.20
2026-02-11 09:15:00,4.53,4.33,4.22
2026-02-11 09:16:00,4.40,4.28,4.21
2026-02-11 09:17:00,4.48,4.38,4.25
2026-02-11 09:18:00,4.21,4.31,4.24
2026-02-11 09:19:00,4.67,4.41,4.27
2026-02-11 09:20:00,4.81,4.47,4.30
2026-02-11 09:21:00,4.97,4.54,4.33
2026-02-11 09:22:00,4.23,4.40,4.29
2026-02-11 09:23:00,3.83,4.25,4.25
2026-02-11 09:24:00,3.89,4.19,4.23
2026-02-11 09:25:00,4.06,4.18,4.22
2026-02-11 09:26:00,3.72,4.08,4.19
2026-02-11 09:27:00,3.45,3.93,4.13
2026-02-11 09:28:00,5.50,4.33,4.25
2026-02-11 09:29:00,5.19,4.52,4.32
2026-02-11 09:30:00,4.26,4.38,4.28
2026-02-11 09:31:00,3.94,4.26,4.25
2026-02-11 09:32:00,3.80,4.15,4.21
2026-02-11 09:33:00,3.75,4.06,4.17
2026-02-11 09:34:00,4.32,4.21,4.22
2026-02-11 09:35:00,4.10,4.18,4.21
2026-02-11 09:36:00,4.74,4.34,4.26
2026-02-11 09:37:00,5.15,4.53,4.33
2026-02-11 09:38:00,4.76,4.62,4.38
2026-02-11 09:39:00,5.19,4.75,4.44
2026-02-11 09:40:00,4.12,4.54,4.38
2026-02-11 09:41:00,4.29,4.54,4.39
2026-02-11 09:42:00,4.91,4.59,4.42
2026-02-11 09:43:00,4.40,4.51,4.40
