"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-03 11:36:00,16.5%,6.86%,11.7%,12.2%,2.56%,7.93%
2026-02-03 11:37:00,16.7%,9.86%,4.24%,10.2%,8.41%,9.10%
2026-02-03 11:38:00,9.69%,12.8%,12.9%,8.61%,19.5%,10.7%
2026-02-03 11:39:00,10.7%,4.34%,4.37%,4.41%,4.29%,8.90%
2026-02-03 11:40:00,9.22%,12.8%,16.9%,18.3%,15.4%,21.1%
2026-02-03 11:41:00,9.34%,8.37%,4.36%,13.0%,4.66%,8.71%
2026-02-03 11:42:00,9.75%,10.2%,8.34%,9.61%,13.1%,9.20%
2026-02-03 11:43:00,9.71%,19.3%,10.3%,5.51%,9.34%,12.0%
2026-02-03 11:44:00,11.2%,9.80%,8.58%,5.97%,9.39%,4.66%
2026-02-03 11:45:00,12.9%,11.6%,10.4%,10.8%,14.3%,11.5%
2026-02-03 11:46:00,11.8%,25.6%,25.2%,23.9%,21.3%,28.2%
2026-02-03 11:47:00,11.8%,8.80%,13.2%,20.1%,14.2%,10.7%
2026-02-03 11:48:00,11.3%,24.3%,24.5%,24.5%,20.6%,22.6%
2026-02-03 11:49:00,13.2%,16.5%,6.36%,12.3%,6.85%,13.2%
2026-02-03 11:50:00,23.6%,48.8%,18.5%,16.3%,15.7%,13.2%
2026-02-03 11:51:00,9.07%,12.8%,16.3%,13.0%,11.5%,17.0%
2026-02-03 11:52:00,17.6%,24.3%,27.9%,22.2%,20.9%,21.3%
2026-02-03 11:53:00,18.1%,21.1%,14.9%,16.5%,16.2%,20.8%
2026-02-03 11:54:00,12.8%,13.2%,12.4%,9.03%,8.86%,4.90%
2026-02-03 11:55:00,16.5%,6.44%,5.24%,10.3%,14.8%,6.10%
2026-02-03 11:56:00,19.4%,11.2%,6.22%,10.1%,13.8%,10.2%
2026-02-03 11:57:00,43.0%,13.7%,13.4%,8.76%,7.17%,9.75%
2026-02-03 11:58:00,11.3%,9.59%,9.58%,10.4%,10.6%,16.4%
