"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-11 08:44:00,40.2 kB/s,61.9 kB/s,35.0 kB/s,36.6 kB/s,30.2 kB/s,17.4 kB/s
2026-02-11 08:45:00,47.0 kB/s,55.7 kB/s,31.6 kB/s,33.4 kB/s,35.5 kB/s,12.2 kB/s
2026-02-11 08:46:00,40.9 kB/s,55.3 kB/s,27.8 kB/s,36.1 kB/s,33.9 kB/s,20.5 kB/s
2026-02-11 08:47:00,48.8 kB/s,56.4 kB/s,34.9 kB/s,36.1 kB/s,34.0 kB/s,16.9 kB/s
2026-02-11 08:48:00,33.7 kB/s,27.1 kB/s,30.3 kB/s,29.1 kB/s,32.9 kB/s,14.6 kB/s
2026-02-11 08:49:00,49.1 kB/s,30.2 kB/s,26.4 kB/s,35.2 kB/s,30.7 kB/s,14.7 kB/s
2026-02-11 08:50:00,48.9 kB/s,34.5 kB/s,29.5 kB/s,32.0 kB/s,26.9 kB/s,14.8 kB/s
2026-02-11 08:51:00,55.1 kB/s,41.5 kB/s,31.9 kB/s,36.5 kB/s,33.7 kB/s,5.53 kB/s
2026-02-11 08:52:00,56.5 kB/s,44.6 kB/s,37.5 kB/s,45.6 kB/s,28.3 kB/s,5.83 kB/s
2026-02-11 08:53:00,60.9 kB/s,41.7 kB/s,43.7 kB/s,48.3 kB/s,33.0 kB/s,9.12 kB/s
2026-02-11 08:54:00,136 kB/s,40.4 kB/s,43.3 kB/s,42.1 kB/s,38.5 kB/s,15.1 kB/s
2026-02-11 08:55:00,139 kB/s,37.0 kB/s,36.7 kB/s,42.4 kB/s,38.5 kB/s,17.7 kB/s
2026-02-11 08:56:00,133 kB/s,27.6 kB/s,33.6 kB/s,34.5 kB/s,35.6 kB/s,21.2 kB/s
2026-02-11 08:57:00,136 kB/s,34.4 kB/s,27.7 kB/s,34.6 kB/s,55.1 kB/s,24.7 kB/s
2026-02-11 08:58:00,143 kB/s,36.3 kB/s,25.9 kB/s,34.3 kB/s,52.3 kB/s,24.2 kB/s
2026-02-11 08:59:00,52.8 kB/s,45.4 kB/s,28.5 kB/s,43.1 kB/s,54.1 kB/s,38.9 kB/s
2026-02-11 09:00:00,62.2 kB/s,45.4 kB/s,46.4 kB/s,44.8 kB/s,51.6 kB/s,43.2 kB/s
2026-02-11 09:01:00,59.7 kB/s,50.2 kB/s,48.1 kB/s,46.0 kB/s,48.6 kB/s,50.2 kB/s
2026-02-11 09:02:00,47.5 kB/s,46.6 kB/s,49.6 kB/s,49.7 kB/s,28.8 kB/s,51.6 kB/s
2026-02-11 09:03:00,47.0 kB/s,48.5 kB/s,56.7 kB/s,49.2 kB/s,22.0 kB/s,53.2 kB/s
2026-02-11 09:04:00,54.6 kB/s,42.2 kB/s,55.3 kB/s,42.9 kB/s,9.15 kB/s,32.4 kB/s
2026-02-11 09:05:00,34.0 kB/s,76.8 kB/s,37.2 kB/s,39.9 kB/s,3.20 kB/s,25.5 kB/s
2026-02-11 09:06:00,40.8 kB/s,70.1 kB/s,45.3 kB/s,44.4 kB/s,214 B/s,10.4 kB/s
2026-02-11 09:07:00,40.1 kB/s,63.5 kB/s,36.5 kB/s,35.4 kB/s,214 B/s,5.11 kB/s
2026-02-11 09:08:00,188 kB/s,70.1 kB/s,31.0 kB/s,33.6 kB/s,3.76 kB/s,455 B/s
2026-02-11 09:09:00,184 kB/s,67.4 kB/s,38.2 kB/s,35.3 kB/s,9.22 kB/s,589 B/s
2026-02-11 09:10:00,196 kB/s,42.4 kB/s,45.2 kB/s,42.6 kB/s,14.7 kB/s,415 B/s
2026-02-11 09:11:00,187 kB/s,39.5 kB/s,44.0 kB/s,47.5 kB/s,25.4 kB/s,415 B/s
2026-02-11 09:12:00,193 kB/s,35.0 kB/s,50.1 kB/s,39.3 kB/s,38.9 kB/s,361 B/s
2026-02-11 09:13:00,32.6 kB/s,20.9 kB/s,44.3 kB/s,41.1 kB/s,48.9 kB/s,1.94 kB/s
2026-02-11 09:14:00,32.0 kB/s,20.0 kB/s,40.0 kB/s,37.2 kB/s,46.0 kB/s,16.5 kB/s
2026-02-11 09:15:00,26.8 kB/s,18.5 kB/s,38.1 kB/s,34.2 kB/s,48.4 kB/s,16.6 kB/s
