"Time","rskj-miner1:8080 (heap)","rskj-miner2:8080 (heap)","rskj-miner3:8080 (heap)","rskj-miner4:8080 (heap)","rskj-node1:8080 (heap)","rskj-node2:8080 (heap)","rskj-miner1:8080-max","rskj-miner2:8080-max","rskj-miner3:8080-max","rskj-miner4:8080-max","rskj-node1:8080-max","rskj-node2:8080-max"
2026-02-11 08:41:20,1.34 GiB,1.30 GiB,2.06 GiB,1.47 GiB,1.36 GiB,1.31 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:41:40,1.60 GiB,1.52 GiB,1.46 GiB,1.66 GiB,1.52 GiB,1.50 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:42:00,2.01 GiB,1.21 GiB,1.87 GiB,2.04 GiB,1.91 GiB,1.86 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:42:20,1.73 GiB,1.61 GiB,1.43 GiB,1.64 GiB,1.43 GiB,1.36 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:42:40,1.77 GiB,1.76 GiB,1.58 GiB,1.78 GiB,1.57 GiB,1.54 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:43:00,2.00 GiB,1.40 GiB,1.97 GiB,1.38 GiB,1.97 GiB,1.87 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:43:20,2.05 GiB,1.68 GiB,1.42 GiB,1.63 GiB,1.40 GiB,1.29 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:43:40,1.37 GiB,1.29 GiB,1.81 GiB,2.02 GiB,1.75 GiB,1.70 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:44:00,1.62 GiB,1.81 GiB,1.52 GiB,1.68 GiB,1.39 GiB,1.25 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:44:20,1.72 GiB,1.36 GiB,1.84 GiB,2.00 GiB,1.66 GiB,1.53 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:44:40,1.65 GiB,1.55 GiB,1.98 GiB,1.35 GiB,1.80 GiB,1.71 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:45:00,1.99 GiB,1.25 GiB,1.61 GiB,1.81 GiB,1.41 GiB,1.28 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:45:20,2.10 GiB,1.59 GiB,1.97 GiB,1.38 GiB,1.70 GiB,1.55 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:45:40,2.12 GiB,1.94 GiB,1.49 GiB,1.69 GiB,1.95 GiB,1.85 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:46:00,1.60 GiB,1.74 GiB,2.11 GiB,1.54 GiB,1.73 GiB,1.57 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:46:20,1.63 GiB,1.28 GiB,1.55 GiB,1.77 GiB,1.94 GiB,1.79 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:46:40,1.70 GiB,1.54 GiB,1.78 GiB,2.00 GiB,1.35 GiB,1.21 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:47:00,1.39 GiB,1.36 GiB,1.59 GiB,1.76 GiB,1.85 GiB,1.65 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:47:20,1.98 GiB,1.63 GiB,1.82 GiB,2.00 GiB,2.03 GiB,1.84 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:47:40,1.33 GiB,1.84 GiB,2.03 GiB,1.42 GiB,1.43 GiB,1.28 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:48:00,1.65 GiB,1.66 GiB,1.79 GiB,2.04 GiB,1.99 GiB,1.78 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:48:20,1.77 GiB,1.34 GiB,1.42 GiB,1.67 GiB,1.55 GiB,1.34 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:48:40,1.75 GiB,1.49 GiB,1.56 GiB,1.81 GiB,1.70 GiB,1.52 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:49:00,2.05 GiB,1.23 GiB,2.05 GiB,1.51 GiB,1.35 GiB,1.91 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:49:20,2.10 GiB,1.57 GiB,1.59 GiB,1.85 GiB,1.62 GiB,1.37 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:49:40,1.44 GiB,1.94 GiB,1.92 GiB,1.38 GiB,1.89 GiB,1.68 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:50:00,1.73 GiB,1.73 GiB,1.64 GiB,1.88 GiB,1.56 GiB,1.32 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:50:20,1.87 GiB,1.35 GiB,2.04 GiB,1.49 GiB,1.90 GiB,1.66 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:50:40,1.89 GiB,1.72 GiB,1.57 GiB,1.81 GiB,1.39 GiB,1.97 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:51:00,1.50 GiB,1.44 GiB,2.07 GiB,1.51 GiB,1.80 GiB,1.54 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:51:20,1.52 GiB,1.72 GiB,1.50 GiB,1.74 GiB,2.01 GiB,1.74 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:51:40,1.55 GiB,1.96 GiB,1.69 GiB,1.93 GiB,1.38 GiB,1.96 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-11 08:52:00,1.90 GiB,1.70 GiB,1.45 GiB,1.65 GiB,1.91 GiB,1.60 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
