"Time","2f43f5aded3d0ce974b16c66a1cd21248cd93570abdd3d263f858ddd2bb9a585","66bf5e82be0cca9324c9fe0b650db612cecc17885e7723fb72ffffd938d35dd7","7f53923a99797a9bded90c20e46c208f4d3ea4ec2809b8c0e3a348895078cfe6","9ae2ebbc717f05d4049a502660b37cd6fd3cd52b473e42172e542d25bb22f755","a2059f25012133a11462b67600a776decbe565723df420429447ba4f71abe68e","bd77731e3e7f5d3bdf2f07c91038c03e93e6e4291825fac13d1ebfb761a8b6a4"
2026-01-29 15:40:00,52.6,52.6,52.6,52.6,52.6,52.6
2026-01-29 15:45:00,51.3,51.3,51.3,51.3,51.3,51.3
2026-01-29 15:50:00,47.2,47.2,47.2,47.2,47.2,47.2
2026-01-29 15:55:00,54.0,54.0,54.0,54.0,54.0,54.0
2026-01-29 16:00:00,52.7,52.7,52.7,52.7,52.7,52.7
2026-01-29 16:05:00,55.7,55.7,55.7,55.7,55.7,55.7
2026-01-29 16:10:00,51.2,51.2,51.2,51.2,51.2,51.2
2026-01-29 16:15:00,51.1,51.1,51.1,51.1,51.1,51.1
2026-01-29 16:20:00,64.6,64.6,64.6,64.6,64.6,64.6
2026-01-29 16:25:00,69.7,69.7,69.7,69.7,69.7,69.7
2026-01-29 16:30:00,66.6,66.6,66.6,66.6,66.6,66.6
2026-01-29 16:35:00,69.1,69.1,69.1,69.1,69.1,69.1
2026-01-29 16:40:00,64.8,64.8,64.8,64.8,64.8,64.8
2026-01-29 16:45:00,67.2,67.2,67.2,67.2,67.2,67.2
2026-01-29 16:50:00,65.6,65.6,65.6,65.6,65.6,65.6
2026-01-29 16:55:00,66.7,66.7,66.7,66.7,66.7,66.7
2026-01-29 17:00:00,62.5,62.5,62.5,62.5,62.5,62.5
2026-01-29 17:05:00,62.3,62.3,62.3,62.3,62.3,62.3
2026-01-29 17:10:00,54.0,54.0,54.0,54.0,54.0,54.0
2026-01-29 17:15:00,58.2,58.2,58.2,58.2,58.2,58.2
2026-01-29 17:20:00,53.5,53.5,53.5,53.5,53.5,53.5
2026-01-29 17:25:00,51.2,51.2,51.2,51.2,51.2,51.2
2026-01-29 17:30:00,54.1,54.1,54.1,54.1,54.1,54.1
2026-01-29 17:35:00,50.8,50.8,50.8,50.8,50.8,50.8
2026-01-29 17:40:00,47.7,47.7,47.7,47.7,47.7,47.7
2026-01-29 17:45:00,45.6,45.6,45.6,45.6,45.6,45.6
2026-01-29 17:50:00,45.4,45.4,45.4,46.3,45.4,45.4
2026-01-29 17:55:00,50.9,50.9,50.9,50.9,49.9,50.9
2026-01-29 18:00:00,51.7,51.7,51.7,51.7,51.7,51.7
2026-01-29 18:05:00,59.1,59.1,59.1,59.1,59.1,59.1
2026-01-29 18:10:00,61.3,61.3,61.3,61.3,61.3,61.3
2026-01-29 18:15:00,57.6,57.6,57.6,57.6,57.6,57.6
2026-01-29 18:20:00,60.9,60.9,60.9,60.9,60.9,60.9
2026-01-29 18:25:00,58.3,58.3,58.3,58.3,58.3,58.3
2026-01-29 18:30:00,58.1,58.1,58.1,58.1,58.1,58.1
2026-01-29 18:35:00,59.0,59.0,59.0,59.0,59.0,59.0
2026-01-29 18:40:00,54.3,54.3,54.3,54.3,54.3,54.3
2026-01-29 18:45:00,63.3,63.3,63.3,63.3,63.3,63.3
2026-01-29 18:50:00,61.9,61.9,61.9,61.9,61.9,61.9
2026-01-29 18:55:00,64.1,64.1,64.1,64.1,64.1,64.1
2026-01-29 19:00:00,69.2,69.2,69.2,69.2,69.2,69.2
2026-01-29 19:05:00,61.2,61.2,61.2,61.2,61.2,61.2
2026-01-29 19:10:00,62.1,62.1,62.1,62.1,62.1,62.1
2026-01-29 19:15:00,63.2,63.2,63.2,63.2,63.2,63.2
2026-01-29 19:20:00,56.9,56.9,56.9,56.9,56.9,56.9
2026-01-29 19:25:00,50.3,50.3,50.3,50.3,50.3,50.3
2026-01-29 19:30:00,57.7,57.7,57.7,57.7,57.7,57.7
2026-01-29 19:35:00,57.4,57.4,57.4,57.4,57.4,57.4
2026-01-29 19:40:00,53.8,53.8,53.8,53.8,53.8,53.8
2026-01-29 19:45:00,53.6,53.6,53.6,53.6,53.6,53.6
2026-01-29 19:50:00,54.4,54.4,54.4,54.4,54.4,54.4
2026-01-29 19:55:00,58.6,58.6,58.6,58.6,58.6,58.6
2026-01-29 20:00:00,54.9,54.9,54.9,54.9,54.9,54.9
2026-01-29 20:05:00,55.8,55.8,55.8,55.8,55.8,55.8
2026-01-29 20:10:00,55.5,55.5,55.5,55.5,55.5,55.5
2026-01-29 20:15:00,61.1,61.1,61.1,61.1,61.1,61.1
2026-01-29 20:20:00,68.6,68.6,68.6,68.6,68.6,68.6
2026-01-29 20:25:00,65.7,65.7,65.7,65.7,65.7,65.7
2026-01-29 20:30:00,65.4,65.4,65.4,65.4,65.4,65.4
2026-01-29 20:35:00,71.9,71.9,71.9,71.9,71.9,71.9
2026-01-29 20:40:00,74.4,74.4,74.4,74.4,74.4,74.4
2026-01-29 20:45:00,68.5,68.5,68.5,68.5,68.5,68.5
2026-01-29 20:50:00,64.3,64.3,64.3,64.3,64.3,64.3
2026-01-29 20:55:00,62.7,62.7,62.7,62.7,62.7,62.7
2026-01-29 21:00:00,69.0,69.0,69.0,69.0,69.0,69.0
2026-01-29 21:05:00,67.4,67.4,67.4,67.4,67.4,67.4
2026-01-29 21:10:00,65.8,65.8,65.8,65.8,65.8,65.8
