"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-01-29 15:40:00,4.02 GiB,4.08 GiB,4.13 GiB,4.23 GiB,4.08 GiB,4.91 GiB
2026-01-29 15:44:00,4.02 GiB,4.07 GiB,4.12 GiB,4.22 GiB,4.08 GiB,4.90 GiB
2026-01-29 15:48:00,4.02 GiB,4.07 GiB,4.12 GiB,4.22 GiB,4.07 GiB,4.84 GiB
2026-01-29 15:52:00,4.16 GiB,4.03 GiB,4.31 GiB,4.16 GiB,4.00 GiB,4.62 GiB
2026-01-29 15:56:00,4.15 GiB,4.03 GiB,4.30 GiB,4.15 GiB,3.98 GiB,4.66 GiB
2026-01-29 16:00:00,4.15 GiB,4.03 GiB,4.30 GiB,4.15 GiB,3.98 GiB,4.66 GiB
2026-01-29 16:04:00,4.02 GiB,3.98 GiB,5.26 GiB,4.07 GiB,3.89 GiB,4.35 GiB
2026-01-29 16:08:00,3.99 GiB,3.96 GiB,5.09 GiB,4.05 GiB,3.86 GiB,4.24 GiB
2026-01-29 16:12:00,3.99 GiB,3.96 GiB,5.09 GiB,4.05 GiB,3.86 GiB,4.24 GiB
2026-01-29 16:16:00,3.99 GiB,3.97 GiB,5.09 GiB,4.05 GiB,3.86 GiB,4.24 GiB
2026-01-29 16:20:00,4.00 GiB,3.97 GiB,5.09 GiB,4.05 GiB,3.86 GiB,4.24 GiB
2026-01-29 16:24:00,4.00 GiB,3.97 GiB,5.10 GiB,4.06 GiB,3.86 GiB,4.25 GiB
2026-01-29 16:28:00,3.98 GiB,3.96 GiB,4.94 GiB,4.24 GiB,4.01 GiB,4.18 GiB
2026-01-29 16:32:00,3.98 GiB,3.96 GiB,4.94 GiB,4.24 GiB,4.01 GiB,4.18 GiB
2026-01-29 16:36:00,3.98 GiB,3.96 GiB,4.94 GiB,4.24 GiB,4.01 GiB,4.19 GiB
2026-01-29 16:40:00,3.98 GiB,3.96 GiB,4.94 GiB,4.24 GiB,4.02 GiB,4.19 GiB
2026-01-29 16:44:00,3.98 GiB,3.96 GiB,4.94 GiB,4.25 GiB,4.02 GiB,4.19 GiB
2026-01-29 16:48:00,3.98 GiB,3.96 GiB,4.90 GiB,4.26 GiB,4.00 GiB,4.17 GiB
2026-01-29 16:52:00,3.90 GiB,5.10 GiB,4.23 GiB,4.08 GiB,3.80 GiB,3.91 GiB
2026-01-29 16:56:00,3.90 GiB,5.10 GiB,4.23 GiB,4.08 GiB,3.81 GiB,3.91 GiB
2026-01-29 17:00:00,3.90 GiB,5.09 GiB,4.23 GiB,4.08 GiB,3.80 GiB,3.91 GiB
