"Time","rskj-miner1"
2026-01-29 15:36:00,3.96 kB/s
2026-01-29 15:40:00,3.95 kB/s
2026-01-29 15:44:00,3.98 kB/s
2026-01-29 15:48:00,4.15 kB/s
2026-01-29 15:52:00,113 kB/s
2026-01-29 15:56:00,113 kB/s
2026-01-29 16:00:00,113 kB/s
2026-01-29 16:04:00,174 kB/s
2026-01-29 16:08:00,179 kB/s
2026-01-29 16:12:00,179 kB/s
2026-01-29 16:16:00,179 kB/s
2026-01-29 16:20:00,70.5 kB/s
2026-01-29 16:24:00,70.4 kB/s
2026-01-29 16:28:00,70.4 kB/s
2026-01-29 16:32:00,70.3 kB/s
2026-01-29 16:36:00,3.89 kB/s
2026-01-29 16:40:00,3.78 kB/s
2026-01-29 16:44:00,3.71 kB/s
2026-01-29 16:48:00,3.85 kB/s
2026-01-29 16:52:00,3.77 kB/s
2026-01-29 16:56:00,3.71 kB/s
2026-01-29 17:00:00,3.78 kB/s
2026-01-29 17:04:00,3.69 kB/s
2026-01-29 17:08:00,3.79 kB/s
2026-01-29 17:12:00,3.67 kB/s
2026-01-29 17:16:00,3.75 kB/s
2026-01-29 17:20:00,3.68 kB/s
2026-01-29 17:24:00,3.70 kB/s
2026-01-29 17:28:00,3.76 kB/s
2026-01-29 17:32:00,3.91 kB/s
2026-01-29 17:36:00,3.90 kB/s
2026-01-29 17:40:00,3.88 kB/s
2026-01-29 17:44:00,3.94 kB/s
2026-01-29 17:48:00,3.97 kB/s
2026-01-29 17:52:00,4.24 kB/s
2026-01-29 17:56:00,570 kB/s
2026-01-29 18:00:00,570 kB/s
2026-01-29 18:04:00,575 kB/s
2026-01-29 18:08:00,575 kB/s
2026-01-29 18:12:00,575 kB/s
2026-01-29 18:16:00,575 kB/s
2026-01-29 18:20:00,575 kB/s
2026-01-29 18:24:00,8.73 kB/s
2026-01-29 18:28:00,8.84 kB/s
2026-01-29 18:32:00,3.98 kB/s
2026-01-29 18:36:00,3.78 kB/s
2026-01-29 18:40:00,3.81 kB/s
2026-01-29 18:44:00,3.95 kB/s
