"Time","rskj-miner1"
2026-01-29 15:40:00,-5.38 KiB
2026-01-29 15:44:00,-5.30 KiB
2026-01-29 15:48:00,-5.35 KiB
2026-01-29 15:52:00,-5.31 KiB
2026-01-29 15:56:00,-5.28 KiB
2026-01-29 16:00:00,-5.45 KiB
2026-01-29 16:04:00,-5.38 KiB
2026-01-29 16:08:00,-5.32 KiB
2026-01-29 16:12:00,-5.35 KiB
2026-01-29 16:16:00,-5.39 KiB
2026-01-29 16:20:00,-5.43 KiB
2026-01-29 16:24:00,-5.50 KiB
2026-01-29 16:28:00,-5.52 KiB
2026-01-29 16:32:00,-5.46 KiB
2026-01-29 16:36:00,-5.41 KiB
2026-01-29 16:40:00,-5.40 KiB
2026-01-29 16:44:00,-5.35 KiB
2026-01-29 16:48:00,-5.35 KiB
2026-01-29 16:52:00,-5.31 KiB
2026-01-29 16:56:00,-5.26 KiB
2026-01-29 17:00:00,-5.26 KiB
2026-01-29 17:04:00,-5.29 KiB
2026-01-29 17:08:00,-5.25 KiB
2026-01-29 17:12:00,-5.16 KiB
2026-01-29 17:16:00,-5.22 KiB
2026-01-29 17:20:00,-5.18 KiB
2026-01-29 17:24:00,-5.18 KiB
2026-01-29 17:28:00,-5.20 KiB
2026-01-29 17:32:00,-5.32 KiB
2026-01-29 17:36:00,-5.29 KiB
2026-01-29 17:40:00,-5.35 KiB
2026-01-29 17:44:00,-5.37 KiB
2026-01-29 17:48:00,-5.38 KiB
2026-01-29 17:52:00,-5.53 KiB
2026-01-29 17:56:00,-5.49 KiB
2026-01-29 18:00:00,-5.40 KiB
2026-01-29 18:04:00,-5.50 KiB
2026-01-29 18:08:00,-5.56 KiB
2026-01-29 18:12:00,-5.40 KiB
2026-01-29 18:16:00,-5.42 KiB
2026-01-29 18:20:00,-5.40 KiB
2026-01-29 18:24:00,-5.26 KiB
2026-01-29 18:28:00,-5.30 KiB
2026-01-29 18:32:00,-5.32 KiB
2026-01-29 18:36:00,-5.23 KiB
2026-01-29 18:40:00,-5.19 KiB
2026-01-29 18:44:00,-5.32 KiB
2026-01-29 18:48:00,-5.27 KiB
2026-01-29 18:52:00,-5.27 KiB
2026-01-29 18:56:00,-5.30 KiB
2026-01-29 19:00:00,-5.27 KiB
2026-01-29 19:04:00,-5.20 KiB
2026-01-29 19:08:00,-5.18 KiB
2026-01-29 19:12:00,-5.31 KiB
2026-01-29 19:16:00,-5.21 KiB
2026-01-29 19:20:00,-5.34 KiB
2026-01-29 19:24:00,-5.43 KiB
2026-01-29 19:28:00,-5.48 KiB
2026-01-29 19:32:00,-5.49 KiB
2026-01-29 19:36:00,-5.53 KiB
2026-01-29 19:40:00,-5.52 KiB
2026-01-29 19:44:00,-5.49 KiB
2026-01-29 19:48:00,-5.52 KiB
2026-01-29 19:52:00,-5.31 KiB
2026-01-29 19:56:00,-5.42 KiB
2026-01-29 20:00:00,-5.39 KiB
2026-01-29 20:04:00,-5.42 KiB
2026-01-29 20:08:00,-5.41 KiB
2026-01-29 20:12:00,-5.42 KiB
2026-01-29 20:16:00,-5.49 KiB
2026-01-29 20:20:00,-5.48 KiB
2026-01-29 20:24:00,-5.37 KiB
2026-01-29 20:28:00,-5.37 KiB
2026-01-29 20:32:00,-5.35 KiB
2026-01-29 20:36:00,-5.42 KiB
2026-01-29 20:40:00,-5.51 KiB
2026-01-29 20:44:00,-5.41 KiB
2026-01-29 20:48:00,-5.42 KiB
2026-01-29 20:52:00,-5.40 KiB
2026-01-29 20:56:00,-5.53 KiB
2026-01-29 21:00:00,-5.56 KiB
2026-01-29 21:04:00,-5.43 KiB
2026-01-29 21:08:00,-5.48 KiB
2026-01-29 21:12:00,-5.42 KiB
2026-01-29 21:16:00,-5.39 KiB
2026-01-29 21:20:00,-5.40 KiB
2026-01-29 21:24:00,-5.37 KiB
2026-01-29 21:28:00,-5.23 KiB
2026-01-29 21:32:00,-5.19 KiB
2026-01-29 21:36:00,-5.20 KiB
2026-01-29 21:40:00,-5.16 KiB
2026-01-29 21:44:00,-5.26 KiB
2026-01-29 21:48:00,-5.23 KiB
2026-01-29 21:52:00,-5.32 KiB
2026-01-29 21:56:00,-5.35 KiB
2026-01-29 22:00:00,-5.49 KiB
2026-01-29 22:04:00,-5.52 KiB
2026-01-29 22:08:00,-5.52 KiB
2026-01-29 22:12:00,-5.42 KiB
2026-01-29 22:16:00,-5.38 KiB
2026-01-29 22:20:00,-5.29 KiB
2026-01-29 22:24:00,-5.31 KiB
2026-01-29 22:28:00,-5.19 KiB
2026-01-29 22:32:00,-5.02 KiB
2026-01-29 22:36:00,-5.17 KiB
2026-01-29 22:40:00,-5.10 KiB
2026-01-29 22:44:00,-5.08 KiB
2026-01-29 22:48:00,-5.07 KiB
2026-01-29 22:52:00,-5.08 KiB
2026-01-29 22:56:00,-5.13 KiB
2026-01-29 23:00:00,-5.06 KiB
2026-01-29 23:04:00,-5.13 KiB
2026-01-29 23:08:00,-5.05 KiB
2026-01-29 23:12:00,-5.14 KiB
2026-01-29 23:16:00,-5.15 KiB
2026-01-29 23:20:00,-5.31 KiB
2026-01-29 23:24:00,-5.39 KiB
2026-01-29 23:28:00,-5.37 KiB
2026-01-29 23:32:00,-5.48 KiB
2026-01-29 23:36:00,-5.57 KiB
2026-01-29 23:40:00,-5.63 KiB
2026-01-29 23:44:00,-5.59 KiB
2026-01-29 23:48:00,-5.66 KiB
2026-01-29 23:52:00,-5.51 KiB
2026-01-29 23:56:00,-5.53 KiB
2026-01-30 00:00:00,-5.50 KiB
2026-01-30 00:04:00,-5.41 KiB
2026-01-30 00:08:00,-5.39 KiB
2026-01-30 00:12:00,-5.26 KiB
2026-01-30 00:16:00,-5.32 KiB
2026-01-30 00:20:00,-5.11 KiB
2026-01-30 00:24:00,-5.11 KiB
2026-01-30 00:28:00,-5.08 KiB
2026-01-30 00:32:00,-5.10 KiB
2026-01-30 00:36:00,-5.06 KiB
2026-01-30 00:40:00,-5.05 KiB
2026-01-30 00:44:00,-5.16 KiB
2026-01-30 00:48:00,-5.27 KiB
2026-01-30 00:52:00,-5.27 KiB
2026-01-30 00:56:00,-5.38 KiB
2026-01-30 01:00:00,-5.38 KiB
2026-01-30 01:04:00,-5.50 KiB
2026-01-30 01:08:00,-5.45 KiB
2026-01-30 01:12:00,-5.49 KiB
2026-01-30 01:16:00,-5.48 KiB
2026-01-30 01:20:00,-5.51 KiB
2026-01-30 01:24:00,-5.44 KiB
2026-01-30 01:28:00,-5.44 KiB
2026-01-30 01:32:00,-5.40 KiB
2026-01-30 01:36:00,-5.32 KiB
2026-01-30 01:40:00,-5.40 KiB
2026-01-30 01:44:00,-5.42 KiB
2026-01-30 01:48:00,-5.38 KiB
2026-01-30 01:52:00,-5.30 KiB
2026-01-30 01:56:00,-5.40 KiB
2026-01-30 02:00:00,-5.36 KiB
2026-01-30 02:04:00,-5.41 KiB
2026-01-30 02:08:00,-5.35 KiB
2026-01-30 02:12:00,-5.36 KiB
2026-01-30 02:16:00,-5.44 KiB
2026-01-30 02:20:00,-5.36 KiB
2026-01-30 02:24:00,-5.42 KiB
2026-01-30 02:28:00,-5.32 KiB
2026-01-30 02:32:00,-5.34 KiB
2026-01-30 02:36:00,-5.32 KiB
2026-01-30 02:40:00,-5.42 KiB
2026-01-30 02:44:00,-5.32 KiB
2026-01-30 02:48:00,-5.32 KiB
2026-01-30 02:52:00,-5.33 KiB
2026-01-30 02:56:00,-5.30 KiB
2026-01-30 03:00:00,-5.34 KiB
2026-01-30 03:04:00,-5.38 KiB
2026-01-30 03:08:00,-5.37 KiB
2026-01-30 03:12:00,-5.34 KiB
2026-01-30 03:16:00,-5.37 KiB
2026-01-30 03:20:00,-5.40 KiB
2026-01-30 03:24:00,-5.28 KiB
2026-01-30 03:28:00,-5.26 KiB
2026-01-30 03:32:00,-5.14 KiB
2026-01-30 03:36:00,-5.17 KiB
2026-01-30 03:40:00,-5.16 KiB
2026-01-30 03:44:00,-5.18 KiB
2026-01-30 03:48:00,-5.19 KiB
2026-01-30 03:52:00,-5.11 KiB
2026-01-30 03:56:00,-5.18 KiB
2026-01-30 04:00:00,-5.13 KiB
2026-01-30 04:04:00,-5.43 KiB
2026-01-30 04:08:00,-5.55 KiB
2026-01-30 04:12:00,-5.49 KiB
2026-01-30 04:16:00,-5.46 KiB
2026-01-30 04:20:00,-5.43 KiB
2026-01-30 04:24:00,-5.39 KiB
2026-01-30 04:28:00,-5.34 KiB
2026-01-30 04:32:00,-5.37 KiB
2026-01-30 04:36:00,-5.08 KiB
2026-01-30 04:40:00,-5.09 KiB
2026-01-30 04:44:00,-5.14 KiB
2026-01-30 04:48:00,-5.23 KiB
2026-01-30 04:52:00,-5.18 KiB
2026-01-30 04:56:00,-5.11 KiB
2026-01-30 05:00:00,-5.12 KiB
2026-01-30 05:04:00,-5.18 KiB
2026-01-30 05:08:00,-5.12 KiB
2026-01-30 05:12:00,-5.29 KiB
2026-01-30 05:16:00,-5.18 KiB
2026-01-30 05:20:00,-5.12 KiB
2026-01-30 05:24:00,-5.20 KiB
2026-01-30 05:28:00,-5.37 KiB
2026-01-30 05:32:00,-5.34 KiB
2026-01-30 05:36:00,-5.43 KiB
2026-01-30 05:40:00,-5.43 KiB
2026-01-30 05:44:00,-5.12 KiB
2026-01-30 05:48:00,-5.25 KiB
2026-01-30 05:52:00,-5.34 KiB
2026-01-30 05:56:00,-5.30 KiB
2026-01-30 06:00:00,-5.21 KiB
2026-01-30 06:04:00,-5.17 KiB
2026-01-30 06:08:00,-5.23 KiB
2026-01-30 06:12:00,-5.39 KiB
2026-01-30 06:16:00,-5.45 KiB
2026-01-30 06:20:00,-5.39 KiB
2026-01-30 06:24:00,-5.41 KiB
2026-01-30 06:28:00,-5.44 KiB
2026-01-30 06:32:00,-5.47 KiB
2026-01-30 06:36:00,-5.40 KiB
2026-01-30 06:40:00,-5.35 KiB
2026-01-30 06:44:00,-5.35 KiB
