"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-11 05:54:20,0.00351,0.00470,0.00161,0.00166,0.00245,0.00201
2026-02-11 05:54:40,0.00447,0.0158,0.00842,0.00726,0.00482,0.00445
2026-02-11 05:55:00,0.00586,0.0122,0.00840,0.00690,0.00594,0.00544
2026-02-11 05:55:20,0.00199,0.00203,0.00227,0.00227,0.000225,0.0000646
2026-02-11 05:55:40,0.00185,0.00571,0.00199,0.00443,0.00233,0.00178
2026-02-11 05:56:00,0.00203,0.00486,0.00414,0.00443,0.00221,0.00173
2026-02-11 05:56:20,0.00127,0.000562,0.00270,0.00427,0.00197,0.00235
2026-02-11 05:56:40,0.00391,0.00502,0.00984,0.0116,0.00441,0.00480
2026-02-11 05:57:00,0.00264,0.00445,0.00715,0.00730,0.00244,0.00245
2026-02-11 05:57:20,0,0,0,0,0,0
2026-02-11 05:57:40,0,0,0,0,0,0
2026-02-11 05:58:00,0.00678,0.0120,0.0115,0.0115,0.00447,0.00370
2026-02-11 05:58:20,0.00403,0.00823,0.00819,0.00851,0.00168,0.00390
2026-02-11 05:58:40,0.00343,0.00264,0.00615,0.0139,0.00265,0.00370
2026-02-11 05:59:00,0.00194,0.000933,0.00506,0.0117,0.00249,0.00339
2026-02-11 05:59:20,0.00774,0.00462,0.00782,0.00410,0.00266,0.00370
2026-02-11 05:59:40,0.00228,0.00209,0.00280,0.000529,0.000723,0.00179
2026-02-11 06:00:00,0.00597,0.00777,0.00752,0.00621,0.00195,0.00365
2026-02-11 06:00:20,0.00578,0.0140,0.0116,0.0113,0.00708,0.00628
2026-02-11 06:00:40,0.00160,0.00132,0.00295,0.00373,0.00133,0.00126
2026-02-11 06:01:00,0.00605,0.0128,0.0156,0.00590,0.00744,0.00366
2026-02-11 06:01:20,0.00510,0.00667,0.0161,0.00247,0.00664,0.00283
2026-02-11 06:01:40,0.00108,0.00226,0.00160,0.00157,0.00236,0.00174
2026-02-11 06:02:00,0.00340,0.00353,0.00379,0.00514,0.00276,0.00153
2026-02-11 06:02:20,0,0,0,0,0,0
2026-02-11 06:02:40,0.00777,0.00553,0.00472,0.00484,0.00620,0.00191
2026-02-11 06:03:00,0.0104,0.00627,0.00776,0.00871,0.00844,0.00396
2026-02-11 06:03:20,0,0,0,0,0,0
2026-02-11 06:03:40,0,0,0,0,0,0
2026-02-11 06:04:00,0.00128,0.00522,0.000772,0.00260,0.00000531,0.000324
2026-02-11 06:04:20,0,0.00392,0,0,0,0
2026-02-11 06:04:40,0.00114,0.00392,0.00241,0.00320,0.00269,0.00270
2026-02-11 06:05:00,0.00203,0.00379,0.00394,0.00103,0.00347,0.00273
2026-02-11 06:05:20,0.00208,0.00757,0.00783,0.00483,0.00594,0.00522
2026-02-11 06:05:40,0.00285,0.00460,0.00319,0.00202,0.00253,0.00324
2026-02-11 06:06:00,0.00295,0.00532,0.00205,0.00370,0.00387,0.00387
2026-02-11 06:06:20,0.00295,0.00532,0.00205,0,0.00387,0.00387
2026-02-11 06:06:40,0,0,0,0,0,0
2026-02-11 06:07:00,0,0,0,0,0,0
2026-02-11 06:07:20,0.000477,0.00428,0.00348,0.00104,0.000323,0.00383
2026-02-11 06:07:40,0,0,0,0,0,0
2026-02-11 06:08:00,0.00434,0.00775,0.00902,0.00456,0.00388,0.00500
2026-02-11 06:08:20,0.00673,0.00453,0.00891,0.0101,0.00533,0.00733
2026-02-11 06:08:40,0.00311,0.00754,0.0100,0.0145,0.00660,0.00612
2026-02-11 06:09:00,0.00274,0.00567,0.00997,0.00773,0.00713,0.00371
2026-02-11 06:09:20,0.00459,0.00581,0.0104,0.00997,0.00814,0.00372
2026-02-11 06:09:40,0.0122,0.00697,0.0128,0.00846,0.00662,0.00781
2026-02-11 06:10:00,0.00524,0.00474,0.00669,0.000457,0.00314,0.00380
2026-02-11 06:10:20,0.000268,0.00258,0.00166,0.00179,0.00138,0.00113
2026-02-11 06:10:40,0.00198,0.00882,0.00876,0.00912,0.00565,0.00311
2026-02-11 06:11:00,0.00150,0.00485,0.00630,0.00545,0.00262,0.00266
2026-02-11 06:11:20,0.00332,0.00571,0.0137,0.00895,0.00522,0.00569
2026-02-11 06:11:40,0.000231,0.000778,0.00318,0.00297,0.00206,0.00242
2026-02-11 06:12:00,0.00106,0.000950,0.00250,0.00343,0.00331,0.00128
2026-02-11 06:12:20,0.00401,0.00167,0.00763,0.00406,0.00607,0.00162
2026-02-11 06:12:40,0,0,0,0,0,0
2026-02-11 06:13:00,0.000398,0.00394,0.00478,0.00128,0.00150,0.00320
2026-02-11 06:13:20,0.00237,0.00725,0.00836,0.00462,0.00375,0.00582
2026-02-11 06:13:40,0.00151,0.00383,0.00383,0.00319,0.00313,0.00270
2026-02-11 06:14:00,0.00720,0.0129,0.0155,0.00805,0.00687,0.00587
2026-02-11 06:14:20,0.00276,0.00445,0.00465,0.000273,0.000520,0.000327
2026-02-11 06:14:40,0.00192,0.000394,0.000636,0.00114,0.00102,0.00465
2026-02-11 06:15:00,0.00622,0.00361,0.00483,0.00160,0.00347,0.00732
2026-02-11 06:15:20,0.00386,0.00240,0.00378,0.00559,0.00133,0.00218
2026-02-11 06:15:40,0.00304,0.0107,0.00537,0.00773,0.00540,0.00530
2026-02-11 06:16:00,0.0499,0.0117,0.000927,0.0703,0.00213,0.0650
