"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-11 05:54:20,0.0240,0.0467,0.0466,0.0482,0.0459,0.0475
2026-02-11 05:54:40,0.0574,0.117,0.120,0.109,0.0726,0.0694
2026-02-11 05:55:00,0.0813,0.104,0.0913,0.0908,0.0569,0.0607
2026-02-11 05:55:20,0.0271,0.0588,0.0659,0.0657,0.0634,0.0625
2026-02-11 05:55:40,0.0807,0.0986,0.124,0.0939,0.0675,0.0517
2026-02-11 05:56:00,0.107,0.141,0.0846,0.128,0.0832,0.0781
2026-02-11 05:56:20,0.144,0.157,0.163,0.124,0.140,0.146
2026-02-11 05:56:40,0.0764,0.129,0.0754,0.129,0.0707,0.0711
2026-02-11 05:57:00,0.0764,0.129,0.0754,0.129,0.0707,0.0711
2026-02-11 05:57:20,0.0764,0.129,0.0754,0.129,0.0707,0.0711
2026-02-11 05:57:40,0.0764,0.129,0.0754,0.129,0.0707,0.0711
2026-02-11 05:58:00,0.0796,0.106,0.122,0.214,0.0655,0.0994
2026-02-11 05:58:20,0.0482,0.0590,0.0438,0.0716,0.0161,0.0159
2026-02-11 05:58:40,0.105,0.0861,0.190,0.412,0.0883,0.114
2026-02-11 05:59:00,0.105,0.0861,0.190,0.412,0.0883,0.114
2026-02-11 05:59:20,0.0660,0.134,0.0813,0.119,0.0772,0.107
2026-02-11 05:59:40,0.0660,0.134,0.0813,0.119,0.0772,0.107
2026-02-11 06:00:00,0.0604,0.100,0.106,0.0983,0.0455,0.213
2026-02-11 06:00:20,0.0727,0.117,0.0798,0.118,0.0757,0.0764
2026-02-11 06:00:40,0.119,0.156,0.165,0.108,0.114,0.113
2026-02-11 06:01:00,0.107,0.128,0.395,0.141,0.102,0.0890
2026-02-11 06:01:20,0.0314,0.0656,0.0464,0.0455,0.0684,0.0504
2026-02-11 06:01:40,0.0314,0.0656,0.0464,0.0455,0.0684,0.0504
2026-02-11 06:02:00,0.130,0.168,0.156,0.195,0.149,0.0949
2026-02-11 06:02:20,0.130,0.168,0.156,0.195,0.149,0.0949
2026-02-11 06:02:40,0.104,0.0814,0.131,0.140,0.0791,0.150
2026-02-11 06:03:00,0.0758,0.103,0.0881,0.112,0.0650,0.0595
2026-02-11 06:03:20,0.0758,0.103,0.0881,0.112,0.0650,0.0595
2026-02-11 06:03:40,0.0758,0.103,0.0881,0.112,0.0650,0.0595
2026-02-11 06:04:00,0.113,0.114,0.110,0.0753,0.0652,0.0689
2026-02-11 06:04:20,0.113,0.114,0.110,0.0753,0.0652,0.0689
2026-02-11 06:04:40,0.146,0.114,0.180,0.168,0.143,0.147
2026-02-11 06:05:00,0.0588,0.110,0.114,0.198,0.101,0.0792
2026-02-11 06:05:20,0.0605,0.109,0.113,0.110,0.0715,0.0722
2026-02-11 06:05:40,0.143,0.243,0.0926,0.169,0.145,0.166
2026-02-11 06:06:00,0.0855,0.154,0.152,0.107,0.112,0.112
2026-02-11 06:06:20,0.0855,0.154,0.152,0.107,0.112,0.112
2026-02-11 06:06:40,0.0855,0.154,0.152,0.107,0.112,0.112
2026-02-11 06:07:00,0.0855,0.154,0.152,0.107,0.112,0.112
2026-02-11 06:07:20,0.0993,0.124,0.101,0.138,0.122,0.111
2026-02-11 06:07:40,0.0993,0.124,0.101,0.138,0.122,0.111
2026-02-11 06:08:00,0.0689,0.0895,0.107,0.0920,0.0537,0.0488
2026-02-11 06:08:20,0.0611,0.131,0.0945,0.135,0.0716,0.0563
2026-02-11 06:08:40,0.0901,0.107,0.157,0.151,0.120,0.102
2026-02-11 06:09:00,0.0678,0.0976,0.0896,0.105,0.135,0.0586
2026-02-11 06:09:20,0.133,0.128,0.145,0.0984,0.0812,0.0865
2026-02-11 06:09:40,0.155,0.171,0.184,0.115,0.0994,0.117
2026-02-11 06:10:00,0.0640,0.0821,0.117,0.117,0.0730,0.0665
2026-02-11 06:10:20,0.0718,0.157,0.165,0.168,0.113,0.0994
2026-02-11 06:10:40,0.0525,0.125,0.114,0.126,0.0733,0.0726
2026-02-11 06:11:00,0.0962,0.141,0.115,0.158,0.0759,0.0772
2026-02-11 06:11:20,0.0619,0.116,0.0923,0.130,0.0597,0.0701
2026-02-11 06:11:40,0.0619,0.116,0.0923,0.130,0.0597,0.0701
2026-02-11 06:12:00,0.0927,0.144,0.165,0.0995,0.156,0.107
2026-02-11 06:12:20,0.0856,0.165,0.149,0.118,0.0801,0.117
2026-02-11 06:12:40,0.0856,0.165,0.149,0.118,0.0801,0.117
2026-02-11 06:13:00,0.0971,0.114,0.139,0.155,0.124,0.0929
2026-02-11 06:13:20,0.0571,0.0961,0.104,0.0967,0.0652,0.0759
2026-02-11 06:13:40,0.101,0.207,0.215,0.189,0.156,0.154
2026-02-11 06:14:00,0.0800,0.129,0.135,0.141,0.109,0.0917
2026-02-11 06:14:20,0.0800,0.129,0.135,0.141,0.109,0.0917
2026-02-11 06:14:40,0.136,0.140,0.153,0.174,0.138,0.226
2026-02-11 06:15:00,0.125,0.0932,0.122,0.187,0.0709,0.0777
2026-02-11 06:15:20,0.112,0.163,0.110,0.162,0.110,0.141
2026-02-11 06:15:40,0.0757,0.152,0.0993,0.109,0.0647,0.0647
2026-02-11 06:16:00,0.185,0.197,0.126,,0.0618,0.0583
2026-02-11 06:16:20,0.0339,0.0442,0.0589,0.0878,0.0799,0.0733
2026-02-11 06:16:40,0.0743,0.195,0.151,0.197,0.140,0.155
2026-02-11 06:17:00,0.0422,0.0776,0.0711,0.0860,0.0465,0.0471
2026-02-11 06:17:20,0.0947,0.130,0.106,0.159,0.111,0.114
2026-02-11 06:17:40,0.0574,0.111,0.0703,0.278,0.0585,0.0530
2026-02-11 06:18:00,0.0574,0.111,0.0703,0.278,0.0585,0.0530
2026-02-11 06:18:20,0.0601,0.138,0.144,0.138,0.0698,0.0637
2026-02-11 06:18:40,0.0712,0.221,0.303,0.130,0.0729,0.0782
2026-02-11 06:19:00,0.0826,0.118,0.117,0.0947,0.0769,0.0596
2026-02-11 06:19:20,0.0869,0.182,0.118,0.0973,0.0767,0.0553
2026-02-11 06:19:40,0.0869,0.182,0.118,0.0973,0.0767,0.0553
2026-02-11 06:20:00,0.0953,0.133,0.0798,0.138,0.0693,0.0961
2026-02-11 06:20:20,0.0564,0.117,0.102,0.116,0.0557,0.0639
2026-02-11 06:20:40,0.0564,0.117,0.102,0.116,0.0557,0.0639
2026-02-11 06:21:00,0.190,0.139,0.340,0.127,0.287,0.0707
2026-02-11 06:21:20,0.137,0.109,0.116,0.118,0.0601,0.0845
2026-02-11 06:21:40,0.114,0.149,0.160,0.149,0.0880,0.0867
2026-02-11 06:22:00,0.114,0.149,0.160,0.149,0.0880,0.0867
2026-02-11 06:22:20,0.0908,0.124,0.0891,0.115,0.0664,0.0822
2026-02-11 06:22:40,0.0908,0.124,0.0891,0.115,0.0664,0.0822
2026-02-11 06:23:00,0.0775,0.0691,0.144,0.130,0.0984,0.103
2026-02-11 06:23:20,0.0762,0.0811,0.0924,0.111,0.0636,0.0837
2026-02-11 06:23:40,0.0762,0.0811,0.0924,0.111,0.0636,0.0837
2026-02-11 06:24:00,0.0781,0.0972,0.152,0.151,0.0910,0.0999
2026-02-11 06:24:20,0.102,0.146,0.138,0.119,0.111,0.0697
2026-02-11 06:24:40,0.0553,0.113,0.110,0.109,0.0632,0.0666
2026-02-11 06:25:00,0.0683,0.108,0.0933,0.0912,0.0544,0.0562
2026-02-11 06:25:20,0.0748,0.176,0.165,0.150,0.0943,0.102
2026-02-11 06:25:40,0.0748,0.176,0.165,0.150,0.0943,0.102
2026-02-11 06:26:00,0.0301,0.0423,0.0719,0.0414,0.0728,0.0667
2026-02-11 06:26:20,0.0668,0.120,0.120,0.131,0.0632,0.0655
2026-02-11 06:26:40,0.106,0.0925,0.118,0.120,0.0691,0.0822
2026-02-11 06:27:00,0.106,0.0925,0.118,0.120,0.0691,0.0822
2026-02-11 06:27:20,0.119,0.155,0.150,0.167,0.142,0.134
2026-02-11 06:27:40,0.0747,0.118,0.124,0.0872,0.0656,0.0804
2026-02-11 06:28:00,0.101,0.104,0.144,0.172,0.141,0.0803
2026-02-11 06:28:20,0.0480,0.126,0.125,0.137,0.0921,0.0804
2026-02-11 06:28:40,0.0888,0.181,0.102,0.187,0.109,0.135
2026-02-11 06:29:00,0.165,0.191,0.163,0.194,0.0874,0.126
2026-02-11 06:29:20,0.0658,0.0933,0.0896,0.0946,0.0466,0.242
