"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-11 05:54:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 05:54:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 05:55:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 05:55:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 05:55:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 05:56:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 05:56:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 05:56:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 05:57:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 05:57:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 05:57:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 05:58:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 05:58:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 05:58:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 05:59:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 05:59:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 05:59:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:00:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:00:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:00:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:01:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:01:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:01:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:02:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:02:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:02:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:03:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:03:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:03:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:04:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:04:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:04:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:05:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:05:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:05:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:06:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:06:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:06:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:07:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:07:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:07:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:08:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:08:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:08:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:09:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:09:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:09:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:10:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:10:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:10:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:11:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:11:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:11:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:12:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:12:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:12:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:13:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:13:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:13:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:14:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:14:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:14:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:15:00,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:15:20,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:15:40,1.51,1.97,1.49,1.83,1.82,1.50
2026-02-11 06:16:00,1.27,1.97,1.84,1.98,2.12,1.62
2026-02-11 06:16:20,1.27,1.97,1.84,1.98,2.12,1.62
2026-02-11 06:16:40,1.27,1.97,1.84,1.98,2.12,1.62
2026-02-11 06:17:00,1.27,1.97,1.84,1.98,2.12,1.62
2026-02-11 06:17:20,1.27,1.97,1.84,1.98,2.12,1.62
2026-02-11 06:17:40,1.27,1.97,1.84,1.98,2.12,1.62
2026-02-11 06:18:00,1.27,1.97,1.84,1.98,2.12,1.62
2026-02-11 06:18:20,1.27,1.97,1.84,1.98,2.12,1.62
2026-02-11 06:18:40,1.27,1.97,1.84,1.98,2.12,1.62
2026-02-11 06:19:00,1.27,1.97,1.84,1.98,2.12,1.62
2026-02-11 06:19:20,1.27,1.97,1.84,1.98,2.12,1.62
