"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-09 18:18:00,15.1,15.1,15.1,15.1,15.1,15.1
2026-02-09 18:20:00,17.0,17.0,17.0,17.0,17.0,17.0
2026-02-09 18:22:00,21.2,21.2,21.2,21.2,21.2,21.2
2026-02-09 18:24:00,21.1,21.1,21.1,21.1,21.1,21.1
2026-02-09 18:26:00,24.7,24.7,24.7,24.7,24.7,24.7
2026-02-09 18:28:00,25.1,25.1,25.1,25.1,25.1,25.1
2026-02-09 18:30:00,25.1,25.1,25.1,25.1,25.1,25.1
2026-02-09 18:32:00,26.1,26.1,26.1,26.1,26.1,26.1
2026-02-09 18:34:00,26.5,26.5,26.5,26.5,26.5,26.5
2026-02-09 18:36:00,25.5,25.5,25.5,25.5,25.5,25.5
2026-02-09 18:38:00,27.5,27.5,27.5,27.5,27.5,27.5
2026-02-09 18:40:00,26.9,26.9,26.9,26.9,26.9,26.9
2026-02-09 18:42:00,25.8,25.8,25.8,25.8,25.8,25.8
2026-02-09 18:44:00,25.3,25.3,25.3,25.3,25.3,25.3
2026-02-09 18:46:00,25.7,25.7,25.7,25.7,25.7,25.7
2026-02-09 18:48:00,27.3,27.3,27.3,27.3,27.3,27.3
2026-02-09 18:50:00,28.9,28.9,28.9,28.9,28.9,28.9
2026-02-09 18:52:00,30.0,30.0,30.0,30.0,30.0,30.0
2026-02-09 18:54:00,29.3,29.3,29.3,29.3,29.3,29.3
2026-02-09 18:56:00,31.1,31.1,31.1,31.1,31.1,31.1
2026-02-09 18:58:00,34.3,34.3,34.3,34.3,34.3,34.3
2026-02-09 19:00:00,35.6,35.6,35.6,35.6,35.6,35.6
2026-02-09 19:02:00,34.8,34.8,34.8,34.8,34.8,34.8
2026-02-09 19:04:00,33.4,33.4,33.4,33.4,33.4,33.4
2026-02-09 19:06:00,33.4,33.4,33.4,33.4,33.4,33.4
2026-02-09 19:08:00,36.1,36.1,36.1,36.1,36.1,36.1
2026-02-09 19:10:00,37.5,37.5,37.5,37.5,37.5,37.5
2026-02-09 19:12:00,33.9,33.9,33.9,33.9,33.9,33.9
2026-02-09 19:14:00,37.3,37.3,37.3,37.3,37.3,37.3
2026-02-09 19:16:00,40.4,40.4,40.4,40.4,40.4,40.4
2026-02-09 19:18:00,38.7,38.7,38.7,38.7,38.7,38.7
2026-02-09 19:20:00,41.9,41.9,41.9,41.9,41.9,41.9
2026-02-09 19:22:00,41.0,40.2,40.2,40.2,40.2,41.0
2026-02-09 19:24:00,43.4,43.4,43.4,43.4,43.4,43.4
2026-02-09 19:26:00,42.5,42.5,42.5,42.5,42.5,42.5
2026-02-09 19:28:00,40.0,40.0,40.0,40.0,40.0,40.0
2026-02-09 19:30:00,36.9,36.9,36.9,36.9,36.9,36.9
2026-02-09 19:32:00,39.1,39.1,39.1,39.1,39.1,39.1
2026-02-09 19:34:00,46.7,46.7,46.7,46.7,46.7,46.7
