"Time","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1"
2026-02-09 18:19:00,0.0300,0.0413,0.0650,0.0358
2026-02-09 18:20:00,0.0351,0.0363,0.0354,0.0157
2026-02-09 18:21:00,0.0430,0.0806,0.0437,0.0200
2026-02-09 18:22:00,0.0191,0.0651,0.123,0.0178
2026-02-09 18:23:00,0.0497,0.0607,0.103,0.0391
2026-02-09 18:24:00,0.0408,0.0421,0.0549,0.0281
2026-02-09 18:25:00,0.0414,0.0472,0.0406,0.0293
2026-02-09 18:26:00,0.0677,0.0794,0.0738,0.0571
2026-02-09 18:27:00,0.0820,0.118,0.0425,0.0619
2026-02-09 18:28:00,0.0543,0.0493,0.0470,0.0283
2026-02-09 18:29:00,0.0855,0.0783,0.0438,0.0347
2026-02-09 18:30:00,0.0259,0.0441,0.0453,0.0258
2026-02-09 18:31:00,0.0382,0.0562,0.0641,0.0426
2026-02-09 18:32:00,0.0352,0.0998,0.107,0.0326
2026-02-09 18:33:00,0.0287,0.0655,0.0372,0.0178
2026-02-09 18:34:00,0.0214,0.0485,0.0485,0.0287
2026-02-09 18:35:00,0.0263,0.0419,0.0427,0.0316
2026-02-09 18:36:00,0.0261,0.0391,0.0447,0.0234
2026-02-09 18:37:00,0.0316,0.0431,0.0427,0.0192
2026-02-09 18:38:00,0.0334,0.0410,0.0457,0.0221
2026-02-09 18:39:00,0.0458,0.0669,0.0679,0.0366
2026-02-09 18:40:00,0.0254,0.0474,0.0390,0.0206
2026-02-09 18:41:00,0.0404,0.0645,0.0637,0.0430
2026-02-09 18:42:00,0.0240,0.0480,0.0535,0.0367
2026-02-09 18:43:00,0.0250,0.0473,0.0485,0.0330
2026-02-09 18:44:00,0.0335,0.0384,0.0393,0.0347
2026-02-09 18:45:00,0.0275,0.0486,0.0633,0.0261
2026-02-09 18:46:00,0.0311,0.0590,0.0540,0.0264
2026-02-09 18:47:00,0.0132,0.0419,0.0219,0.0155
2026-02-09 18:48:00,0.0917,0.0750,0.0531,0.0393
2026-02-09 18:49:00,0.0276,0.0463,0.0362,0.0241
2026-02-09 18:50:00,0.0388,0.0515,0.0481,0.0237
2026-02-09 18:51:00,0.0277,0.0527,0.0606,0.0287
2026-02-09 18:52:00,0.794,0.0455,0.753,0.865
2026-02-09 18:53:00,0.0464,0.0388,0.0536,0.0392
2026-02-09 18:54:00,0.0638,0.0585,0.0558,0.0391
2026-02-09 18:55:00,0.0334,0.0159,0.0391,0.0303
2026-02-09 18:56:00,0.0724,0.0584,0.0465,0.0469
2026-02-09 18:57:00,0.0343,0.0560,0.0365,0.0332
2026-02-09 18:58:00,0.0326,0.0437,0.0480,0.0266
2026-02-09 18:59:00,0.0549,0.0791,0.0513,0.0554
2026-02-09 19:00:00,0.0304,0.0582,0.0385,0.0188
2026-02-09 19:01:00,0.0713,0.164,0.0944,0.0831
2026-02-09 19:02:00,0.0269,0.0392,0.0374,0.0180
2026-02-09 19:03:00,0.0401,0.0553,0.0552,0.0254
2026-02-09 19:04:00,0.0396,0.115,0.134,0.0494
2026-02-09 19:05:00,0.0340,0.0867,0.0483,0.0416
2026-02-09 19:06:00,0.0350,0.0556,0.0404,0.0253
2026-02-09 19:07:00,0.0268,0.0328,0.0473,0.0201
2026-02-09 19:08:00,0.0523,0.0570,0.0615,0.0380
