"Time","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1"
2026-02-09 18:19:00,0.0165,0.0218,0.0386,0.0310
2026-02-09 18:20:00,0.0241,0.0216,0.0195,0.0144
2026-02-09 18:21:00,0.0267,0.0641,0.0221,0.0181
2026-02-09 18:22:00,0.0154,0.114,0.112,0.00838
2026-02-09 18:23:00,0.0272,0.0302,0.0728,0.0348
2026-02-09 18:24:00,0.0207,0.0220,0.0312,0.0220
2026-02-09 18:25:00,0.0231,0.0251,0.0212,0.0238
2026-02-09 18:26:00,0.0398,0.0417,0.0384,0.0482
2026-02-09 18:27:00,0.0520,0.159,0.0607,0.0521
2026-02-09 18:28:00,0.0304,0.0612,0.0245,0.0262
2026-02-09 18:29:00,0.0516,0.0471,0.0226,0.0307
2026-02-09 18:30:00,0.0138,0.0207,0.0229,0.0240
2026-02-09 18:31:00,0.0219,0.0283,0.0296,0.0341
2026-02-09 18:32:00,0.0192,0.0660,0.0772,0.0302
2026-02-09 18:33:00,0.0155,0.0475,0.0192,0.0168
2026-02-09 18:34:00,0.0123,0.0253,0.0262,0.0254
2026-02-09 18:35:00,0.0240,0.0720,0.0216,0.0304
2026-02-09 18:36:00,0.0140,0.0227,0.0234,0.0220
2026-02-09 18:37:00,0.0168,0.0238,0.0239,0.0175
2026-02-09 18:38:00,0.0195,0.0217,0.0238,0.0196
2026-02-09 18:39:00,0.0261,0.0390,0.0398,0.0333
2026-02-09 18:40:00,0.0124,0.0286,0.0214,0.0191
2026-02-09 18:41:00,0.0199,0.0442,0.0401,0.0407
2026-02-09 18:42:00,0.0210,0.0257,0.0234,0.0337
2026-02-09 18:43:00,0.0145,0.0400,0.0419,0.0426
2026-02-09 18:44:00,0.0175,0.0201,0.0209,0.0304
2026-02-09 18:45:00,0.0170,0.0248,0.0362,0.0205
2026-02-09 18:46:00,0.0159,0.0333,0.0325,0.0238
2026-02-09 18:47:00,0.0163,0.0456,0.0260,0.0340
2026-02-09 18:48:00,0.0685,0.0362,0.0277,0.0363
2026-02-09 18:49:00,0.0152,0.0237,0.0184,0.0225
2026-02-09 18:50:00,0.0227,0.0293,0.0242,0.0222
2026-02-09 18:51:00,0.0162,0.0271,0.0370,0.0271
2026-02-09 18:52:00,0.769,0.0442,0.727,0.822
2026-02-09 18:53:00,0.0297,0.0194,0.0279,0.0376
2026-02-09 18:54:00,0.0319,0.0294,0.0295,0.0313
2026-02-09 18:55:00,0.0178,0.0228,0.0194,0.0285
2026-02-09 18:56:00,0.0410,0.0295,0.0238,0.0391
2026-02-09 18:57:00,0.0259,0.0314,0.0189,0.0283
2026-02-09 18:58:00,0.0186,0.0229,0.0264,0.0256
2026-02-09 18:59:00,0.0212,0.0289,0.0217,0.0499
2026-02-09 19:00:00,0.0192,0.0293,0.0359,0.0176
2026-02-09 19:01:00,0.0296,0.107,0.0672,0.0758
2026-02-09 19:02:00,0.0145,0.0204,0.0193,0.0159
2026-02-09 19:03:00,0.0212,0.0271,0.0310,0.0240
2026-02-09 19:04:00,0.0213,0.0863,0.0977,0.0407
2026-02-09 19:05:00,0.0195,0.0437,0.0240,0.0395
2026-02-09 19:06:00,0.0187,0.0289,0.0198,0.0214
2026-02-09 19:07:00,0.0974,0.0245,0.0253,0.0190
2026-02-09 19:08:00,0.0285,0.0332,0.0380,0.0359
2026-02-09 19:09:00,0.0157,0.0163,0.0254,0.0232
2026-02-09 19:10:00,0.0264,0.0323,0.0255,0.0302
2026-02-09 19:11:00,0.0180,0.0401,0.0422,0.0239
2026-02-09 19:12:00,0.0142,0.0277,0.0312,0.0170
2026-02-09 19:13:00,0.0215,0.0322,0.0214,0.0264
2026-02-09 19:14:00,0.0164,0.0158,0.0231,0.0224
2026-02-09 19:15:00,0.0300,0.0991,0.0266,0.0803
2026-02-09 19:16:00,0.0232,0.0513,0.0325,0.0332
2026-02-09 19:17:00,0.0155,0.0208,0.0279,0.0167
2026-02-09 19:18:00,0.0313,0.0227,0.0291,0.0304
2026-02-09 19:19:00,0.0270,0.0312,0.0209,0.0228
2026-02-09 19:20:00,0.0345,0.00858,0.00440,0.0391
2026-02-09 19:21:00,0.0158,0.0202,0.0270,0.00170
2026-02-09 19:22:00,0.0190,0.0299,0.0317,0.0271
2026-02-09 19:23:00,0.0178,0.0364,0.0277,0.0233
2026-02-09 19:24:00,0.0168,0.110,0.0521,0.0237
2026-02-09 19:25:00,0.0230,0.0390,0.0233,0.0209
2026-02-09 19:26:00,0.0259,0.0432,0.0369,0.0550
2026-02-09 19:27:00,0.0195,0.0507,0.0227,0.0307
2026-02-09 19:28:00,0.0141,0.0471,0.103,0.0460
2026-02-09 19:29:00,0.0320,0.0328,0.0296,0.0512
2026-02-09 19:30:00,0.0263,0.0322,0.0315,0.0412
2026-02-09 19:31:00,0.0455,0.0391,0.0548,0.0266
2026-02-09 19:32:00,0.0230,0.0200,0.0198,0.0349
2026-02-09 19:33:00,0.0184,0.0249,0.0378,0.0539
2026-02-09 19:34:00,0.0178,0.0317,0.0233,0.0249
2026-02-09 19:35:00,0.0233,0.0379,0.814,0.0265
2026-02-09 19:36:00,0.0361,0.0280,0.0429,0.0519
2026-02-09 19:37:00,0.0220,0.0336,0.0200,0.0292
2026-02-09 19:38:00,0.0255,0.0231,0.0217,0.0323
2026-02-09 19:39:00,0.0239,0.0226,0.0217,0.0260
2026-02-09 19:40:00,0.0139,0.0301,0.0313,0.0239
2026-02-09 19:41:00,0.0191,0.0312,0.0320,0.0214
2026-02-09 19:42:00,0.0380,0.0370,0.0295,0.0478
2026-02-09 19:43:00,0.0158,0.0460,0.0463,0.0560
2026-02-09 19:44:00,0.0236,0.0316,0.0312,0.0451
2026-02-09 19:45:00,0.0158,0.0243,0.0715,0.0196
2026-02-09 19:46:00,0.0306,0.0389,0.0395,0.0517
2026-02-09 19:47:00,0.0157,0.0369,0.0276,0.0208
2026-02-09 19:48:00,0.0259,0.0763,0.0382,0.0329
2026-02-09 19:49:00,0.0163,0.0334,0.0352,0.0346
2026-02-09 19:50:00,0.0350,0.0362,0.0401,0.0312
2026-02-09 19:51:00,0.0231,0.0339,0.0223,0.0343
2026-02-09 19:52:00,0.0229,0.0805,0.0269,0.0260
2026-02-09 19:53:00,0.0225,0.0188,0.0385,0.0511
2026-02-09 19:54:00,0.0399,0.0287,0.0322,0.0369
2026-02-09 19:55:00,0.0242,0.0353,0.0276,0.0608
2026-02-09 19:56:00,0.0232,0.0559,0.0239,0.0620
2026-02-09 19:57:00,0.0248,0.0216,0.0413,0.0554
2026-02-09 19:58:00,0.0214,0.0256,0.0246,0.0261
2026-02-09 19:59:00,0.0358,0.0363,0.0376,0.0551
2026-02-09 20:00:00,0.0353,0.0331,0.0290,0.0950
2026-02-09 20:01:00,0.0410,0.0257,0.0386,0.0291
2026-02-09 20:02:00,0.0208,0.0245,0.0169,0.0135
2026-02-09 20:03:00,0.0198,0.0277,0.0276,0.0240
2026-02-09 20:04:00,0.0327,0.0229,0.0243,0.0585
2026-02-09 20:05:00,0.0342,0.0317,0.0470,0.0490
2026-02-09 20:06:00,0.0298,0.0349,0.0358,0.0430
2026-02-09 20:07:00,0.0579,0.0512,0.0503,0.0676
2026-02-09 20:08:00,0.0142,0.0231,0.0171,0.0189
2026-02-09 20:09:00,0.0157,0.0272,0.0334,0.0296
2026-02-09 20:10:00,0.0219,0.0210,0.0342,0.0332
2026-02-09 20:11:00,0.0318,0.0253,0.0356,0.0474
2026-02-09 20:12:00,0.0218,0.0229,0.0222,0.0314
2026-02-09 20:13:00,0.0351,0.0347,0.0298,0.0218
2026-02-09 20:14:00,0.0358,0.0271,0.0270,0.0373
2026-02-09 20:15:00,0.0166,0.0268,0.0205,0.0267
2026-02-09 20:16:00,0.0166,0.0268,0.0267,0.0267
2026-02-09 20:17:00,0.0239,0.0313,0.0242,0.0233
2026-02-09 20:18:00,0.0205,0.0197,0.0358,0.0605
2026-02-09 20:19:00,0.0328,0.0201,0.0274,0.0496
2026-02-09 20:20:00,0.0328,0.0201,0.0285,0.0496
2026-02-09 20:21:00,0.0195,0.0230,0.0187,0.0174
2026-02-09 20:22:00,0.0110,0.0184,0.0194,0.0336
2026-02-09 20:23:00,0.0214,0.0187,0.0318,0.0356
2026-02-09 20:24:00,0.0164,0.0310,0.0358,0.0417
2026-02-09 20:25:00,0.0230,0.0350,0.0300,0.0433
2026-02-09 20:26:00,0.0296,0.0267,0.820,0.0202
2026-02-09 20:27:00,0.0286,0.0287,0.0310,0.0248
2026-02-09 20:28:00,0.0131,0.0414,0.0447,0.0444
2026-02-09 20:29:00,0.0509,0.0489,0.0460,0.0400
2026-02-09 20:30:00,0.0247,0.0438,0.0310,0.0370
2026-02-09 20:31:00,0.0289,0.0338,0.0207,0.0187
2026-02-09 20:32:00,0.0260,0.0607,0.0193,0.0412
2026-02-09 20:33:00,0.0251,0.0468,0.0240,0.0491
2026-02-09 20:34:00,0.0352,0.0208,0.0313,0.0415
2026-02-09 20:35:00,0.0670,0.0775,0.0202,0.0803
2026-02-09 20:36:00,0.0106,0.0473,0.0161,0.0435
2026-02-09 20:37:00,0.0356,0.0237,0.134,0.0454
2026-02-09 20:38:00,0.0249,0.0366,0.0380,0.0449
2026-02-09 20:39:00,0.0212,0.0320,0.0299,0.0206
2026-02-09 20:40:00,0.0246,0.0185,0.0407,0.0381
2026-02-09 20:41:00,0.0123,0.0295,0.0326,0.0246
2026-02-09 20:42:00,0.0174,0.0388,0.0395,0.0338
2026-02-09 20:43:00,0.0205,0.0185,0.0388,0.0573
2026-02-09 20:44:00,0.0304,0.0185,0.0316,0.0675
2026-02-09 20:45:00,0.0221,0.0179,0.0416,0.0352
2026-02-09 20:46:00,0.0264,0.0313,0.0293,0.0451
2026-02-09 20:47:00,0.0154,0.0290,0.0234,0.0247
2026-02-09 20:48:00,0.0254,0.0409,0.0412,0.0662
2026-02-09 20:49:00,0.0272,0.0499,0.0361,0.0618
2026-02-09 20:50:00,0.0346,0.0301,0.0344,0.0185
2026-02-09 20:51:00,0.0150,0.0255,0.0210,0.0207
2026-02-09 20:52:00,0.0282,0.0229,0.0211,0.0188
2026-02-09 20:53:00,0.0246,0.0236,0.0289,0.0253
2026-02-09 20:54:00,0.0221,0.0388,0.0376,0.0241
2026-02-09 20:55:00,0.0200,0.0275,0.0261,0.0241
2026-02-09 20:56:00,0.0452,0.0355,0.0362,0.0276
2026-02-09 20:57:00,0.0222,0.0429,0.0426,0.0597
2026-02-09 20:58:00,0.0216,0.0492,0.0346,0.0250
2026-02-09 20:59:00,0.0220,0.0492,0.0346,0.0250
2026-02-09 21:00:00,0.0234,0.0461,0.0365,0.0343
2026-02-09 21:01:00,0.0195,0.0447,0.0517,0.0588
2026-02-09 21:02:00,0.0278,0.0367,0.0376,0.0303
2026-02-09 21:03:00,0.0184,0.0183,0.0139,0.0299
2026-02-09 21:04:00,0.0250,0.0289,0.0306,0.0409
2026-02-09 21:05:00,0.0236,0.0352,0.0391,0.0523
2026-02-09 21:06:00,0.0243,0.0315,0.0500,0.0410
2026-02-09 21:07:00,0.0229,0.0170,0.0260,0.0356
2026-02-09 21:08:00,0.0161,0.0418,0.0431,0.0320
2026-02-09 21:09:00,0.0222,0.0186,0.0323,0.0430
2026-02-09 21:10:00,0.0286,0.0467,0.0384,0.0507
2026-02-09 21:11:00,0.0286,0.0467,0.0433,0.0507
2026-02-09 21:12:00,0.0184,0.0321,0.0305,0.0292
2026-02-09 21:13:00,0.0283,0.0322,0.0282,0.0337
2026-02-09 21:14:00,0.0244,0.0223,0.0670,0.0353
2026-02-09 21:15:00,0.0225,0.0298,0.0280,0.0271
2026-02-09 21:16:00,0.0220,0.0327,0.0288,0.0343
2026-02-09 21:17:00,0.0291,0.0408,0.0413,0.0433
2026-02-09 21:18:00,0.0252,0.0275,0.0243,0.0327
2026-02-09 21:19:00,0.0557,0.0334,0.0405,0.0491
2026-02-09 21:20:00,0.0330,0.0256,0.0411,0.0434
2026-02-09 21:21:00,0.0220,0.0349,0.0410,0.0401
2026-02-09 21:22:00,0.0175,0.0220,0.0217,0.0218
2026-02-09 21:23:00,0.0280,0.0247,0.0246,0.0468
2026-02-09 21:24:00,0.0272,0.0544,0.0346,0.0604
2026-02-09 21:25:00,0.0155,0.0343,0.0337,0.0227
2026-02-09 21:26:00,0.0234,0.0311,0.0355,0.0205
2026-02-09 21:27:00,0.0185,0.0239,0.0175,0.0236
2026-02-09 21:28:00,0.0170,0.0383,0.0384,0.0542
2026-02-09 21:29:00,0.0214,0.0526,0.0459,0.0542
2026-02-09 21:30:00,0.0313,0.0353,0.0334,0.0255
2026-02-09 21:31:00,0.0242,0.0358,0.0248,0.0237
2026-02-09 21:32:00,0.0206,0.0255,0.0271,0.0251
2026-02-09 21:33:00,0.0286,0.0278,0.0372,0.0318
2026-02-09 21:34:00,0.0205,0.0266,0.0216,0.0210
2026-02-09 21:35:00,0.0379,0.0203,0.0479,0.0409
2026-02-09 21:36:00,0.0422,0.0450,0.0233,0.0597
2026-02-09 21:37:00,0.0484,0.0420,0.0497,0.0914
2026-02-09 21:38:00,0.0345,0.0167,0.0226,0.0295
2026-02-09 21:39:00,0.0118,0.0276,0.0299,0.0434
2026-02-09 21:40:00,0.0431,0.0338,0.687,0.0202
2026-02-09 21:41:00,0.0157,0.0271,0.0170,0.0391
2026-02-09 21:42:00,0.0173,0.0204,0.0240,0.0171
2026-02-09 21:43:00,0.0207,0.0247,0.0184,0.0235
2026-02-09 21:44:00,0.00394,0.00361,0.00572,0.00148
2026-02-09 21:45:00,0.0199,0.0253,0.0285,0.0224
2026-02-09 21:46:00,0.0167,0.0223,0.0897,0.0235
2026-02-09 21:47:00,0.0240,0.0430,0.0253,0.0564
2026-02-09 21:48:00,0.0168,0.0470,0.0292,0.0350
2026-02-09 21:49:00,0.0344,0.0557,0.0641,0.0144
2026-02-09 21:50:00,0.0200,0.0384,0.0260,0.0217
2026-02-09 21:51:00,0.0297,0.0508,0.0480,0.0476
2026-02-09 21:52:00,0.0254,0.0290,0.0204,0.0361
2026-02-09 21:53:00,0.0154,0.196,0.0683,0.0641
2026-02-09 21:54:00,0.0261,0.0310,0.0560,0.0759
2026-02-09 21:55:00,0.0149,0.0424,0.0597,0.0680
2026-02-09 21:56:00,0.0220,0.0241,0.0525,0.0352
2026-02-09 21:57:00,0.0212,0.0323,0.0264,0.0418
2026-02-09 21:58:00,0.0235,0.0478,0.0336,0.0413
2026-02-09 21:59:00,0.0233,0.0268,0.0303,0.0300
2026-02-09 22:00:00,0.0177,0.0637,0.0369,0.0512
2026-02-09 22:01:00,0.0190,0.0268,0.0280,0.0154
2026-02-09 22:02:00,0.0177,0.0262,0.0366,0.0379
2026-02-09 22:03:00,0.0230,0.0210,0.0379,0.0467
2026-02-09 22:04:00,0.0230,0.0286,0.0349,0.0516
2026-02-09 22:05:00,0.0195,0.0379,0.0317,0.0412
2026-02-09 22:06:00,0.0197,0.0379,0.0317,0.0412
2026-02-09 22:07:00,0.0324,0.0355,0.0297,0.0319
2026-02-09 22:08:00,0.0197,0.0260,0.0271,0.0186
2026-02-09 22:09:00,0.0167,0.0169,0.0197,0.0182
2026-02-09 22:10:00,0.0281,0.0322,0.0273,0.0271
2026-02-09 22:11:00,0.0194,0.0331,0.0504,0.0498
2026-02-09 22:12:00,0.0150,0.0201,0.0280,0.0160
2026-02-09 22:13:00,0.0287,0.0285,0.0313,0.0245
2026-02-09 22:14:00,0.0281,0.0316,0.0290,0.0263
2026-02-09 22:15:00,0.0270,0.0293,0.0196,0.0162
2026-02-09 22:16:00,0.0124,0.0172,0.0205,0.0150
2026-02-09 22:17:00,0.0150,0.0210,0.0230,0.0322
2026-02-09 22:18:00,0.0448,0.0281,0.0264,0.0340
2026-02-09 22:19:00,0.0282,0.0278,0.0306,0.0532
2026-02-09 22:20:00,0.0215,0.0282,0.0224,0.0274
2026-02-09 22:21:00,0.0176,0.0442,0.0402,0.0469
2026-02-09 22:22:00,0.0434,0.0718,0.0558,0.0704
2026-02-09 22:23:00,0.0173,0.0580,0.0470,0.0591
2026-02-09 22:24:00,0.0136,0.0435,0.0440,0.0422
2026-02-09 22:25:00,0.0247,0.0290,0.0258,0.0321
2026-02-09 22:26:00,0.0244,0.0621,0.0685,0.0573
2026-02-09 22:27:00,0.0280,0.0625,0.802,0.0792
2026-02-09 22:28:00,0.0229,0.0389,0.0396,0.0403
