"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-09 18:19:00,142 µs,185 ms,233 µs,,171 µs,
2026-02-09 18:20:00,142 µs,185 ms,233 µs,,171 µs,
2026-02-09 18:21:00,142 µs,185 ms,233 µs,,171 µs,
2026-02-09 18:34:00,188 µs,,191 µs,157 µs,858 µs,195 µs
2026-02-09 18:35:00,188 µs,,191 µs,157 µs,858 µs,195 µs
2026-02-09 18:36:00,188 µs,,191 µs,157 µs,858 µs,195 µs
2026-02-09 18:37:00,188 µs,,191 µs,157 µs,858 µs,195 µs
2026-02-09 18:38:00,188 µs,,191 µs,157 µs,858 µs,195 µs
2026-02-09 18:52:00,487 µs,,170 µs,123 µs,142 µs,203 µs
2026-02-09 18:53:00,487 µs,,170 µs,123 µs,142 µs,203 µs
2026-02-09 18:54:00,487 µs,,170 µs,123 µs,142 µs,203 µs
2026-02-09 18:55:00,487 µs,,170 µs,123 µs,142 µs,203 µs
2026-02-09 18:56:00,487 µs,,170 µs,123 µs,142 µs,203 µs
2026-02-09 19:14:00,157 µs,,208 µs,126 µs,153 µs,8.27 ms
2026-02-09 19:15:00,157 µs,,208 µs,126 µs,153 µs,8.27 ms
2026-02-09 19:16:00,157 µs,,208 µs,126 µs,153 µs,8.27 ms
2026-02-09 19:17:00,157 µs,,208 µs,126 µs,153 µs,8.27 ms
2026-02-09 19:18:00,157 µs,,208 µs,126 µs,153 µs,8.27 ms
2026-02-09 19:35:00,163 µs,,134 µs,144 µs,272 µs,139 µs
2026-02-09 19:36:00,163 µs,,134 µs,144 µs,272 µs,139 µs
2026-02-09 19:37:00,163 µs,,134 µs,144 µs,272 µs,139 µs
2026-02-09 19:38:00,163 µs,,134 µs,144 µs,272 µs,139 µs
2026-02-09 19:39:00,163 µs,,134 µs,144 µs,272 µs,139 µs
2026-02-09 20:01:00,134 µs,,893 µs,141 µs,153 µs,229 µs
2026-02-09 20:02:00,134 µs,,893 µs,141 µs,153 µs,229 µs
2026-02-09 20:03:00,134 µs,,893 µs,141 µs,153 µs,229 µs
2026-02-09 20:04:00,134 µs,,893 µs,141 µs,153 µs,229 µs
2026-02-09 20:05:00,134 µs,,893 µs,141 µs,153 µs,229 µs
2026-02-09 20:17:00,,3.24 s,,,,
2026-02-09 20:18:00,,3.24 s,,,,
2026-02-09 20:19:00,,3.24 s,,,,
2026-02-09 20:20:00,,3.24 s,,,,
2026-02-09 20:21:00,,3.24 s,,,,
2026-02-09 20:26:00,212 µs,,188 µs,181 µs,212 µs,181 µs
2026-02-09 20:27:00,212 µs,,188 µs,181 µs,212 µs,181 µs
2026-02-09 20:28:00,212 µs,,188 µs,181 µs,212 µs,181 µs
2026-02-09 20:29:00,212 µs,,188 µs,181 µs,212 µs,181 µs
2026-02-09 20:30:00,212 µs,,188 µs,181 µs,212 µs,181 µs
2026-02-09 20:51:00,121 µs,,172 µs,121 µs,374 µs,189 µs
2026-02-09 20:52:00,121 µs,,172 µs,121 µs,374 µs,189 µs
2026-02-09 20:53:00,121 µs,,172 µs,121 µs,374 µs,189 µs
2026-02-09 20:54:00,121 µs,,172 µs,121 µs,374 µs,189 µs
2026-02-09 20:55:00,121 µs,,172 µs,121 µs,374 µs,189 µs
2026-02-09 21:17:00,237 µs,,171 µs,106 µs,149 µs,142 µs
2026-02-09 21:18:00,237 µs,,171 µs,106 µs,149 µs,142 µs
2026-02-09 21:19:00,237 µs,,171 µs,106 µs,149 µs,142 µs
2026-02-09 21:20:00,237 µs,,171 µs,106 µs,149 µs,142 µs
2026-02-09 21:21:00,237 µs,,171 µs,106 µs,149 µs,142 µs
2026-02-09 21:40:00,,,,282 µs,,
2026-02-09 21:41:00,309 µs,,174 µs,282 µs,152 µs,150 µs
2026-02-09 21:42:00,309 µs,,174 µs,282 µs,152 µs,150 µs
2026-02-09 21:43:00,309 µs,,174 µs,282 µs,152 µs,150 µs
2026-02-09 21:44:00,309 µs,,174 µs,282 µs,152 µs,150 µs
2026-02-09 21:45:00,309 µs,,174 µs,,152 µs,150 µs
2026-02-09 22:02:00,152 µs,198 µs,149 µs,134 µs,179 µs,141 µs
2026-02-09 22:03:00,152 µs,198 µs,149 µs,134 µs,179 µs,141 µs
2026-02-09 22:04:00,152 µs,198 µs,149 µs,134 µs,179 µs,141 µs
2026-02-09 22:05:00,152 µs,198 µs,149 µs,134 µs,179 µs,141 µs
2026-02-09 22:06:00,152 µs,198 µs,149 µs,134 µs,179 µs,141 µs
2026-02-09 22:27:00,,,,112 µs,,
2026-02-09 22:28:00,104 µs,,129 µs,112 µs,115 µs,119 µs
2026-02-09 22:29:00,104 µs,,129 µs,112 µs,115 µs,119 µs
2026-02-09 22:30:00,104 µs,,129 µs,112 µs,115 µs,119 µs
2026-02-09 22:31:00,104 µs,,129 µs,112 µs,115 µs,119 µs
2026-02-09 22:32:00,104 µs,,129 µs,,115 µs,119 µs
2026-02-09 22:48:00,,,,137 µs,,
2026-02-09 22:49:00,168 µs,,143 µs,137 µs,170 µs,197 µs
2026-02-09 22:50:00,168 µs,,143 µs,137 µs,170 µs,197 µs
2026-02-09 22:51:00,168 µs,,143 µs,137 µs,170 µs,197 µs
2026-02-09 22:52:00,168 µs,,143 µs,137 µs,170 µs,197 µs
2026-02-09 22:53:00,168 µs,,143 µs,,170 µs,197 µs
2026-02-09 23:15:00,145 µs,,176 µs,135 µs,141 µs,192 µs
2026-02-09 23:16:00,145 µs,,176 µs,135 µs,141 µs,192 µs
2026-02-09 23:17:00,145 µs,,176 µs,135 µs,141 µs,192 µs
2026-02-09 23:18:00,145 µs,,176 µs,135 µs,141 µs,192 µs
2026-02-09 23:19:00,145 µs,,176 µs,135 µs,141 µs,192 µs
2026-02-09 23:40:00,135 µs,,144 µs,123 µs,174 µs,140 µs
2026-02-09 23:41:00,135 µs,,144 µs,123 µs,174 µs,140 µs
2026-02-09 23:42:00,135 µs,,144 µs,123 µs,174 µs,140 µs
2026-02-09 23:43:00,135 µs,,144 µs,123 µs,174 µs,140 µs
2026-02-09 23:44:00,135 µs,,144 µs,123 µs,174 µs,140 µs
2026-02-10 00:03:00,146 µs,,139 µs,416 µs,152 µs,146 µs
2026-02-10 00:04:00,146 µs,,139 µs,416 µs,152 µs,146 µs
2026-02-10 00:05:00,146 µs,,139 µs,416 µs,152 µs,146 µs
2026-02-10 00:06:00,146 µs,,139 µs,416 µs,152 µs,146 µs
2026-02-10 00:07:00,146 µs,,139 µs,416 µs,152 µs,146 µs
2026-02-10 00:20:00,,3.94 s,,,,
2026-02-10 00:21:00,,3.94 s,,,,
2026-02-10 00:22:00,,3.94 s,,,,
2026-02-10 00:23:00,,3.94 s,,,,
2026-02-10 00:24:00,,3.94 s,,,,
2026-02-10 00:29:00,161 µs,,142 µs,125 µs,328 µs,166 µs
2026-02-10 00:30:00,161 µs,,142 µs,125 µs,328 µs,166 µs
2026-02-10 00:31:00,161 µs,,142 µs,125 µs,328 µs,166 µs
2026-02-10 00:32:00,161 µs,,142 µs,125 µs,328 µs,166 µs
2026-02-10 00:33:00,161 µs,,142 µs,125 µs,328 µs,166 µs
2026-02-10 00:51:00,,,,174 µs,,
2026-02-10 00:52:00,235 µs,,135 µs,174 µs,138 µs,291 µs
2026-02-10 00:53:00,235 µs,,135 µs,174 µs,138 µs,291 µs
2026-02-10 00:54:00,235 µs,,135 µs,174 µs,138 µs,291 µs
2026-02-10 00:55:00,235 µs,,135 µs,174 µs,138 µs,291 µs
2026-02-10 00:56:00,235 µs,,135 µs,,138 µs,291 µs
2026-02-10 01:13:00,167 µs,,123 µs,103 µs,156 µs,128 µs
2026-02-10 01:14:00,167 µs,,123 µs,103 µs,156 µs,128 µs
2026-02-10 01:15:00,167 µs,,123 µs,103 µs,156 µs,128 µs
2026-02-10 01:16:00,167 µs,,123 µs,103 µs,156 µs,128 µs
2026-02-10 01:17:00,167 µs,,123 µs,103 µs,156 µs,128 µs
2026-02-10 01:35:00,,,,92 µs,,
2026-02-10 01:36:00,134 µs,,162 µs,92 µs,195 µs,162 µs
2026-02-10 01:37:00,134 µs,,162 µs,92 µs,195 µs,162 µs
2026-02-10 01:38:00,134 µs,,162 µs,92 µs,195 µs,162 µs
2026-02-10 01:39:00,134 µs,,162 µs,92 µs,195 µs,162 µs
2026-02-10 01:40:00,134 µs,,162 µs,,195 µs,162 µs
2026-02-10 01:57:00,128 µs,158 µs,174 µs,147 µs,642 µs,115 µs
2026-02-10 01:58:00,128 µs,158 µs,174 µs,147 µs,642 µs,115 µs
2026-02-10 01:59:00,128 µs,158 µs,174 µs,147 µs,642 µs,115 µs
2026-02-10 02:00:00,128 µs,158 µs,174 µs,147 µs,642 µs,115 µs
2026-02-10 02:01:00,128 µs,158 µs,174 µs,147 µs,642 µs,115 µs
2026-02-10 02:22:00,380 µs,,62.3 ms,166 µs,169 µs,162 µs
2026-02-10 02:23:00,380 µs,,62.3 ms,166 µs,169 µs,162 µs
2026-02-10 02:24:00,380 µs,,62.3 ms,166 µs,169 µs,162 µs
2026-02-10 02:25:00,380 µs,,62.3 ms,166 µs,169 µs,162 µs
2026-02-10 02:26:00,380 µs,,62.3 ms,166 µs,169 µs,162 µs
2026-02-10 02:47:00,163 µs,,118 µs,93 µs,124 µs,117 µs
2026-02-10 02:48:00,163 µs,,118 µs,93 µs,124 µs,117 µs
2026-02-10 02:49:00,163 µs,,118 µs,93 µs,124 µs,117 µs
2026-02-10 02:50:00,163 µs,,118 µs,93 µs,124 µs,117 µs
2026-02-10 02:51:00,163 µs,,118 µs,93 µs,124 µs,117 µs
2026-02-10 03:09:00,126 µs,,222 µs,103 µs,332 µs,139 µs
2026-02-10 03:10:00,126 µs,,222 µs,103 µs,332 µs,139 µs
2026-02-10 03:11:00,126 µs,,222 µs,103 µs,332 µs,139 µs
2026-02-10 03:12:00,126 µs,,222 µs,103 µs,332 µs,139 µs
2026-02-10 03:13:00,126 µs,,222 µs,103 µs,332 µs,139 µs
2026-02-10 03:32:00,173 µs,,217 µs,190 µs,242 µs,141 µs
2026-02-10 03:33:00,173 µs,,217 µs,190 µs,242 µs,141 µs
2026-02-10 03:34:00,173 µs,,217 µs,190 µs,242 µs,141 µs
2026-02-10 03:35:00,173 µs,,217 µs,190 µs,242 µs,141 µs
2026-02-10 03:36:00,173 µs,,217 µs,190 µs,242 µs,141 µs
2026-02-10 03:56:00,,,,155 µs,,
2026-02-10 03:57:00,171 µs,,137 µs,155 µs,131 µs,128 µs
