"Time","rskj-miner1:8080 (Copy)","rskj-miner2:8080 (Copy)","rskj-miner4:8080 (Copy)","rskj-node1:8080 (Copy)","rskj-miner1:8080 (MarkSweepCompact)","rskj-miner2:8080 (MarkSweepCompact)","rskj-miner4:8080 (MarkSweepCompact)","rskj-node1:8080 (MarkSweepCompact)"
2026-02-09 16:34:00,576 µs,830 µs,1.22 ms,2.00 ms,0 s,0 s,0 s,0 s
2026-02-09 16:36:00,2.42 ms,1.64 ms,1.69 ms,1.44 ms,0 s,0 s,0 s,0 s
2026-02-09 16:38:00,3.25 ms,2.46 ms,3.51 ms,1.76 ms,0 s,0 s,0 s,0 s
2026-02-09 16:40:00,8.08 ms,2.41 ms,5.25 ms,6.97 ms,0 s,0 s,0 s,0 s
2026-02-09 16:42:00,1.75 ms,2.64 ms,4.08 ms,2.58 ms,0 s,0 s,0 s,0 s
2026-02-09 16:44:00,1.90 ms,1.78 ms,3.17 ms,3.81 ms,0 s,0 s,0 s,0 s
2026-02-09 16:46:00,2.66 ms,915 µs,4.85 ms,2.49 ms,0 s,0 s,0 s,0 s
2026-02-09 16:48:00,3.59 ms,1.41 ms,1.86 ms,4.95 ms,0 s,0 s,0 s,0 s
2026-02-09 16:50:00,1.98 ms,1.14 ms,1.15 ms,983 µs,0 s,0 s,0 s,0 s
2026-02-09 16:52:00,4.46 ms,881 µs,2.81 ms,1.25 ms,0 s,0 s,0 s,0 s
2026-02-09 16:54:00,881 µs,1.46 ms,1.27 ms,1.51 ms,0 s,0 s,0 s,0 s
2026-02-09 16:56:00,1.69 ms,4.54 ms,1.17 ms,1.42 ms,0 s,0 s,0 s,0 s
2026-02-09 16:58:00,2.78 ms,1.02 ms,1.19 ms,1.36 ms,0 s,0 s,0 s,0 s
2026-02-09 17:00:00,2.53 ms,1.31 ms,1.24 ms,2.37 ms,0 s,0 s,0 s,0 s
2026-02-09 17:02:00,2.85 ms,2.73 ms,2.63 ms,1.59 ms,0 s,0 s,0 s,0 s
2026-02-09 17:04:00,3.32 ms,2.07 ms,1.20 ms,2.44 ms,0 s,0 s,0 s,0 s
2026-02-09 17:06:00,3.05 ms,1.12 ms,2.03 ms,3.85 ms,0 s,0 s,0 s,0 s
2026-02-09 17:08:00,3.66 ms,1.69 ms,2.93 ms,3.29 ms,0 s,0 s,0 s,0 s
2026-02-09 17:10:00,2.83 ms,1.27 ms,1.98 ms,2.98 ms,0 s,0 s,0 s,0 s
2026-02-09 17:12:00,2.97 ms,2.51 ms,2.20 ms,3.49 ms,0 s,0 s,0 s,0 s
2026-02-09 17:14:00,1.76 ms,2.53 ms,3.19 ms,5.15 ms,0 s,0 s,0 s,0 s
2026-02-09 17:16:00,2.58 ms,3.36 ms,3.90 ms,2.15 ms,0 s,0 s,0 s,0 s
2026-02-09 17:18:00,3.41 ms,8.73 ms,3.95 ms,1.59 ms,0 s,0 s,0 s,0 s
2026-02-09 17:20:00,2.83 ms,6.10 ms,1.85 ms,1.83 ms,0 s,0 s,0 s,0 s
2026-02-09 17:22:00,2.86 ms,6.78 ms,1.81 ms,2.75 ms,0 s,0 s,0 s,0 s
2026-02-09 17:24:00,3.97 ms,559 µs,2.59 ms,1.71 ms,0 s,0 s,0 s,0 s
2026-02-09 17:26:00,9.22 ms,6.10 ms,5.59 ms,1.90 ms,0 s,0 s,0 s,0 s
2026-02-09 17:28:00,3.47 ms,2.71 ms,5.49 ms,2.56 ms,0 s,0 s,0 s,0 s
2026-02-09 17:30:00,2.68 ms,3.47 ms,6.56 ms,5.69 ms,0 s,0 s,0 s,0 s
2026-02-09 17:32:00,2.46 ms,1.39 ms,2.41 ms,2.86 ms,0 s,0 s,0 s,0 s
2026-02-09 17:34:00,2.58 ms,1.31 ms,4.42 ms,2.08 ms,0 s,0 s,0 s,0 s
2026-02-09 17:36:00,2.80 ms,3.31 ms,1.05 ms,6.73 ms,0 s,0 s,0 s,0 s
2026-02-09 17:38:00,2.34 ms,1.34 ms,0 s,1.03 ms,0 s,0 s,0 s,0 s
2026-02-09 17:40:00,2.41 ms,2.19 ms,1.29 ms,1.73 ms,0 s,0 s,0 s,0 s
2026-02-09 17:42:00,2.97 ms,1.10 ms,2.12 ms,1.78 ms,0 s,0 s,0 s,0 s
2026-02-09 17:44:00,2.92 ms,1.22 ms,1.80 ms,2.14 ms,0 s,0 s,0 s,0 s
2026-02-09 17:46:00,3.63 ms,1.61 ms,3.20 ms,2.42 ms,0 s,0 s,0 s,0 s
2026-02-09 17:48:00,864 µs,1.12 ms,1.90 ms,1.86 ms,0 s,0 s,0 s,0 s
2026-02-09 17:50:00,9.19 ms,2.88 ms,5.63 ms,5.32 ms,0 s,0 s,0 s,0 s
2026-02-09 17:52:00,2.76 ms,2.07 ms,5.93 ms,6.92 ms,0 s,0 s,0 s,0 s
2026-02-09 17:54:00,288 µs,1.75 ms,3.25 ms,3.69 ms,0 s,0 s,0 s,0 s
2026-02-09 17:56:00,3.24 ms,2.15 ms,3.00 ms,1.12 ms,0 s,0 s,0 s,0 s
2026-02-09 17:58:00,2.22 ms,1.36 ms,1.05 ms,1.31 ms,0 s,0 s,0 s,0 s
2026-02-09 18:00:00,2.56 ms,4.98 ms,4.19 ms,1.86 ms,0 s,0 s,0 s,0 s
2026-02-09 18:02:00,2.12 ms,2.14 ms,1.90 ms,2.59 ms,0 s,0 s,0 s,0 s
2026-02-09 18:04:00,2.69 ms,4.34 ms,2.07 ms,2.24 ms,0 s,0 s,0 s,0 s
2026-02-09 18:06:00,271 µs,2.29 ms,2.12 ms,3.19 ms,0 s,0 s,0 s,0 s
2026-02-09 18:08:00,2.10 ms,9.59 ms,4.42 ms,1.86 ms,0 s,0 s,0 s,0 s
2026-02-09 18:10:00,1.93 ms,4.73 ms,1.61 ms,1.53 ms,0 s,0 s,0 s,0 s
2026-02-09 18:12:00,6.09 ms,10.0 ms,3.53 ms,3.42 ms,0 s,0 s,0 s,0 s
2026-02-09 18:14:00,8.76 ms,6.69 ms,7.80 ms,12.9 ms,0 s,0 s,0 s,0 s
2026-02-09 18:16:00,7.08 ms,1.42 ms,3.88 ms,6.47 ms,0 s,0 s,0 s,0 s
