"Time","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1"
2026-02-09 18:18:00,12.4 KiB,3.07 KiB,2.41 KiB,2.43 KiB,-19.7 KiB,-9.57 KiB,-9.45 KiB,-9.38 KiB
2026-02-09 18:20:00,28.4 KiB,3.91 KiB,3.27 KiB,3.28 KiB,-33.8 KiB,-10.9 KiB,-10.1 KiB,-9.96 KiB
2026-02-09 18:22:00,39.4 KiB,4.53 KiB,3.97 KiB,4.01 KiB,-44.3 KiB,-12.2 KiB,-11.6 KiB,-11.4 KiB
2026-02-09 18:24:00,36.7 KiB,4.58 KiB,4.59 KiB,4.62 KiB,-42.2 KiB,-12.2 KiB,-12.3 KiB,-12.0 KiB
2026-02-09 18:26:00,36.7 KiB,3.84 KiB,3.85 KiB,3.87 KiB,-41.7 KiB,-11.6 KiB,-11.6 KiB,-11.4 KiB
2026-02-09 18:28:00,37.5 KiB,3.88 KiB,3.90 KiB,3.90 KiB,-42.3 KiB,-11.6 KiB,-11.7 KiB,-11.4 KiB
2026-02-09 18:30:00,35.0 KiB,3.60 KiB,3.60 KiB,3.62 KiB,-39.9 KiB,-11.4 KiB,-11.4 KiB,-11.2 KiB
2026-02-09 18:32:00,34.8 KiB,3.23 KiB,3.22 KiB,3.20 KiB,-39.5 KiB,-11.1 KiB,-11.0 KiB,-10.9 KiB
2026-02-09 18:34:00,38.7 KiB,3.56 KiB,3.55 KiB,3.53 KiB,-43.5 KiB,-11.8 KiB,-11.7 KiB,-11.6 KiB
2026-02-09 18:36:00,38.6 KiB,3.06 KiB,3.06 KiB,3.04 KiB,-43.0 KiB,-11.3 KiB,-11.4 KiB,-11.2 KiB
2026-02-09 18:38:00,38.8 KiB,3.78 KiB,3.78 KiB,3.80 KiB,-43.7 KiB,-12.1 KiB,-12.0 KiB,-11.8 KiB
2026-02-09 18:40:00,38.9 KiB,3.40 KiB,3.40 KiB,3.42 KiB,-43.5 KiB,-11.7 KiB,-11.8 KiB,-11.5 KiB
2026-02-09 18:42:00,38.8 KiB,3.40 KiB,3.39 KiB,3.39 KiB,-43.6 KiB,-11.7 KiB,-11.7 KiB,-11.5 KiB
2026-02-09 18:44:00,39.8 KiB,3.18 KiB,3.14 KiB,3.15 KiB,-44.2 KiB,-11.5 KiB,-11.5 KiB,-11.4 KiB
2026-02-09 18:46:00,37.2 KiB,3.43 KiB,3.41 KiB,3.40 KiB,-42.2 KiB,-11.8 KiB,-11.7 KiB,-11.6 KiB
2026-02-09 18:48:00,37.2 KiB,3.39 KiB,3.39 KiB,3.35 KiB,-42.1 KiB,-11.7 KiB,-11.7 KiB,-11.5 KiB
2026-02-09 18:50:00,37.5 KiB,3.48 KiB,3.47 KiB,3.44 KiB,-42.5 KiB,-11.8 KiB,-11.8 KiB,-11.6 KiB
2026-02-09 18:52:00,37.5 KiB,3.29 KiB,3.27 KiB,3.26 KiB,-42.2 KiB,-11.6 KiB,-11.6 KiB,-11.4 KiB
2026-02-09 18:54:00,37.6 KiB,3.67 KiB,3.66 KiB,3.66 KiB,-42.6 KiB,-11.9 KiB,-11.9 KiB,-11.8 KiB
2026-02-09 18:56:00,32.5 KiB,3.17 KiB,3.15 KiB,3.17 KiB,-37.6 KiB,-11.0 KiB,-11.1 KiB,-10.9 KiB
2026-02-09 18:58:00,30.8 KiB,3.25 KiB,3.20 KiB,3.24 KiB,-36.2 KiB,-11.1 KiB,-11.3 KiB,-11.0 KiB
2026-02-09 19:00:00,31.7 KiB,3.04 KiB,2.98 KiB,3.00 KiB,-36.8 KiB,-10.9 KiB,-11.0 KiB,-10.8 KiB
2026-02-09 19:02:00,33.6 KiB,2.32 KiB,2.29 KiB,2.30 KiB,-37.9 KiB,-10.3 KiB,-10.3 KiB,-10.2 KiB
2026-02-09 19:04:00,33.6 KiB,2.43 KiB,2.41 KiB,2.42 KiB,-38.0 KiB,-10.4 KiB,-10.4 KiB,-10.3 KiB
2026-02-09 19:06:00,33.9 KiB,2.96 KiB,2.95 KiB,2.96 KiB,-38.6 KiB,-10.8 KiB,-10.9 KiB,-10.7 KiB
2026-02-09 19:08:00,36.6 KiB,3.06 KiB,3.04 KiB,3.06 KiB,-41.0 KiB,-10.9 KiB,-11.0 KiB,-10.8 KiB
2026-02-09 19:10:00,36.6 KiB,2.97 KiB,2.96 KiB,2.98 KiB,-40.9 KiB,-10.9 KiB,-10.9 KiB,-10.7 KiB
2026-02-09 19:12:00,39.0 KiB,2.97 KiB,2.95 KiB,2.98 KiB,-43.0 KiB,-10.8 KiB,-10.9 KiB,-10.7 KiB
2026-02-09 19:14:00,36.1 KiB,3.00 KiB,3.00 KiB,3.01 KiB,-40.4 KiB,-10.9 KiB,-10.9 KiB,-10.8 KiB
2026-02-09 19:16:00,36.2 KiB,3.42 KiB,3.42 KiB,3.42 KiB,-40.8 KiB,-11.3 KiB,-11.3 KiB,-11.1 KiB
