Time,"name=""rskj-miner1""","name=""rskj-miner2""","name=""rskj-miner3""","name=""rskj-miner4""","name=""rskj-node1""","name=""rskj-node2"""
2026-02-10 03:29:00,,,1.197840917,,1.131157375,
2026-02-10 03:51:00,,,,1.040774251,,
2026-02-10 06:09:00,,,,,,1.073931917
2026-02-10 06:56:00,,,1.398018917,,,
2026-02-10 07:17:00,,6.565067836,,,,
2026-02-10 07:41:00,1.614230751,,1.789490834,,1.454807792,1.728587085
2026-02-10 08:25:00,,,,2.240913709,,
2026-02-10 08:26:00,1.664740001,,1.778324501,,,1.160653458
2026-02-10 08:49:00,,,,1.082234293,,
2026-02-10 09:13:00,,,,1.304585834,,
2026-02-10 09:14:00,,,1.254289042,,1.319261292,1.20949725
2026-02-10 11:58:00,1.188794459,,1.048917,,,1.224520542
2026-02-10 12:43:00,,,,1.391483418,,
2026-02-10 12:44:00,1.207001417,7.863033712,1.621135793,,1.509129126,1.788660001
2026-02-10 14:37:00,2.193498209,,,,1.256517668,1.383210043
2026-02-10 16:35:00,1.84173271,10.387580837,1.584080376,,1.736393459,1.794516501
2026-02-10 16:59:00,,,,1.644280751,,
2026-02-10 17:24:00,,,1.510890792,,,
2026-02-10 17:44:00,,,2.160981293,,1.425540251,1.602052459
2026-02-10 20:32:00,1.123930792,,,,1.100513875,1.069339542
