"Time","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1"
2026-02-10 12:45:45,0.00569,0.00247,0.00682,0.00572
2026-02-10 12:46:00,0.00573,0.00267,0.00703,0.00577
2026-02-10 12:46:15,0.00551,0.00239,0.00697,0.00560
2026-02-10 12:46:30,0.00543,0.00231,0.00680,0.00549
2026-02-10 12:46:45,0.00529,0.00230,0.00676,0.00549
2026-02-10 12:47:00,0.00529,0.00230,0.00676,0.00549
2026-02-10 12:47:15,0.00512,0.00219,0.00645,0.00539
2026-02-10 12:47:30,0.00551,0.00225,0.00655,0.00544
2026-02-10 12:47:45,0.00542,0.00216,0.00622,0.00536
2026-02-10 12:48:00,0.00532,0.00201,0.00606,0.00528
2026-02-10 12:48:15,0.00536,0.00155,0.00584,0.00502
2026-02-10 12:48:30,0.00533,0.00142,0.00581,0.00493
2026-02-10 12:48:45,0.00502,0.000931,0.00130,0.00477
2026-02-10 12:49:00,0.00496,0.000901,0.00130,0.00474
2026-02-10 12:49:15,0.00511,0.00109,0.00133,0.00488
2026-02-10 12:49:30,0.00511,0.00109,0.00133,0.00488
2026-02-10 12:49:45,0.00519,0.00151,0.00168,0.00517
2026-02-10 12:50:00,0.00519,0.00151,0.00168,0.00517
2026-02-10 12:50:15,0.00165,0.00168,0.00176,0.00129
2026-02-10 12:50:30,0.00164,0.00189,0.00160,0.00122
2026-02-10 12:50:45,0.00166,0.00191,0.00162,0.00123
2026-02-10 12:51:00,0.00162,0.00170,0.00141,0.00118
2026-02-10 12:51:15,0.00209,0.00229,0.00163,0.00137
2026-02-10 12:51:30,0.00200,0.00212,0.00159,0.00133
2026-02-10 12:51:45,0.00203,0.00218,0.00161,0.00139
2026-02-10 12:52:00,0.00245,0.00258,0.00232,0.00164
2026-02-10 12:52:15,0.00279,0.00277,0.00248,0.00191
2026-02-10 12:52:30,0.00256,0.00416,0.00380,0.00201
2026-02-10 12:52:45,0.00253,0.00434,0.00362,0.00203
2026-02-10 12:53:00,0.00279,0.00459,0.00386,0.00233
2026-02-10 12:53:15,0.00257,0.00454,0.00371,0.00230
2026-02-10 12:53:30,0.00373,0.00497,0.00499,0.00334
2026-02-10 12:53:45,0.00376,0.00525,0.00502,0.00340
2026-02-10 12:54:00,0.00376,0.00525,0.00502,0.00340
2026-02-10 12:54:15,0.00433,0.00526,0.00501,0.00341
2026-02-10 12:54:30,0.00451,0.00538,0.00530,0.00352
2026-02-10 12:54:45,0.00443,0.00497,0.00495,0.00323
2026-02-10 12:55:00,0.00443,0.00497,0.00495,0.00323
2026-02-10 12:55:15,0.00404,0.00440,0.00447,0.00277
2026-02-10 12:55:30,0.00407,0.00447,0.00453,0.00284
2026-02-10 12:55:45,0.00416,0.00461,0.00469,0.00289
2026-02-10 12:56:00,0.00416,0.00461,0.00469,0.00289
2026-02-10 12:56:15,0.00369,0.00403,0.00447,0.00270
2026-02-10 12:56:30,0.00398,0.00438,0.00463,0.00319
2026-02-10 12:56:45,0.00398,0.00438,0.00463,0.00319
2026-02-10 12:57:00,0.00356,0.00397,0.00392,0.00294
2026-02-10 12:57:15,0.00310,0.00378,0.00377,0.00266
2026-02-10 12:57:30,0.00320,0.00250,0.00251,0.00271
2026-02-10 12:57:45,0.00322,0.00234,0.00268,0.00268
2026-02-10 12:58:00,0.00318,0.00227,0.00262,0.00238
2026-02-10 12:58:15,0.00318,0.00226,0.00262,0.00145
2026-02-10 12:58:30,0.00241,0.00208,0.00155,0.00148
2026-02-10 12:58:45,0.00249,0.00191,0.00167,0.00179
2026-02-10 12:59:00,0.00249,0.00191,0.00167,0.00179
2026-02-10 12:59:15,0.00187,0.00196,0.00181,0.00188
2026-02-10 12:59:30,0.00184,0.00205,0.00167,0.00184
2026-02-10 12:59:45,0.00184,0.00205,0.00167,0.00184
2026-02-10 13:00:00,0.00204,0.00236,0.00186,0.00201
2026-02-10 13:00:15,0.00204,0.00236,0.00186,0.00201
2026-02-10 13:00:30,0.00200,0.00258,0.00217,0.00217
2026-02-10 13:00:45,0.00212,0.00279,0.00236,0.00233
