"Time","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1"
2026-02-10 12:45:45,0.0302,0.0668,0.0654,0.0333
2026-02-10 12:46:00,0.0421,0.0613,0.0637,0.0485
2026-02-10 12:46:15,0.0421,0.0613,0.0637,0.0485
2026-02-10 12:46:30,0.0716,0.0521,0.0759,0.0631
2026-02-10 12:46:45,0.0716,0.0521,0.0759,0.0631
2026-02-10 12:47:00,0.0716,0.0521,0.0759,0.0631
2026-02-10 12:47:15,0.0716,0.0521,0.0759,0.0631
2026-02-10 12:47:30,0.189,0.0689,0.104,0.0767
2026-02-10 12:47:45,0.0675,0.0556,0.0626,0.0380
2026-02-10 12:48:00,0.0675,0.0556,0.0626,0.0380
2026-02-10 12:48:15,0.0648,0.0701,0.0440,0.0467
2026-02-10 12:48:30,0.0648,0.0701,0.0440,0.0467
2026-02-10 12:48:45,0.0648,0.0701,0.0440,0.0467
2026-02-10 12:49:00,0.0648,0.0701,0.0440,0.0467
2026-02-10 12:49:15,0.0462,0.0567,0.0537,0.0418
2026-02-10 12:49:30,0.0462,0.0567,0.0537,0.0418
2026-02-10 12:49:45,0.0693,0.181,0.158,0.129
2026-02-10 12:50:00,0.0693,0.181,0.158,0.129
2026-02-10 12:50:15,0.0374,0.0357,0.0181,0.0419
2026-02-10 12:50:30,0.0114,0.0172,0.0102,0.00862
2026-02-10 12:50:45,0.00633,0.00506,0.00523,0.00411
2026-02-10 12:51:00,0.00633,0.00506,0.00523,0.00411
2026-02-10 12:51:15,0.0475,0.0539,0.0329,0.0147
2026-02-10 12:51:30,0.0475,0.0539,0.0329,0.0147
2026-02-10 12:51:45,0.0563,0.0714,0.0400,0.0332
2026-02-10 12:52:00,0.0688,0.0957,0.0661,0.0622
2026-02-10 12:52:15,0.0486,0.0578,0.0449,0.0353
2026-02-10 12:52:30,0.0494,0.0678,0.0431,0.0773
2026-02-10 12:52:45,0.0583,0.0477,0.0542,0.0444
2026-02-10 12:53:00,0.0774,0.0538,0.0691,0.0531
2026-02-10 12:53:15,0.0774,0.0538,0.0691,0.0531
2026-02-10 12:53:30,0.0607,0.182,0.0749,0.0354
2026-02-10 12:53:45,0.0712,0.0839,0.0841,0.0530
2026-02-10 12:54:00,0.0712,0.0839,0.0841,0.0530
2026-02-10 12:54:15,0.288,0.0593,0.0890,0.0444
2026-02-10 12:54:30,0.0529,0.0942,0.0873,0.0782
2026-02-10 12:54:45,0.0529,0.0942,0.0873,0.0782
2026-02-10 12:55:00,0.0529,0.0942,0.0873,0.0782
2026-02-10 12:55:15,0.0529,0.0942,0.0873,0.0782
2026-02-10 12:55:30,0.0205,0.0367,0.0299,0.0295
2026-02-10 12:55:45,0.0547,0.0845,0.0818,0.0473
2026-02-10 12:56:00,0.0547,0.0845,0.0818,0.0473
2026-02-10 12:56:15,0.0547,0.0845,0.0818,0.0473
2026-02-10 12:56:30,0.0429,0.0558,0.0564,0.0198
2026-02-10 12:56:45,0.0429,0.0558,0.0564,0.0198
2026-02-10 12:57:00,0.0429,0.0558,0.0564,0.0198
2026-02-10 12:57:15,0.0429,0.0558,0.0564,0.0198
2026-02-10 12:57:30,0.0893,0.0475,0.102,0.0774
2026-02-10 12:57:45,0.0645,0.0660,0.0623,0.0341
2026-02-10 12:58:00,0.0640,0.0515,0.0516,0.0345
2026-02-10 12:58:15,0.0640,0.0515,0.0516,0.0345
2026-02-10 12:58:30,0.0525,0.0549,0.0506,0.0294
2026-02-10 12:58:45,0.0883,0.0894,0.0952,0.139
2026-02-10 12:59:00,0.0883,0.0894,0.0952,0.139
2026-02-10 12:59:15,0.0297,0.0334,0.0465,0.0263
2026-02-10 12:59:30,0.0280,0.0415,0.0403,0.0211
2026-02-10 12:59:45,0.0280,0.0415,0.0403,0.0211
2026-02-10 13:00:00,0.0308,0.0681,0.0430,0.0249
2026-02-10 13:00:15,0.0308,0.0681,0.0430,0.0249
2026-02-10 13:00:30,0.0419,0.168,0.166,0.104
2026-02-10 13:00:45,0.0288,0.0540,0.0480,0.0243
2026-02-10 13:01:00,0.0492,0.0772,0.0467,0.0598
2026-02-10 13:01:15,0.0144,0.0291,0.0238,0.0247
2026-02-10 13:01:30,0.0144,0.0291,0.0238,0.0247
2026-02-10 13:01:45,0.0300,0.0630,0.0626,0.0279
