"Time","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node1","rskj-node2"
2026-02-03 21:58:00,3.90 GiB,3.94 GiB,3.17 GiB,3.15 GiB,3.19 GiB,3.21 GiB
2026-02-03 21:59:00,3.90 GiB,3.94 GiB,3.17 GiB,3.15 GiB,3.19 GiB,3.21 GiB
2026-02-03 22:00:00,3.90 GiB,3.95 GiB,3.17 GiB,3.15 GiB,3.19 GiB,3.21 GiB
2026-02-03 22:01:00,3.90 GiB,3.95 GiB,3.17 GiB,3.15 GiB,3.19 GiB,3.21 GiB
2026-02-03 22:02:00,3.90 GiB,3.95 GiB,3.17 GiB,3.15 GiB,3.19 GiB,3.21 GiB
2026-02-03 22:03:00,3.90 GiB,3.95 GiB,3.17 GiB,3.15 GiB,3.19 GiB,3.22 GiB
2026-02-03 22:04:00,3.90 GiB,3.95 GiB,3.18 GiB,3.15 GiB,3.19 GiB,3.22 GiB
2026-02-03 22:05:00,3.91 GiB,3.95 GiB,3.18 GiB,3.16 GiB,3.19 GiB,3.22 GiB
2026-02-03 22:06:00,3.91 GiB,3.95 GiB,3.18 GiB,3.16 GiB,3.19 GiB,3.22 GiB
2026-02-03 22:07:00,3.91 GiB,3.95 GiB,3.18 GiB,3.16 GiB,3.19 GiB,3.22 GiB
2026-02-03 22:08:00,3.91 GiB,3.95 GiB,3.18 GiB,3.16 GiB,3.19 GiB,3.22 GiB
2026-02-03 22:09:00,3.91 GiB,3.95 GiB,3.18 GiB,3.16 GiB,3.20 GiB,3.22 GiB
2026-02-03 22:10:00,3.91 GiB,3.95 GiB,3.18 GiB,3.16 GiB,3.20 GiB,3.22 GiB
2026-02-03 22:11:00,3.91 GiB,3.96 GiB,3.18 GiB,3.16 GiB,3.20 GiB,3.22 GiB
2026-02-03 22:12:00,3.91 GiB,3.96 GiB,3.18 GiB,3.16 GiB,3.20 GiB,3.23 GiB
2026-02-03 22:13:00,3.92 GiB,3.96 GiB,3.19 GiB,3.16 GiB,3.20 GiB,3.23 GiB
2026-02-03 22:14:00,3.92 GiB,3.96 GiB,3.19 GiB,3.16 GiB,3.20 GiB,3.23 GiB
2026-02-03 22:15:00,3.92 GiB,3.96 GiB,3.19 GiB,3.16 GiB,3.20 GiB,3.23 GiB
2026-02-03 22:16:00,3.92 GiB,3.96 GiB,3.19 GiB,3.16 GiB,3.20 GiB,3.23 GiB
2026-02-03 22:17:00,3.92 GiB,3.96 GiB,3.19 GiB,3.16 GiB,3.20 GiB,3.23 GiB
2026-02-03 22:18:00,3.92 GiB,3.96 GiB,3.19 GiB,3.16 GiB,3.20 GiB,3.23 GiB
2026-02-03 22:19:00,3.92 GiB,3.96 GiB,3.19 GiB,3.17 GiB,3.20 GiB,3.23 GiB
2026-02-03 22:20:00,3.92 GiB,3.97 GiB,3.19 GiB,3.17 GiB,3.20 GiB,3.23 GiB
2026-02-03 22:21:00,3.92 GiB,3.97 GiB,3.19 GiB,3.17 GiB,3.20 GiB,3.23 GiB
