"Time","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1"
2026-02-10 12:45:00,37.0 KiB/s,3.96 KiB/s,3.94 KiB/s,3.97 KiB/s
2026-02-10 12:46:00,36.9 KiB/s,3.20 KiB/s,3.22 KiB/s,3.24 KiB/s
2026-02-10 12:47:00,39.1 KiB/s,3.17 KiB/s,3.20 KiB/s,3.22 KiB/s
2026-02-10 12:48:00,35.9 KiB/s,2.30 KiB/s,2.30 KiB/s,2.33 KiB/s
2026-02-10 12:49:00,27.8 KiB/s,1.49 KiB/s,1.48 KiB/s,1.49 KiB/s
2026-02-10 12:50:00,20.0 KiB/s,1.51 KiB/s,1.50 KiB/s,1.51 KiB/s
2026-02-10 12:51:00,14.3 KiB/s,2.27 KiB/s,2.27 KiB/s,2.28 KiB/s
2026-02-10 12:52:00,14.1 KiB/s,2.28 KiB/s,2.27 KiB/s,2.29 KiB/s
2026-02-10 12:53:00,20.0 KiB/s,3.19 KiB/s,3.17 KiB/s,3.18 KiB/s
2026-02-10 12:54:00,27.1 KiB/s,3.24 KiB/s,3.22 KiB/s,3.25 KiB/s
2026-02-10 12:55:00,32.7 KiB/s,3.35 KiB/s,3.33 KiB/s,3.35 KiB/s
2026-02-10 12:56:00,36.6 KiB/s,3.20 KiB/s,3.17 KiB/s,3.18 KiB/s
2026-02-10 12:57:00,28.8 KiB/s,3.17 KiB/s,3.16 KiB/s,3.15 KiB/s
2026-02-10 12:58:00,20.6 KiB/s,2.28 KiB/s,2.28 KiB/s,2.27 KiB/s
2026-02-10 12:59:00,13.5 KiB/s,2.24 KiB/s,2.24 KiB/s,2.23 KiB/s
2026-02-10 13:00:00,14.1 KiB/s,3.05 KiB/s,3.03 KiB/s,3.04 KiB/s
2026-02-10 13:01:00,15.9 KiB/s,2.35 KiB/s,2.33 KiB/s,2.35 KiB/s
2026-02-10 13:02:00,24.0 KiB/s,3.17 KiB/s,3.12 KiB/s,3.14 KiB/s
2026-02-10 13:03:00,31.7 KiB/s,3.16 KiB/s,3.12 KiB/s,3.14 KiB/s
2026-02-10 13:04:00,39.8 KiB/s,3.43 KiB/s,3.40 KiB/s,3.41 KiB/s
2026-02-10 13:05:00,38.8 KiB/s,2.89 KiB/s,2.90 KiB/s,2.89 KiB/s
2026-02-10 13:06:00,38.6 KiB/s,2.97 KiB/s,2.96 KiB/s,2.96 KiB/s
2026-02-10 13:07:00,38.6 KiB/s,2.73 KiB/s,2.75 KiB/s,2.73 KiB/s
2026-02-10 13:08:00,38.7 KiB/s,2.83 KiB/s,2.83 KiB/s,2.81 KiB/s
2026-02-10 13:09:00,38.4 KiB/s,2.56 KiB/s,2.56 KiB/s,2.54 KiB/s
2026-02-10 13:10:00,38.2 KiB/s,2.41 KiB/s,2.41 KiB/s,2.38 KiB/s
2026-02-10 13:11:00,37.9 KiB/s,2.97 KiB/s,2.97 KiB/s,2.94 KiB/s
2026-02-10 13:12:00,37.8 KiB/s,2.57 KiB/s,2.55 KiB/s,2.54 KiB/s
2026-02-10 13:13:00,38.0 KiB/s,3.08 KiB/s,3.06 KiB/s,3.05 KiB/s
2026-02-10 13:14:00,38.1 KiB/s,3.53 KiB/s,3.50 KiB/s,3.50 KiB/s
2026-02-10 13:15:00,41.2 KiB/s,3.77 KiB/s,3.74 KiB/s,3.73 KiB/s
2026-02-10 13:16:00,37.3 KiB/s,3.42 KiB/s,3.38 KiB/s,3.39 KiB/s
2026-02-10 13:17:00,37.2 KiB/s,3.27 KiB/s,3.26 KiB/s,3.25 KiB/s
2026-02-10 13:18:00,37.2 KiB/s,3.18 KiB/s,3.19 KiB/s,3.17 KiB/s
2026-02-10 13:19:00,37.2 KiB/s,3.05 KiB/s,3.07 KiB/s,3.05 KiB/s
2026-02-10 13:20:00,37.2 KiB/s,3.11 KiB/s,3.12 KiB/s,3.10 KiB/s
2026-02-10 13:21:00,38.6 KiB/s,3.19 KiB/s,3.21 KiB/s,3.19 KiB/s
2026-02-10 13:22:00,35.3 KiB/s,3.20 KiB/s,3.19 KiB/s,3.18 KiB/s
2026-02-10 13:23:00,35.2 KiB/s,3.06 KiB/s,3.04 KiB/s,3.03 KiB/s
2026-02-10 13:24:00,35.2 KiB/s,3.19 KiB/s,3.16 KiB/s,3.17 KiB/s
2026-02-10 13:25:00,35.1 KiB/s,2.68 KiB/s,2.66 KiB/s,2.67 KiB/s
2026-02-10 13:26:00,38.0 KiB/s,2.29 KiB/s,2.27 KiB/s,2.28 KiB/s
2026-02-10 13:27:00,38.4 KiB/s,2.68 KiB/s,2.66 KiB/s,2.67 KiB/s
2026-02-10 13:28:00,38.3 KiB/s,2.49 KiB/s,2.47 KiB/s,2.47 KiB/s
2026-02-10 13:29:00,38.3 KiB/s,2.28 KiB/s,2.27 KiB/s,2.27 KiB/s
2026-02-10 13:30:00,38.3 KiB/s,2.35 KiB/s,2.35 KiB/s,2.34 KiB/s
2026-02-10 13:31:00,38.4 KiB/s,3.00 KiB/s,2.99 KiB/s,2.98 KiB/s
2026-02-10 13:32:00,39.8 KiB/s,2.72 KiB/s,2.70 KiB/s,2.70 KiB/s
2026-02-10 13:33:00,39.0 KiB/s,3.27 KiB/s,3.25 KiB/s,3.27 KiB/s
2026-02-10 13:34:00,38.9 KiB/s,3.10 KiB/s,3.08 KiB/s,3.10 KiB/s
2026-02-10 13:35:00,38.9 KiB/s,3.21 KiB/s,3.20 KiB/s,3.22 KiB/s
2026-02-10 13:36:00,38.9 KiB/s,2.93 KiB/s,2.93 KiB/s,2.95 KiB/s
2026-02-10 13:37:00,40.5 KiB/s,3.11 KiB/s,3.11 KiB/s,3.12 KiB/s
2026-02-10 13:38:00,34.3 KiB/s,2.37 KiB/s,2.37 KiB/s,2.38 KiB/s
2026-02-10 13:39:00,26.5 KiB/s,2.31 KiB/s,2.32 KiB/s,2.33 KiB/s
2026-02-10 13:40:00,24.4 KiB/s,2.80 KiB/s,2.78 KiB/s,2.78 KiB/s
2026-02-10 13:41:00,24.4 KiB/s,2.54 KiB/s,2.53 KiB/s,2.53 KiB/s
2026-02-10 13:42:00,24.5 KiB/s,3.05 KiB/s,3.04 KiB/s,3.03 KiB/s
2026-02-10 13:43:00,31.4 KiB/s,3.05 KiB/s,3.05 KiB/s,3.04 KiB/s
2026-02-10 13:44:00,39.2 KiB/s,3.05 KiB/s,3.04 KiB/s,3.03 KiB/s
2026-02-10 13:45:00,35.6 KiB/s,2.38 KiB/s,2.39 KiB/s,2.38 KiB/s
2026-02-10 13:46:00,35.3 KiB/s,3.01 KiB/s,3.01 KiB/s,3.01 KiB/s
2026-02-10 13:47:00,35.1 KiB/s,2.23 KiB/s,2.22 KiB/s,2.24 KiB/s
2026-02-10 13:48:00,35.4 KiB/s,2.87 KiB/s,2.90 KiB/s,2.90 KiB/s
2026-02-10 13:49:00,35.5 KiB/s,3.08 KiB/s,3.10 KiB/s,3.10 KiB/s
2026-02-10 13:50:00,41.2 KiB/s,3.09 KiB/s,3.10 KiB/s,3.12 KiB/s
2026-02-10 13:51:00,34.6 KiB/s,2.59 KiB/s,2.60 KiB/s,2.61 KiB/s
2026-02-10 13:52:00,34.8 KiB/s,3.22 KiB/s,3.26 KiB/s,3.27 KiB/s
