"Time","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1"
2026-02-10 12:45:00,42.5 KiB/s,12.2 KiB/s,12.3 KiB/s,12.0 KiB/s
2026-02-10 12:46:00,41.8 KiB/s,11.6 KiB/s,11.6 KiB/s,11.4 KiB/s
2026-02-10 12:47:00,43.8 KiB/s,11.6 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 12:48:00,40.4 KiB/s,10.8 KiB/s,10.8 KiB/s,10.7 KiB/s
2026-02-10 12:49:00,32.9 KiB/s,10.1 KiB/s,10.1 KiB/s,10.00 KiB/s
2026-02-10 12:50:00,26.3 KiB/s,10.1 KiB/s,10.1 KiB/s,10.0 KiB/s
2026-02-10 12:51:00,22.1 KiB/s,10.8 KiB/s,10.7 KiB/s,10.6 KiB/s
2026-02-10 12:52:00,21.8 KiB/s,10.7 KiB/s,10.7 KiB/s,10.6 KiB/s
2026-02-10 12:53:00,27.5 KiB/s,11.5 KiB/s,11.6 KiB/s,11.4 KiB/s
2026-02-10 12:54:00,33.4 KiB/s,11.6 KiB/s,11.6 KiB/s,11.5 KiB/s
2026-02-10 12:55:00,37.8 KiB/s,11.7 KiB/s,11.7 KiB/s,11.6 KiB/s
2026-02-10 12:56:00,40.9 KiB/s,11.6 KiB/s,11.5 KiB/s,11.5 KiB/s
2026-02-10 12:57:00,34.4 KiB/s,11.6 KiB/s,11.5 KiB/s,11.5 KiB/s
2026-02-10 12:58:00,26.7 KiB/s,10.9 KiB/s,10.7 KiB/s,10.7 KiB/s
2026-02-10 12:59:00,20.8 KiB/s,10.9 KiB/s,10.7 KiB/s,10.6 KiB/s
2026-02-10 13:00:00,22.5 KiB/s,11.5 KiB/s,11.4 KiB/s,11.3 KiB/s
2026-02-10 13:01:00,23.4 KiB/s,10.8 KiB/s,10.9 KiB/s,10.7 KiB/s
2026-02-10 13:02:00,30.9 KiB/s,11.6 KiB/s,11.6 KiB/s,11.4 KiB/s
2026-02-10 13:03:00,37.4 KiB/s,11.5 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 13:04:00,44.7 KiB/s,11.8 KiB/s,11.8 KiB/s,11.6 KiB/s
2026-02-10 13:05:00,43.3 KiB/s,11.3 KiB/s,11.3 KiB/s,11.1 KiB/s
2026-02-10 13:06:00,43.3 KiB/s,11.4 KiB/s,11.4 KiB/s,11.1 KiB/s
2026-02-10 13:07:00,43.1 KiB/s,11.2 KiB/s,11.1 KiB/s,10.9 KiB/s
2026-02-10 13:08:00,43.4 KiB/s,11.3 KiB/s,11.2 KiB/s,11.0 KiB/s
2026-02-10 13:09:00,42.8 KiB/s,11.0 KiB/s,11.0 KiB/s,10.8 KiB/s
2026-02-10 13:10:00,42.4 KiB/s,10.9 KiB/s,10.9 KiB/s,10.7 KiB/s
2026-02-10 13:11:00,42.6 KiB/s,11.4 KiB/s,11.4 KiB/s,11.3 KiB/s
2026-02-10 13:12:00,42.2 KiB/s,11.0 KiB/s,11.1 KiB/s,10.9 KiB/s
2026-02-10 13:13:00,42.6 KiB/s,11.5 KiB/s,11.5 KiB/s,11.4 KiB/s
2026-02-10 13:14:00,43.1 KiB/s,11.9 KiB/s,11.9 KiB/s,11.7 KiB/s
2026-02-10 13:15:00,45.9 KiB/s,12.1 KiB/s,12.1 KiB/s,12.0 KiB/s
2026-02-10 13:16:00,42.3 KiB/s,11.8 KiB/s,11.8 KiB/s,11.6 KiB/s
2026-02-10 13:17:00,42.2 KiB/s,11.7 KiB/s,11.6 KiB/s,11.5 KiB/s
2026-02-10 13:18:00,42.1 KiB/s,11.6 KiB/s,11.6 KiB/s,11.4 KiB/s
2026-02-10 13:19:00,42.0 KiB/s,11.5 KiB/s,11.4 KiB/s,11.3 KiB/s
2026-02-10 13:20:00,42.1 KiB/s,11.5 KiB/s,11.5 KiB/s,11.3 KiB/s
2026-02-10 13:21:00,43.3 KiB/s,11.6 KiB/s,11.6 KiB/s,11.4 KiB/s
2026-02-10 13:22:00,40.4 KiB/s,11.6 KiB/s,11.6 KiB/s,11.4 KiB/s
2026-02-10 13:23:00,40.3 KiB/s,11.4 KiB/s,11.5 KiB/s,11.3 KiB/s
2026-02-10 13:24:00,40.4 KiB/s,11.6 KiB/s,11.6 KiB/s,11.4 KiB/s
2026-02-10 13:25:00,40.0 KiB/s,11.1 KiB/s,11.1 KiB/s,11.0 KiB/s
2026-02-10 13:26:00,42.3 KiB/s,10.8 KiB/s,10.8 KiB/s,10.7 KiB/s
2026-02-10 13:27:00,42.8 KiB/s,11.2 KiB/s,11.1 KiB/s,11.0 KiB/s
2026-02-10 13:28:00,42.6 KiB/s,11.0 KiB/s,11.0 KiB/s,10.8 KiB/s
2026-02-10 13:29:00,42.4 KiB/s,10.8 KiB/s,10.8 KiB/s,10.7 KiB/s
