Time,Series_B
2026-02-13 14:58:38,5
2026-02-13 14:59:08,5
2026-02-13 14:59:38,5
2026-02-13 15:00:08,5
2026-02-13 15:00:38,5
2026-02-13 15:01:08,5
2026-02-13 15:01:38,5
2026-02-13 15:02:08,5
2026-02-13 15:02:38,5
2026-02-13 15:03:08,6
2026-02-13 15:03:38,9
2026-02-13 15:04:08,9
2026-02-13 15:04:38,1
2026-02-13 15:05:08,9
2026-02-13 15:05:38,9
2026-02-13 15:06:08,9
2026-02-13 15:06:38,9
2026-02-13 15:07:08,9
2026-02-13 15:07:38,17
2026-02-13 15:08:08,17
2026-02-13 15:08:38,12
2026-02-13 15:09:08,17
2026-02-13 15:09:38,1
2026-02-13 15:10:08,17
2026-02-13 15:10:38,17
2026-02-13 15:11:08,17
2026-02-13 15:11:38,17
2026-02-13 15:12:08,17
2026-02-13 15:12:38,26
2026-02-13 15:13:08,35
2026-02-13 15:13:38,15
2026-02-13 15:14:08,15
2026-02-13 15:14:38,35
2026-02-13 15:15:08,15
2026-02-13 15:15:38,31.666666666666668
2026-02-13 15:16:08,31
2026-02-13 15:16:38,19
2026-02-13 15:17:08,35
2026-02-13 15:17:38,15
2026-02-13 15:18:08,35
2026-02-13 15:18:38,35
2026-02-13 15:19:08,2
2026-02-13 15:19:38,2
2026-02-13 15:20:08,2
2026-02-13 15:20:38,2
2026-02-13 15:21:08,2
2026-02-13 15:21:38,2
2026-02-13 15:22:08,2
2026-02-13 15:22:38,2
2026-02-13 15:23:08,2
2026-02-13 15:23:38,2
2026-02-13 15:24:08,2
2026-02-13 15:24:38,2
2026-02-13 15:25:08,2
2026-02-13 15:25:38,2
2026-02-13 15:26:08,3
2026-02-13 15:26:38,3
2026-02-13 15:27:08,3
2026-02-13 15:27:38,3
2026-02-13 15:28:08,4
2026-02-13 15:28:38,4
2026-02-13 15:29:08,5
2026-02-13 15:29:38,5
2026-02-13 15:30:08,5
2026-02-13 15:30:38,5
2026-02-13 15:31:08,5
2026-02-13 15:31:38,5
2026-02-13 15:32:08,5
2026-02-13 15:32:38,5
2026-02-13 15:33:08,5
2026-02-13 15:33:38,7
2026-02-13 15:34:08,7
2026-02-13 15:34:38,5
2026-02-13 15:35:08,8.666666666666666
2026-02-13 15:35:38,9
2026-02-13 15:36:08,9
2026-02-13 15:36:38,9
2026-02-13 15:37:08,9
2026-02-13 15:37:38,9
2026-02-13 15:38:08,9
2026-02-13 15:38:38,14
2026-02-13 15:39:08,17
2026-02-13 15:39:38,17
2026-02-13 15:40:08,17
2026-02-13 15:40:38,17
2026-02-13 15:41:08,17
2026-02-13 15:41:38,17
2026-02-13 15:42:08,17
2026-02-13 15:42:38,17
2026-02-13 15:43:08,17
2026-02-13 15:43:38,23
2026-02-13 15:44:08,33
2026-02-13 15:44:38,26
2026-02-13 15:45:08,1
2026-02-13 15:45:38,35
2026-02-13 15:46:08,35
2026-02-13 15:46:38,33
2026-02-13 15:47:08,35
2026-02-13 15:47:38,1
2026-02-13 15:48:08,35
2026-02-13 15:48:38,15
2026-02-13 15:49:08,2
2026-02-13 15:49:38,2
2026-02-13 15:50:08,2
2026-02-13 15:50:38,2
2026-02-13 15:51:08,2
2026-02-13 15:51:38,2
2026-02-13 15:52:08,2
2026-02-13 15:52:38,2
2026-02-13 15:53:08,2
2026-02-13 15:53:38,2
2026-02-13 15:54:08,2
2026-02-13 15:54:38,3
2026-02-13 15:55:08,3
2026-02-13 15:55:38,3
2026-02-13 15:56:08,3
2026-02-13 15:56:38,3
2026-02-13 15:57:08,3
2026-02-13 15:57:38,3
2026-02-13 15:58:08,3
2026-02-13 15:58:38,3
2026-02-13 15:59:08,3
2026-02-13 15:59:38,3
2026-02-13 16:00:08,3
2026-02-13 16:00:38,3
2026-02-13 16:01:08,3
2026-02-13 16:01:38,5
2026-02-13 16:02:08,5
2026-02-13 16:02:38,5
2026-02-13 16:03:08,5
2026-02-13 16:03:38,5
2026-02-13 16:04:08,5
2026-02-13 16:04:38,9
2026-02-13 16:05:08,9
2026-02-13 16:05:38,9
2026-02-13 16:06:08,9
2026-02-13 16:06:38,9
2026-02-13 16:07:08,9
2026-02-13 16:07:38,9
2026-02-13 16:08:08,9
2026-02-13 16:08:38,9
2026-02-13 16:09:08,9
2026-02-13 16:09:38,9
2026-02-13 16:10:08,17
2026-02-13 16:10:38,17
2026-02-13 16:11:08,17
2026-02-13 16:11:38,17
2026-02-13 16:12:08,17
2026-02-13 16:12:38,17
2026-02-13 16:13:08,17
2026-02-13 16:13:38,17
2026-02-13 16:14:08,17
2026-02-13 16:14:38,34
2026-02-13 16:15:08,34
2026-02-13 16:15:38,35
2026-02-13 16:16:08,35
2026-02-13 16:16:38,15
2026-02-13 16:17:08,15
2026-02-13 16:17:38,35
2026-02-13 16:18:08,15
2026-02-13 16:18:38,27.666666666666668
2026-02-13 16:19:08,33
2026-02-13 16:19:38,2
2026-02-13 16:20:08,2
2026-02-13 16:20:38,2
2026-02-13 16:21:08,2
2026-02-13 16:21:38,2
2026-02-13 16:22:08,2
2026-02-13 16:22:38,1
2026-02-13 16:23:08,1
2026-02-13 16:23:38,2
2026-02-13 16:24:08,2
2026-02-13 16:24:38,2
2026-02-13 16:25:08,3
2026-02-13 16:25:38,3
2026-02-13 16:26:08,3
2026-02-13 16:26:38,3
2026-02-13 16:27:08,3
2026-02-13 16:27:38,3
2026-02-13 16:28:08,3
2026-02-13 16:28:38,3
2026-02-13 16:29:08,3
2026-02-13 16:29:38,3
2026-02-13 16:30:08,3
2026-02-13 16:30:38,3
2026-02-13 16:31:08,5
2026-02-13 16:31:38,1
2026-02-13 16:32:08,5
2026-02-13 16:32:38,5
2026-02-13 16:33:08,5
2026-02-13 16:33:38,5
2026-02-13 16:34:08,5
2026-02-13 16:34:38,5
2026-02-13 16:35:08,6
2026-02-13 16:35:38,9
2026-02-13 16:36:08,9
2026-02-13 16:36:38,9
2026-02-13 16:37:08,9
2026-02-13 16:37:38,9
2026-02-13 16:38:08,9
2026-02-13 16:38:38,9
2026-02-13 16:39:08,9
2026-02-13 16:39:38,12
2026-02-13 16:40:08,15
2026-02-13 16:40:38,15
2026-02-13 16:41:08,17
2026-02-13 16:41:38,17
2026-02-13 16:42:08,17
2026-02-13 16:42:38,17
2026-02-13 16:43:08,17
2026-02-13 16:43:38,17
2026-02-13 16:44:08,17
2026-02-13 16:44:38,17
2026-02-13 16:45:08,15
2026-02-13 16:45:38,35
2026-02-13 16:46:08,35
2026-02-13 16:46:38,35
2026-02-13 16:47:08,35
2026-02-13 16:47:38,15
2026-02-13 16:48:08,35
2026-02-13 16:48:38,35
2026-02-13 16:49:08,15
2026-02-13 16:49:38,35
2026-02-13 16:50:08,2
2026-02-13 16:50:38,2
2026-02-13 16:51:08,2
2026-02-13 16:51:38,2
2026-02-13 16:52:08,2
2026-02-13 16:52:38,2
2026-02-13 16:53:08,2
2026-02-13 16:53:38,2
2026-02-13 16:54:08,2
2026-02-13 16:54:38,2
2026-02-13 16:55:08,2
2026-02-13 16:55:38,2
2026-02-13 16:56:08,2
2026-02-13 16:56:38,2
2026-02-13 16:57:08,2
2026-02-13 16:57:38,2
2026-02-13 16:58:08,3
2026-02-13 16:58:38,3
2026-02-13 16:59:08,3
2026-02-13 16:59:38,3
2026-02-13 17:00:08,3
2026-02-13 17:00:38,5
2026-02-13 17:01:08,5
2026-02-13 17:01:38,5
2026-02-13 17:02:08,5
2026-02-13 17:02:38,5
2026-02-13 17:03:08,5
2026-02-13 17:03:38,5
2026-02-13 17:04:08,5
2026-02-13 17:04:38,5
2026-02-13 17:05:08,5
2026-02-13 17:05:38,7
2026-02-13 17:06:08,5
2026-02-13 17:06:38,8
2026-02-13 17:07:08,9
2026-02-13 17:07:38,9
2026-02-13 17:08:08,9
2026-02-13 17:08:38,9
2026-02-13 17:09:08,9
2026-02-13 17:09:38,9
2026-02-13 17:10:08,9
2026-02-13 17:10:38,9
2026-02-13 17:11:08,12
2026-02-13 17:11:38,16
2026-02-13 17:12:08,17
