Time,"device=""nbd0""","device=""nbd1""","device=""nbd10""","device=""nbd11""","device=""nbd12""","device=""nbd13""","device=""nbd14""","device=""nbd15""","device=""nbd2""","device=""nbd3""","device=""nbd4""","device=""nbd5""","device=""nbd6""","device=""nbd7""","device=""nbd8""","device=""nbd9""","device=""vda""","device=""vdb"""
2026-02-13 14:58:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406619.9096582876,0
2026-02-13 14:59:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387990.0689655172,0
2026-02-13 14:59:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309307.9548981069,0
2026-02-13 15:00:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4305171.269956208,0
2026-02-13 15:00:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266240,0
2026-02-13 15:01:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351820.14413296094,0
2026-02-13 15:01:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342227.8620689655,0
2026-02-13 15:02:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177953.103448276,0
2026-02-13 15:02:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2818939.48484535,0
2026-02-13 15:03:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324148.9655172414,0
2026-02-13 15:03:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608044.1379310344,0
2026-02-13 15:04:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470458.8117651115,0
2026-02-13 15:04:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410998.2414399503,0
2026-02-13 15:05:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618658.5744336011,0
2026-02-13 15:05:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427522.91300299985,0
2026-02-13 15:06:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443921.6551724138,0
2026-02-13 15:06:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444486.6206896552,0
2026-02-13 15:07:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464260.4137931034,0
2026-02-13 15:07:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634195.6619193765,0
2026-02-13 15:08:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939678.8965517242,0
2026-02-13 15:08:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780358.6206896552,0
2026-02-13 15:09:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889335.6320253776,0
2026-02-13 15:09:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919590.9106582532,0
2026-02-13 15:10:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740220.5441191682,0
2026-02-13 15:10:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749400.9172097513,0
2026-02-13 15:11:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954476.3284024688,0
2026-02-13 15:11:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738011.65557433,0
2026-02-13 15:12:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760249.9137990484,0
2026-02-13 15:12:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195567.0494120892,0
2026-02-13 15:13:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1305256.5950550018,0
2026-02-13 15:13:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545321.9310344828,0
2026-02-13 15:14:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042607.9100720664,0
2026-02-13 15:14:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856517.2592158349,0
2026-02-13 15:15:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183043.952252812,0
2026-02-13 15:15:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295451.4727184935,0
2026-02-13 15:16:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386001.6551724137,0
2026-02-13 15:16:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362696.8275862068,0
2026-02-13 15:17:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428374.0689655172,0
2026-02-13 15:17:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1258807.9470198674,0
2026-02-13 15:18:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171413.83708504256,0
2026-02-13 15:18:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120345.95489344092,0
2026-02-13 15:19:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258039.10209992755,0
2026-02-13 15:19:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163416.27586206896,0
2026-02-13 15:20:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254490.63889942423,0
2026-02-13 15:20:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3772546.08779613,0
2026-02-13 15:21:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981757.7931034483,0
2026-02-13 15:21:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2118830.1093065753,0
2026-02-13 15:22:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215288.98085876874,0
2026-02-13 15:22:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231862.37804667838,0
2026-02-13 15:23:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132220.16829907574,0
2026-02-13 15:23:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212271.153713537,0
2026-02-13 15:24:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268076.1379310345,0
2026-02-13 15:24:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253519.533809179,0
2026-02-13 15:25:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258030.20481346114,0
2026-02-13 15:25:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353514.9822419917,0
2026-02-13 15:26:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190541.1910755543,0
2026-02-13 15:26:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274573.2413793103,0
2026-02-13 15:27:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234186.282285596,0
2026-02-13 15:27:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203521.80959277262,0
2026-02-13 15:28:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307320.0468933177,0
2026-02-13 15:28:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364390.1934416055,0
2026-02-13 15:29:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360589.2413793103,0
2026-02-13 15:29:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390532.4137931034,0
2026-02-13 15:30:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381621.0475500844,0
2026-02-13 15:30:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317640.90893417463,0
2026-02-13 15:31:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328550.1069039244,0
2026-02-13 15:31:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254516.96551724136,0
2026-02-13 15:32:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211586.8823062864,0
2026-02-13 15:32:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370322.126823213,0
2026-02-13 15:33:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373018.4827586207,0
2026-02-13 15:33:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579069.6872521637,0
2026-02-13 15:34:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661670.2296393353,0
2026-02-13 15:34:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376690.7586206896,0
2026-02-13 15:35:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493609.65184419166,0
2026-02-13 15:35:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389826.2068965517,0
2026-02-13 15:36:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350290.69967929926,0
2026-02-13 15:36:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437863.3745991241,0
2026-02-13 15:37:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408215.7390164839,0
2026-02-13 15:37:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544871.6640231708,0
2026-02-13 15:38:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612521.619198676,0
2026-02-13 15:38:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746717.4235371193,0
2026-02-13 15:39:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761369.7968755388,0
2026-02-13 15:39:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804737.8801461968,0
2026-02-13 15:40:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771292.5761180648,0
2026-02-13 15:40:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793635.3103448276,0
