Time,Series_B
2026-02-19 03:38:48,2
2026-02-19 03:39:18,2
2026-02-19 03:39:48,2
2026-02-19 03:40:18,2
2026-02-19 03:40:48,2
2026-02-19 03:41:18,2
2026-02-19 03:41:48,2
2026-02-19 03:42:18,2
2026-02-19 03:42:48,2
2026-02-19 03:43:18,3
2026-02-19 03:43:48,3
2026-02-19 03:44:18,3
2026-02-19 03:44:48,3
2026-02-19 03:45:18,3
2026-02-19 03:45:48,3
2026-02-19 03:46:18,3
2026-02-19 03:46:48,1
2026-02-19 03:47:18,3
2026-02-19 03:47:48,3
2026-02-19 03:48:18,4
2026-02-19 03:48:48,5
2026-02-19 03:49:18,1
2026-02-19 03:49:48,5
2026-02-19 03:50:18,1
2026-02-19 03:50:48,1
2026-02-19 03:51:18,1
2026-02-19 03:51:48,1
2026-02-19 03:52:18,1
2026-02-19 03:52:48,1
2026-02-19 03:53:18,9
2026-02-19 03:53:48,9
2026-02-19 03:54:18,7
2026-02-19 03:54:48,7
2026-02-19 03:55:18,7
2026-02-19 03:55:48,7
2026-02-19 03:56:18,9
2026-02-19 03:56:48,9
2026-02-19 03:57:18,9
2026-02-19 03:57:48,9
2026-02-19 03:58:18,9
2026-02-19 03:58:48,12
2026-02-19 03:59:18,13
2026-02-19 03:59:48,17
2026-02-19 04:00:18,17
2026-02-19 04:00:48,17
2026-02-19 04:01:18,14.333333333333334
2026-02-19 04:01:48,1
2026-02-19 04:02:18,1
2026-02-19 04:02:48,17
2026-02-19 04:03:18,33
2026-02-19 04:03:48,17
2026-02-19 04:04:18,33
2026-02-19 04:04:48,17
2026-02-19 04:05:18,17
2026-02-19 04:05:48,33
2026-02-19 04:06:18,33
2026-02-19 04:06:48,33
2026-02-19 04:07:18,33
2026-02-19 04:07:48,17
2026-02-19 04:08:18,17
2026-02-19 04:08:48,33
2026-02-19 04:09:18,2
2026-02-19 04:09:48,2
2026-02-19 04:10:18,2
2026-02-19 04:10:48,2
2026-02-19 04:11:18,2
2026-02-19 04:11:48,2
2026-02-19 04:12:18,2
2026-02-19 04:12:48,2
2026-02-19 04:13:18,2
2026-02-19 04:13:48,2
2026-02-19 04:14:18,3
2026-02-19 04:14:48,3
2026-02-19 04:15:18,3
2026-02-19 04:15:48,3
2026-02-19 04:16:18,3
2026-02-19 04:16:48,3
2026-02-19 04:17:18,3
2026-02-19 04:17:48,3
2026-02-19 04:18:18,3
2026-02-19 04:18:48,3
2026-02-19 04:19:18,5
2026-02-19 04:19:48,5
2026-02-19 04:20:18,5
2026-02-19 04:20:48,5
2026-02-19 04:21:18,5
2026-02-19 04:21:48,5
2026-02-19 04:22:18,5
2026-02-19 04:22:48,5
2026-02-19 04:23:18,5
2026-02-19 04:23:48,5
2026-02-19 04:24:18,9
2026-02-19 04:24:48,9
2026-02-19 04:25:18,9
2026-02-19 04:25:48,9
2026-02-19 04:26:18,8.833333333333334
2026-02-19 04:26:48,9
2026-02-19 04:27:18,9
2026-02-19 04:27:48,9
2026-02-19 04:28:18,1
2026-02-19 04:28:48,1
2026-02-19 04:29:18,9
2026-02-19 04:29:48,15.333333333333334
2026-02-19 04:30:18,12
2026-02-19 04:30:48,16.166666666666668
2026-02-19 04:31:18,9
2026-02-19 04:31:48,17
2026-02-19 04:32:18,17
2026-02-19 04:32:48,17
2026-02-19 04:33:18,1
2026-02-19 04:33:48,1
2026-02-19 04:34:18,27
2026-02-19 04:34:48,23
2026-02-19 04:35:18,23
2026-02-19 04:35:48,33
2026-02-19 04:36:18,22
2026-02-19 04:36:48,20.333333333333332
2026-02-19 04:37:18,33
2026-02-19 04:37:48,22
2026-02-19 04:38:18,33
2026-02-19 04:38:48,6.333333333333333
2026-02-19 04:39:18,2
2026-02-19 04:39:48,2
2026-02-19 04:40:18,2
2026-02-19 04:40:48,2
2026-02-19 04:41:18,2
2026-02-19 04:41:48,2
2026-02-19 04:42:18,2
2026-02-19 04:42:48,1
2026-02-19 04:43:18,2
2026-02-19 04:43:48,2
2026-02-19 04:44:18,2
2026-02-19 04:44:48,3
2026-02-19 04:45:18,3
2026-02-19 04:45:48,3
2026-02-19 04:46:18,3
2026-02-19 04:46:48,3
2026-02-19 04:47:18,3
2026-02-19 04:47:48,3
2026-02-19 04:48:18,3
2026-02-19 04:48:48,3
2026-02-19 04:49:18,3
2026-02-19 04:49:48,5
2026-02-19 04:50:18,5
2026-02-19 04:50:48,5
2026-02-19 04:51:18,5
2026-02-19 04:51:48,5
2026-02-19 04:52:18,5
2026-02-19 04:52:48,5
2026-02-19 04:53:18,5
2026-02-19 04:53:48,5
2026-02-19 04:54:18,5
2026-02-19 04:54:48,5
