Time,"__name__=""node_load1"",instance=""host.docker.internal:9300"",job=""node-exporter""","__name__=""node_load5"",instance=""host.docker.internal:9300"",job=""node-exporter""","__name__=""node_load15"",instance=""host.docker.internal:9300"",job=""node-exporter"""
2026-02-19 04:06:23,5.23,5.41,4.99
2026-02-19 04:06:53,5.09,5.37,4.99
2026-02-19 04:07:23,6.75,5.72,5.12
2026-02-19 04:07:53,5.82,5.6,5.1
2026-02-19 04:08:23,4.71,5.35,5.03
2026-02-19 04:08:53,4.76,5.3,5.02
2026-02-19 04:09:23,4.52,5.19,4.99
2026-02-19 04:09:53,4.19,5.04,4.95
2026-02-19 04:10:23,4.25,5,4.94
2026-02-19 04:10:53,4.29,4.94,4.92
2026-02-19 04:11:23,4.16,4.85,4.89
2026-02-19 04:11:53,4.4,4.83,4.88
2026-02-19 04:12:23,4.17,4.73,4.85
2026-02-19 04:12:53,4.24,4.68,4.83
2026-02-19 04:13:23,4.56,4.73,4.84
2026-02-19 04:13:53,4.32,4.66,4.81
2026-02-19 04:14:23,4.37,4.64,4.8
2026-02-19 04:14:53,4.2,4.56,4.77
2026-02-19 04:15:23,4.08,4.51,4.74
2026-02-19 04:15:53,3.86,4.41,4.7
2026-02-19 04:16:23,3.85,4.35,4.67
2026-02-19 04:16:53,3.96,4.33,4.66
2026-02-19 04:17:23,4.12,4.33,4.64
2026-02-19 04:17:53,4,4.29,4.62
2026-02-19 04:18:23,3.77,4.2,4.58
2026-02-19 04:18:53,4.17,4.27,4.59
2026-02-19 04:19:23,4.3,4.3,4.59
2026-02-19 04:19:53,5.05,4.48,4.64
2026-02-19 04:20:23,5.24,4.59,4.68
2026-02-19 04:20:53,5.48,4.69,4.7
2026-02-19 04:21:23,5.33,4.72,4.71
2026-02-19 04:21:53,5.24,4.76,4.73
2026-02-19 04:22:23,4.9,4.73,4.72
2026-02-19 04:22:53,5.41,4.87,4.77
2026-02-19 04:23:23,5.06,4.85,4.76
2026-02-19 04:23:53,4.81,4.8,4.75
2026-02-19 04:24:23,4.46,4.71,4.72
2026-02-19 04:24:53,3.75,4.51,4.65
2026-02-19 04:25:23,3.96,4.49,4.64
2026-02-19 04:25:53,3.88,4.41,4.61
2026-02-19 04:26:23,4.2,4.44,4.61
2026-02-19 04:26:53,4.56,4.51,4.63
2026-02-19 04:27:23,4.52,4.52,4.63
2026-02-19 04:27:53,4.46,4.5,4.62
2026-02-19 04:28:23,4.33,4.46,4.6
2026-02-19 04:28:53,5.3,4.7,4.68
2026-02-19 04:29:23,5.58,4.82,4.72
2026-02-19 04:29:53,5.63,4.9,4.75
2026-02-19 04:30:23,5.09,4.85,4.74
2026-02-19 04:30:53,5.44,4.97,4.78
2026-02-19 04:31:23,4.73,4.85,4.75
2026-02-19 04:31:53,4.47,4.78,4.73
2026-02-19 04:32:23,4.5,4.74,4.71
2026-02-19 04:32:53,5.62,4.96,4.79
2026-02-19 04:33:23,5.15,4.9,4.77
2026-02-19 04:33:53,5.08,4.9,4.77
