Time,"device=""nbd0""","device=""nbd1""","device=""nbd10""","device=""nbd11""","device=""nbd12""","device=""nbd13""","device=""nbd14""","device=""nbd15""","device=""nbd2""","device=""nbd3""","device=""nbd4""","device=""nbd5""","device=""nbd6""","device=""nbd7""","device=""nbd8""","device=""nbd9""","device=""vda""","device=""vdb"""
2026-02-11 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759967.4505206537,0
2026-02-11 03:00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984842.1778559359,0
2026-02-11 03:01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820301.64477087,0
2026-02-11 03:01:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821714.0098617288,0
2026-02-11 03:02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744316.4028826591,0
2026-02-11 03:02:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237426.75862068965,0
2026-02-11 03:03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169201.3378849005,0
2026-02-11 03:03:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229799.72413793104,0
2026-02-11 03:04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194617.19881387491,0
2026-02-11 03:04:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613651.4723122544,0
2026-02-11 03:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769315.2649908623,0
2026-02-11 03:05:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788213.7783601132,0
2026-02-11 03:06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784427.5714630529,0
2026-02-11 03:06:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743353.3793103448,0
2026-02-11 03:07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766375.724137931,0
2026-02-11 03:07:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794765.2413793104,0
2026-02-11 03:08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,922588.6896551724,0
2026-02-11 03:08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839763.3266671264,0
2026-02-11 03:09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675675.459466915,0
2026-02-11 03:09:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348135.99062133644,0
2026-02-11 03:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419628.1379310345,0
2026-02-11 03:10:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9333614.702941278,0
2026-02-11 03:11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6759480.53381151,0
2026-02-11 03:11:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571019.2062342678,0
2026-02-11 03:12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852250.4827586206,0
2026-02-11 03:12:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937104.2377849038,0
2026-02-11 03:13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904902.3137133201,0
2026-02-11 03:13:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988826.0449717203,0
2026-02-11 03:14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743597.1858187336,0
2026-02-11 03:14:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639095.2036136686,0
2026-02-11 03:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525381.6978139438,0
2026-02-11 03:15:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743635.8620689654,0
2026-02-11 03:16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1084696.389779663,0
2026-02-11 03:16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702558.846856788,0
2026-02-11 03:17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646580.7385952207,0
2026-02-11 03:17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687563.0344827586,0
2026-02-11 03:18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872841.6261508223,0
2026-02-11 03:18:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694153.5066547135,0
2026-02-11 03:19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467791.4482758621,0
2026-02-11 03:19:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466504.18951070646,0
2026-02-11 03:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754793.9310344828,0
2026-02-11 03:20:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718893.8312471983,0
2026-02-11 03:21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591336.8733190815,0
2026-02-11 03:21:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976085.5142926105,0
2026-02-11 03:22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757336.275862069,0
2026-02-11 03:22:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746691.6764361078,0
2026-02-11 03:23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753099.0344827586,0
2026-02-11 03:23:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774991.448275862,0
2026-02-11 03:24:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868857.0443417695,0
2026-02-11 03:24:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770612.9655172414,0
2026-02-11 03:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843634.7586206896,0
2026-02-11 03:25:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652676.4137931034,0
2026-02-11 03:26:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528224.543981242,0
2026-02-11 03:26:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835555.1877521464,0
2026-02-11 03:27:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754883.1115095511,0
2026-02-11 03:27:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545756.6896551724,0
2026-02-11 03:28:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689822.8965517242,0
2026-02-11 03:28:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523581.7931034483,0
2026-02-11 03:29:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759852.4188821075,0
2026-02-11 03:29:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482164.8162195711,0
2026-02-11 03:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435432.1575118099,0
2026-02-11 03:30:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876402.7586206896,0
2026-02-11 03:31:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740087.6678286681,0
2026-02-11 03:31:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598784.1500844915,0
2026-02-11 03:32:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,0
2026-02-11 03:32:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544485.5172413792,0
2026-02-11 03:33:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741940.9655172414,0
2026-02-11 03:33:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771036.6896551724,0
2026-02-11 03:34:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704063.9977931795,0
2026-02-11 03:34:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863631.4736914696,0
2026-02-11 03:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789001.5517776473,0
2026-02-11 03:35:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838238.6814247783,0
2026-02-11 03:36:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836797.4622439832,0
2026-02-11 03:36:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722308.4137931034,0
2026-02-11 03:37:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771575.0491362365,0
2026-02-11 03:37:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565384.4721139586,0
2026-02-11 03:38:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8814441.755438343,0
2026-02-11 03:38:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7710541.341976415,0
2026-02-11 03:39:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793325.4715354644,0
2026-02-11 03:39:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954867.1126129233,0
2026-02-11 03:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1373289.9310344828,0
2026-02-11 03:40:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992186.4763284024,0
2026-02-11 03:41:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845612.1379310344,0
2026-02-11 03:41:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816092.6896551724,0
2026-02-11 03:42:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663128.275862069,0
2026-02-11 03:42:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344571.566497707,0
2026-02-11 03:43:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440531.8620689655,0
2026-02-11 03:43:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213415.72413793104,0
2026-02-11 03:44:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330081.1034482759,0
2026-02-11 03:44:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325267.6804248129,0
2026-02-11 03:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161580.1379310345,0
2026-02-11 03:45:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109183.35115003964,0
2026-02-11 03:46:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494469.0183097135,0
2026-02-11 03:46:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002107.5862068966,0
2026-02-11 03:47:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880044.6881142028,0
2026-02-11 03:47:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867050.9292783006,0
2026-02-11 03:48:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870016.8959691044,0
2026-02-11 03:48:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990457.485690642,0
2026-02-11 03:49:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887873.926687127,0
2026-02-11 03:49:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847589.5172413792,0
2026-02-11 03:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732760.275862069,0
2026-02-11 03:50:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776235.853936071,0
2026-02-11 03:51:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436718.3448275862,0
2026-02-11 03:51:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644298.7380180678,0
2026-02-11 03:52:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937527.9473121616,0
2026-02-11 03:52:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895973.5190676505,0
2026-02-11 03:53:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54231429.81276507,0
2026-02-11 03:53:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778468.7952554997,0
2026-02-11 03:54:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750415.448275862,0
2026-02-11 03:54:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835359.1282157392,0
2026-02-11 03:55:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916138.0546839983,0
2026-02-11 03:55:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857588.0831695457,0
2026-02-11 03:56:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482181.44201924064,0
2026-02-11 03:56:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582600.599979311,0
2026-02-11 03:57:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776774.0155851321,0
2026-02-11 03:57:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625134.3448275862,0
2026-02-11 03:58:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213758402.1517983,0
2026-02-11 03:58:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782786.7167833373,0
2026-02-11 03:59:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863430.6992139015,0
2026-02-11 03:59:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623580.6896551724,0
2026-02-11 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571160.4427433537,0
2026-02-11 04:00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4382851.349953449,0
2026-02-11 04:01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785019.5862068966,0
2026-02-11 04:01:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787420.6896551724,0
2026-02-11 04:02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255355.60842729564,0
2026-02-11 04:02:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644885.9004861902,0
2026-02-11 04:03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853745.2589476588,0
2026-02-11 04:03:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784427.5714630529,0
2026-02-11 04:04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756039.0331367883,0
2026-02-11 04:04:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917645.2413793104,0
2026-02-11 04:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801913.2473622509,0
2026-02-11 04:05:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720073.381840753,0
2026-02-11 04:06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606751.7494630361,0
2026-02-11 04:06:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872901.8242008344,0
2026-02-11 04:07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735469.2230766577,0
2026-02-11 04:07:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523140.0296541499,0
2026-02-11 04:08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503808,0
