Time,"name=""rskj-miner1""","name=""rskj-miner2""","name=""rskj-miner3""","name=""rskj-node1""","name=""rskj-node2"""
2026-02-13 11:04:18,,,,,4.629504503
2026-02-13 11:23:18,,,7.895193087,,
2026-02-13 11:32:18,,5.754540378,,,4.732661419
2026-02-13 12:28:18,,3.98852546,,,
2026-02-13 12:29:18,,,,,3.517443793
2026-02-13 12:40:18,6.27773371,,5.559718543,,
2026-02-13 13:01:18,,,,,4.304945877
2026-02-13 13:04:18,,,,3.187993793,
2026-02-13 13:51:18,,,,,8.507177628
2026-02-13 14:09:18,,1.346782376,,,
