Time,Series_B
2026-02-19 04:06:23,33
2026-02-19 04:06:53,17
2026-02-19 04:07:23,17
2026-02-19 04:07:53,17
2026-02-19 04:08:23,17
2026-02-19 04:08:53,2
2026-02-19 04:09:23,2
2026-02-19 04:09:53,2
2026-02-19 04:10:23,2
2026-02-19 04:10:53,2
2026-02-19 04:11:23,2
2026-02-19 04:11:53,2
2026-02-19 04:12:23,2
2026-02-19 04:12:53,2
2026-02-19 04:13:23,2
2026-02-19 04:13:53,2
2026-02-19 04:14:23,3
2026-02-19 04:14:53,3
2026-02-19 04:15:23,3
2026-02-19 04:15:53,3
2026-02-19 04:16:23,3
2026-02-19 04:16:53,3
2026-02-19 04:17:23,3
2026-02-19 04:17:53,2.6666666666666665
2026-02-19 04:18:23,3
2026-02-19 04:18:53,3
2026-02-19 04:19:23,5
2026-02-19 04:19:53,5
2026-02-19 04:20:23,5
2026-02-19 04:20:53,5
2026-02-19 04:21:23,5
2026-02-19 04:21:53,5
2026-02-19 04:22:23,5
2026-02-19 04:22:53,5
2026-02-19 04:23:23,5
2026-02-19 04:23:53,5
2026-02-19 04:24:23,7
2026-02-19 04:24:53,9
2026-02-19 04:25:23,9
2026-02-19 04:25:53,9
2026-02-19 04:26:23,7
2026-02-19 04:26:53,9
2026-02-19 04:27:23,9
2026-02-19 04:27:53,1
2026-02-19 04:28:23,1
2026-02-19 04:28:53,7.666666666666667
2026-02-19 04:29:23,11.5
2026-02-19 04:29:53,12
2026-02-19 04:30:23,12
2026-02-19 04:30:53,17
2026-02-19 04:31:23,15
2026-02-19 04:31:53,17
2026-02-19 04:32:23,17
2026-02-19 04:32:53,17
2026-02-19 04:33:23,1
2026-02-19 04:33:53,17
2026-02-19 04:34:23,27
2026-02-19 04:34:53,23
2026-02-19 04:35:23,23
2026-02-19 04:35:53,33
2026-02-19 04:36:23,22
2026-02-19 04:36:53,1
2026-02-19 04:37:23,33
2026-02-19 04:37:53,23.833333333333332
2026-02-19 04:38:23,33
2026-02-19 04:38:53,33
2026-02-19 04:39:23,1
2026-02-19 04:39:53,2
2026-02-19 04:40:23,2
2026-02-19 04:40:53,2
2026-02-19 04:41:23,2
2026-02-19 04:41:53,2
2026-02-19 04:42:23,2
2026-02-19 04:42:53,1
2026-02-19 04:43:23,2
2026-02-19 04:43:53,2
2026-02-19 04:44:23,2
2026-02-19 04:44:53,3
2026-02-19 04:45:23,3
2026-02-19 04:45:53,3
2026-02-19 04:46:23,3
2026-02-19 04:46:53,3
2026-02-19 04:47:23,1
2026-02-19 04:47:53,3
2026-02-19 04:48:23,3
2026-02-19 04:48:53,3
2026-02-19 04:49:23,3
2026-02-19 04:49:53,5
2026-02-19 04:50:23,5
2026-02-19 04:50:53,5
2026-02-19 04:51:23,5
2026-02-19 04:51:53,5
2026-02-19 04:52:23,5
2026-02-19 04:52:53,5
2026-02-19 04:53:23,5
2026-02-19 04:53:53,5
2026-02-19 04:54:23,5
2026-02-19 04:54:53,5
2026-02-19 04:55:23,6
2026-02-19 04:55:53,9
2026-02-19 04:56:23,9
2026-02-19 04:56:53,9
2026-02-19 04:57:23,9
2026-02-19 04:57:53,9
2026-02-19 04:58:23,9
2026-02-19 04:58:53,7.666666666666667
2026-02-19 04:59:23,9
2026-02-19 04:59:53,17
2026-02-19 05:00:23,17
2026-02-19 05:00:53,16.166666666666668
2026-02-19 05:01:23,13.5
2026-02-19 05:01:53,1
2026-02-19 05:02:23,1
2026-02-19 05:02:53,1
2026-02-19 05:03:23,1
2026-02-19 05:03:53,1
2026-02-19 05:04:23,1
2026-02-19 05:04:53,30.333333333333332
2026-02-19 05:05:23,33
2026-02-19 05:05:53,33
2026-02-19 05:06:23,17
2026-02-19 05:06:53,33
2026-02-19 05:07:23,17
2026-02-19 05:07:53,17
2026-02-19 05:08:23,33
2026-02-19 05:08:53,1
2026-02-19 05:09:23,17
2026-02-19 05:09:53,1
2026-02-19 05:10:23,1
2026-02-19 05:10:53,2
2026-02-19 05:11:23,2
2026-02-19 05:11:53,2
2026-02-19 05:12:23,2
2026-02-19 05:12:53,2
2026-02-19 05:13:23,2
2026-02-19 05:13:53,2
2026-02-19 05:14:23,2
2026-02-19 05:14:53,2
2026-02-19 05:15:23,2
2026-02-19 05:15:53,2
2026-02-19 05:16:23,2
2026-02-19 05:16:53,3
2026-02-19 05:17:23,3
2026-02-19 05:17:53,3
2026-02-19 05:18:23,3
2026-02-19 05:18:53,3
2026-02-19 05:19:23,3
2026-02-19 05:19:53,3
2026-02-19 05:20:23,1
2026-02-19 05:20:53,1
2026-02-19 05:21:23,3
2026-02-19 05:21:53,4.166666666666667
2026-02-19 05:22:23,4.166666666666667
2026-02-19 05:22:53,4
2026-02-19 05:23:23,4
2026-02-19 05:23:53,5
2026-02-19 05:24:23,4
2026-02-19 05:24:53,5
2026-02-19 05:25:23,5
2026-02-19 05:25:53,5
2026-02-19 05:26:23,5
2026-02-19 05:26:53,9
2026-02-19 05:27:23,8.666666666666666
2026-02-19 05:27:53,7.333333333333333
2026-02-19 05:28:23,7
2026-02-19 05:28:53,9
2026-02-19 05:29:23,9
2026-02-19 05:29:53,1
2026-02-19 05:30:23,1
2026-02-19 05:30:53,9
2026-02-19 05:31:23,9
2026-02-19 05:31:53,12
2026-02-19 05:32:23,13.666666666666666
2026-02-19 05:32:53,17
2026-02-19 05:33:23,4
2026-02-19 05:33:53,1
2026-02-19 05:34:23,17
2026-02-19 05:34:53,1
2026-02-19 05:35:23,1
2026-02-19 05:35:53,1
2026-02-19 05:36:23,17
2026-02-19 05:36:53,4.666666666666667
2026-02-19 05:37:23,27
2026-02-19 05:37:53,16
2026-02-19 05:38:23,18
2026-02-19 05:38:53,18
2026-02-19 05:39:23,1
2026-02-19 05:39:53,1
2026-02-19 05:40:23,1
2026-02-19 05:40:53,33
2026-02-19 05:41:23,33
2026-02-19 05:41:53,27.666666666666668
2026-02-19 05:42:23,1.1666666666666667
2026-02-19 05:42:53,2
2026-02-19 05:43:23,2
2026-02-19 05:43:53,2
2026-02-19 05:44:23,2
2026-02-19 05:44:53,2
2026-02-19 05:45:23,2
2026-02-19 05:45:53,2
2026-02-19 05:46:23,2
2026-02-19 05:46:53,1
2026-02-19 05:47:23,3
2026-02-19 05:47:53,3
2026-02-19 05:48:23,3
2026-02-19 05:48:53,3
2026-02-19 05:49:23,3
2026-02-19 05:49:53,2
2026-02-19 05:50:23,3
2026-02-19 05:50:53,1
2026-02-19 05:51:23,1
2026-02-19 05:51:53,1
2026-02-19 05:52:23,1
2026-02-19 05:52:53,1
2026-02-19 05:53:23,5
2026-02-19 05:53:53,5
2026-02-19 05:54:23,5
2026-02-19 05:54:53,5
2026-02-19 05:55:23,5
2026-02-19 05:55:53,5
2026-02-19 05:56:23,5
2026-02-19 05:56:53,5
2026-02-19 05:57:23,6
2026-02-19 05:57:53,6
2026-02-19 05:58:23,6
2026-02-19 05:58:53,8
2026-02-19 05:59:23,9
2026-02-19 05:59:53,9
2026-02-19 06:00:23,9
2026-02-19 06:00:53,9
2026-02-19 06:01:23,9
2026-02-19 06:01:53,9
2026-02-19 06:02:23,9
2026-02-19 06:02:53,9
2026-02-19 06:03:23,12
2026-02-19 06:03:53,12
2026-02-19 06:04:23,17
2026-02-19 06:04:53,17
2026-02-19 06:05:23,2.3333333333333335
2026-02-19 06:05:53,1
2026-02-19 06:06:23,1
2026-02-19 06:06:53,17
2026-02-19 06:07:23,17
2026-02-19 06:07:53,17
2026-02-19 06:08:23,22
2026-02-19 06:08:53,33
2026-02-19 06:09:23,33
2026-02-19 06:09:53,10
2026-02-19 06:10:23,26
2026-02-19 06:10:53,26
2026-02-19 06:11:23,22.333333333333332
2026-02-19 06:11:53,33
2026-02-19 06:12:23,17
2026-02-19 06:12:53,2
2026-02-19 06:13:23,2
2026-02-19 06:13:53,2
2026-02-19 06:14:23,2
